i,suite,case,SIZE,SKIP_WARMUP,CHUNK,PROG_SIZE,DISK_GEOMETRY,NO_FRUNCATE,DISK_SIZE,NO_SET,FILE_COUNT,SIM_SIZE,SIM_TIME,FILE_SIZE,SEED,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
17,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,32,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,257153088,86936368,1181123,69306,86936368,276182240,283877376,3600002153760,8.931972
17,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,32,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,257153088,0,0,0,0,0,0,3312,8.932181
17,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,32,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,257153088,0,0,0,0,0,0,624,8.932236
17,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,32,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,257153088,0,0,0,0,0,0,784,8.932299
17,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,32,0,0,134217728,0,32768,0,3600000000000,64,42,3,usage,257153088,0,0,0,0,0,0,1363968,8.932352
15,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,8,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,258548032,86460536,1197085,69165,86460536,276630416,283299840,3600033668464,9.111570
15,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,8,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,258548032,0,0,0,0,0,0,3264,9.111674
15,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,8,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,258548032,0,0,0,0,0,0,624,9.111728
15,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,8,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,258548032,0,0,0,0,0,0,784,9.111773
15,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,8,0,0,134217728,0,32768,0,3600000000000,64,42,3,usage,258548032,0,0,0,0,0,0,638976,9.111820
13,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,2,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,258683200,86453584,1200477,69135,86453584,276492562,283176960,3600038045654,9.145952
13,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,2,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,258683200,0,0,0,0,0,0,3312,9.146041
13,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,2,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,258683200,0,0,0,0,0,0,624,9.146094
13,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,2,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,258683200,0,0,0,0,0,0,784,9.146141
