i,suite,case,DISK_SIZE,SEED,FILE_COUNT,NO_SET,SKIP_WARMUP,DISK_GEOMETRY,FS,READ_SIZE,SIM_SIZE,CHUNK,FILE_SIZE,SIZE,NO_FRUNCATE,SIM_TIME,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
22,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,1024,0,64,64,2097152,0,3600000000000,write,254420032,1578835968,1179905,67993,1578835968,271794057,278499328,3600024171051,8.817862
22,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,1024,0,64,64,2097152,0,3600000000000,stack,254420032,0,0,0,0,0,0,3312,8.818098
22,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,1024,0,64,64,2097152,0,3600000000000,ctx,254420032,0,0,0,0,0,0,624,8.818154
22,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,1024,0,64,64,2097152,0,3600000000000,heap,254420032,0,0,0,0,0,0,2320,8.818206
22,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,1024,0,64,64,2097152,0,3600000000000,usage,254420032,0,0,0,0,0,0,716800,8.818251
23,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,2048,0,64,64,2097152,0,3600000000000,write,252430400,2272952320,1170246,67463,2272952320,269550522,276328448,3600032073934,8.819751
23,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,2048,0,64,64,2097152,0,3600000000000,stack,252430400,0,0,0,0,0,0,3312,8.819825
23,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,2048,0,64,64,2097152,0,3600000000000,ctx,252430400,0,0,0,0,0,0,624,8.819879
23,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,2048,0,64,64,2097152,0,3600000000000,heap,252430400,0,0,0,0,0,0,4368,8.819924
23,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,2048,0,64,64,2097152,0,3600000000000,usage,252430400,0,0,0,0,0,0,827392,8.819970
21,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,512,0,64,64,2097152,0,3600000000000,write,255717952,1123017728,1186212,68342,1123017728,273249573,279928832,3600047234495,9.040020
21,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,512,0,64,64,2097152,0,3600000000000,stack,255717952,0,0,0,0,0,0,3312,9.040124
21,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,512,0,64,64,2097152,0,3600000000000,ctx,255717952,0,0,0,0,0,0,624,9.040176
21,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,512,0,64,64,2097152,0,3600000000000,heap,255717952,0,0,0,0,0,0,1296,9.040231
21,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,512,0,64,64,2097152,0,3600000000000,usage,255717952,0,0,0,0,0,0,2060288,9.040280
20,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,256,0,64,64,2097152,0,3600000000000,write,256885056,720249856,1191673,68652,720249856,274519152,281198592,3600095323984,9.172693
20,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,256,0,64,64,2097152,0,3600000000000,stack,256885056,0,0,0,0,0,0,3312,9.172792
20,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,256,0,64,64,2097152,0,3600000000000,ctx,256885056,0,0,0,0,0,0,624,9.172843
20,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,256,0,64,64,2097152,0,3600000000000,heap,256885056,0,0,0,0,0,0,784,9.172887
20,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,256,0,64,64,2097152,0,3600000000000,usage,256885056,0,0,0,0,0,0,1097728,9.172931
18,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,64,0,64,64,2097152,0,3600000000000,write,258171200,275538944,1197582,68993,275538944,275887957,282595328,3600041792847,9.180110
18,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,64,0,64,64,2097152,0,3600000000000,stack,258171200,0,0,0,0,0,0,3312,9.180178
18,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,64,0,64,64,2097152,0,3600000000000,ctx,258171200,0,0,0,0,0,0,624,9.180225
