i,suite,case,CRYSTAL_THRESH,BLOCK_SIZE,NO_SET,SIZE,CHUNK,NO_FRUNCATE,FILE_COUNT,SIM_TIME,SKIP_WARMUP,SIM_SIZE,DISK_SIZE,SEED,DISK_GEOMETRY,FILE_SIZE,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
16,bench_p26_wt,bench_p26_wt_linear,-1,65536,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,420225088,97828472,4152575,45275,3859568045,2126118400,2967142400,3600013485527,42.892852
16,bench_p26_wt,bench_p26_wt_linear,-1,65536,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,420225088,0,0,0,0,0,0,3328,42.893056
16,bench_p26_wt,bench_p26_wt_linear,-1,65536,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,420225088,0,0,0,0,0,0,624,42.893107
16,bench_p26_wt,bench_p26_wt_linear,-1,65536,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,420225088,0,0,0,0,0,0,1296,42.893153
16,bench_p26_wt,bench_p26_wt_linear,-1,65536,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,420225088,0,0,0,0,0,0,2752512,42.893202
19,bench_p26_wt,bench_p26_wt_linear,-1,524288,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,408726080,101408212,3844553,21048,3633053317,1968411136,2758803456,3600602728927,42.967168
19,bench_p26_wt,bench_p26_wt_linear,-1,524288,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,408726080,0,0,0,0,0,0,3328,42.967266
19,bench_p26_wt,bench_p26_wt_linear,-1,524288,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,408726080,0,0,0,0,0,0,624,42.967330
19,bench_p26_wt,bench_p26_wt_linear,-1,524288,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,408726080,0,0,0,0,0,0,1296,42.967377
19,bench_p26_wt,bench_p26_wt_linear,-1,524288,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,408726080,0,0,0,0,0,0,8388608,42.967421
18,bench_p26_wt,bench_p26_wt_linear,-1,262144,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,421688384,98849708,4064886,22122,3796367433,2081221632,2899574784,3600134394219,43.474504
18,bench_p26_wt,bench_p26_wt_linear,-1,262144,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,421688384,0,0,0,0,0,0,3328,43.474603
18,bench_p26_wt,bench_p26_wt_linear,-1,262144,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,421688384,0,0,0,0,0,0,624,43.474654
18,bench_p26_wt,bench_p26_wt_linear,-1,262144,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,421688384,0,0,0,0,0,0,1296,43.474700
18,bench_p26_wt,bench_p26_wt_linear,-1,262144,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,421688384,0,0,0,0,0,0,1835008,43.474744
13,bench_p26_wt,bench_p26_wt_linear,-1,8192,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,171141696,119778738,2229537,188016,2869917213,1141522944,1540227072,3600066230823,49.447922
13,bench_p26_wt,bench_p26_wt_linear,-1,8192,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,171141696,0,0,0,0,0,0,3328,49.448027
