i,suite,case,NO_FRUNCATE,CHUNK,DISK_GEOMETRY,SKIP_WARMUP,CRYSTAL_THRESH,SIZE,NO_SET,FILE_COUNT,SEED,SIM_SIZE,PROG_SIZE,FS,SIM_TIME,FILE_SIZE,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
13,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,2,31,3600000000000,64,134217728,write,222633280,82728278,5938083,11501,2138977212,1052570534,1507459072,3600047119430,54.016010
13,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,2,31,3600000000000,64,134217728,stack,222633280,0,0,0,0,0,0,3328,54.016274
13,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,2,31,3600000000000,64,134217728,ctx,222633280,0,0,0,0,0,0,624,54.016336
13,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,2,31,3600000000000,64,134217728,heap,222633280,0,0,0,0,0,0,784,54.016411
13,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,2,31,3600000000000,64,134217728,usage,222633280,0,0,0,0,0,0,1703936,54.016465
12,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,1,31,3600000000000,64,134217728,write,219512384,83658789,5851116,11340,2110139482,1035835195,1486356480,3600003703823,54.350036
12,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,1,31,3600000000000,64,134217728,stack,219512384,0,0,0,0,0,0,3328,54.350151
12,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,1,31,3600000000000,64,134217728,ctx,219512384,0,0,0,0,0,0,624,54.350214
12,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,1,31,3600000000000,64,134217728,heap,219512384,0,0,0,0,0,0,784,54.350271
12,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,1,31,3600000000000,64,134217728,usage,219512384,0,0,0,0,0,0,4980736,54.350324
16,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,16,31,3600000000000,64,134217728,write,218804032,83689974,5840640,11579,2160311536,1058398464,1517682688,3600004479184,55.917356
16,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,16,31,3600000000000,64,134217728,stack,218804032,0,0,0,0,0,0,3328,55.917476
16,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,16,31,3600000000000,64,134217728,ctx,218804032,0,0,0,0,0,0,624,55.917540
16,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,16,31,3600000000000,64,134217728,heap,218804032,0,0,0,0,0,0,784,55.917594
16,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,16,31,3600000000000,64,134217728,usage,218804032,0,0,0,0,0,0,2752512,55.917645
15,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,8,31,3600000000000,64,134217728,write,226600512,81894890,6014990,11723,2159150661,1073688656,1536557056,3600002460943,56.006186
15,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,8,31,3600000000000,64,134217728,stack,226600512,0,0,0,0,0,0,3328,56.006296
15,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,8,31,3600000000000,64,134217728,ctx,226600512,0,0,0,0,0,0,624,56.006380
15,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,8,31,3600000000000,64,134217728,heap,226600512,0,0,0,0,0,0,784,56.006434
15,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,8,31,3600000000000,64,134217728,usage,226600512,0,0,0,0,0,0,917504,56.006485
14,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,4,31,3600000000000,64,134217728,write,225622080,81920968,6014473,11674,2150570715,1069239304,1530134528,3600170283737,56.202897
14,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,4,31,3600000000000,64,134217728,stack,225622080,0,0,0,0,0,0,3328,56.203006
14,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,4,31,3600000000000,64,134217728,ctx,225622080,0,0,0,0,0,0,624,56.203063
14,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,4,31,3600000000000,64,134217728,heap,225622080,0,0,0,0,0,0,784,56.203113
14,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,4,31,3600000000000,64,134217728,usage,225622080,0,0,0,0,0,0,4456448,56.203162
18,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,64,31,3600000000000,64,134217728,write,225093184,81912970,5992433,12559,2270020431,1149617536,1646133248,3600003610461,56.681457
