i,suite,case,NO_SET,READ_SIZE,CHUNK,SIZE,CRYSTAL_THRESH,SEED,DISK_SIZE,SIM_TIME,DISK_GEOMETRY,FILE_COUNT,NO_FRUNCATE,FS,SKIP_WARMUP,FILE_SIZE,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
13,bench_p26_wt,bench_p26_wt_linear,0,2,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,291063872,113214456,2838406,15414,2659818982,1453263872,2020343808,3600004971538,65.228964
13,bench_p26_wt,bench_p26_wt_linear,0,2,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,291063872,0,0,0,0,0,0,3328,65.229192
13,bench_p26_wt,bench_p26_wt_linear,0,2,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,291063872,0,0,0,0,0,0,624,65.229248
13,bench_p26_wt,bench_p26_wt_linear,0,2,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,291063872,0,0,0,0,0,0,1296,65.229298
13,bench_p26_wt,bench_p26_wt_linear,0,2,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,291063872,0,0,0,0,0,0,5636096,65.229344
14,bench_p26_wt,bench_p26_wt_linear,0,4,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,295951424,112611143,2885703,15670,2767601188,1477479936,2053898240,3600006674092,65.636641
14,bench_p26_wt,bench_p26_wt_linear,0,4,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,295951424,0,0,0,0,0,0,3328,65.636741
14,bench_p26_wt,bench_p26_wt_linear,0,4,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,295951424,0,0,0,0,0,0,624,65.636792
14,bench_p26_wt,bench_p26_wt_linear,0,4,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,295951424,0,0,0,0,0,0,1296,65.636839
14,bench_p26_wt,bench_p26_wt_linear,0,4,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,295951424,0,0,0,0,0,0,1310720,65.636883
15,bench_p26_wt,bench_p26_wt_linear,0,8,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,337736256,107681221,3293330,17884,3345937704,1686184960,2344091648,3600003653112,68.726960
