i,suite,case,FILE_SIZE,SIM_SIZE,CHUNK,SIM_TIME,SEED,DISK_SIZE,NO_SET,BLOCK_SIZE,CRYSTAL_THRESH,NO_FRUNCATE,SIZE,DISK_GEOMETRY,SKIP_WARMUP,FILE_COUNT,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
14,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,16384,-1,0,2097152,0,0,32768,31,write,38475072,530131508,1528858,65860,530131508,195387418,269762560,3600267999246,12.020001
14,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,16384,-1,0,2097152,0,0,32768,31,stack,38475072,0,0,0,0,0,0,3328,12.020213
14,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,16384,-1,0,2097152,0,0,32768,31,ctx,38475072,0,0,0,0,0,0,624,12.020269
14,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,16384,-1,0,2097152,0,0,32768,31,heap,38475072,0,0,0,0,0,0,784,12.020318
14,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,16384,-1,0,2097152,0,0,32768,31,usage,38475072,0,0,0,0,0,0,2326528,12.020370
13,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,8192,-1,0,2097152,0,0,32768,31,write,37194816,571848860,1591477,65260,571848860,197338878,267304960,3600030192698,12.403763
13,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,8192,-1,0,2097152,0,0,32768,31,stack,37194816,0,0,0,0,0,0,3328,12.403872
13,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,8192,-1,0,2097152,0,0,32768,31,ctx,37194816,0,0,0,0,0,0,624,12.403924
13,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,8192,-1,0,2097152,0,0,32768,31,heap,37194816,0,0,0,0,0,0,784,12.403970
13,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,8192,-1,0,2097152,0,0,32768,31,usage,37194816,0,0,0,0,0,0,4685824,12.404016
15,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,32768,-1,0,2097152,0,0,32768,31,write,40891200,426762915,1470723,66472,426762915,194034226,272269312,3600385281070,16.103282
15,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,32768,-1,0,2097152,0,0,32768,31,stack,40891200,0,0,0,0,0,0,3328,16.103382
15,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,32768,-1,0,2097152,0,0,32768,31,ctx,40891200,0,0,0,0,0,0,624,16.103434
15,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,32768,-1,0,2097152,0,0,32768,31,heap,40891200,0,0,0,0,0,0,784,16.103478
15,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,32768,-1,0,2097152,0,0,32768,31,usage,40891200,0,0,0,0,0,0,3211264,16.103523
16,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,65536,-1,0,2097152,0,0,32768,31,write,40495168,393460935,1449936,66704,393460935,192204809,273219584,3601140670403,16.629632
16,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,65536,-1,0,2097152,0,0,32768,31,stack,40495168,0,0,0,0,0,0,3328,16.629739
16,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,65536,-1,0,2097152,0,0,32768,31,ctx,40495168,0,0,0,0,0,0,624,16.629792
16,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,65536,-1,0,2097152,0,0,32768,31,heap,40495168,0,0,0,0,0,0,784,16.629840
16,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,65536,-1,0,2097152,0,0,32768,31,usage,40495168,0,0,0,0,0,0,2293760,16.629886
12,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,4096,-1,0,2097152,0,0,32768,31,write,46531648,615899986,1492711,66096,615899986,203571502,270729216,3600010491962,17.023590
12,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,4096,-1,0,2097152,0,0,32768,31,stack,46531648,0,0,0,0,0,0,3328,17.023694
12,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,4096,-1,0,2097152,0,0,32768,31,ctx,46531648,0,0,0,0,0,0,624,17.023746
12,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,4096,-1,0,2097152,0,0,32768,31,heap,46531648,0,0,0,0,0,0,784,17.023792
12,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,4096,-1,0,2097152,0,0,32768,31,usage,46531648,0,0,0,0,0,0,1200128,17.023835
