i,suite,case,SKIP_WARMUP,CHUNK,NO_SET,DISK_GEOMETRY,FILE_SIZE,SEED,FS,PROG_SIZE,FILE_COUNT,DISK_SIZE,NO_FRUNCATE,SIZE,SIM_TIME,CRYSTAL_THRESH,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
14,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,4,32768,134217728,0,2097152,3600000000000,-1,0,write,46473280,616158219,1487803,66139,616158219,204141324,270905344,3600002761884,28.913097
14,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,4,32768,134217728,0,2097152,3600000000000,-1,0,stack,46473280,0,0,0,0,0,0,3328,28.913323
14,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,4,32768,134217728,0,2097152,3600000000000,-1,0,ctx,46473280,0,0,0,0,0,0,624,28.913382
14,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,4,32768,134217728,0,2097152,3600000000000,-1,0,heap,46473280,0,0,0,0,0,0,784,28.913434
14,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,4,32768,134217728,0,2097152,3600000000000,-1,0,usage,46473280,0,0,0,0,0,0,1032192,28.913481
12,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,1,32768,134217728,0,2097152,3600000000000,-1,0,write,46531648,615899986,1492711,66096,615899986,203571502,270729216,3600010491962,29.144132
12,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,1,32768,134217728,0,2097152,3600000000000,-1,0,stack,46531648,0,0,0,0,0,0,3328,29.144235
12,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,1,32768,134217728,0,2097152,3600000000000,-1,0,ctx,46531648,0,0,0,0,0,0,624,29.144290
12,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,1,32768,134217728,0,2097152,3600000000000,-1,0,heap,46531648,0,0,0,0,0,0,784,29.144339
12,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,1,32768,134217728,0,2097152,3600000000000,-1,0,usage,46531648,0,0,0,0,0,0,1200128,29.144387
13,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,2,32768,134217728,0,2097152,3600000000000,-1,0,write,46517312,615681474,1491505,66107,615681474,203677652,270774272,3600016199180,29.179208
13,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,2,32768,134217728,0,2097152,3600000000000,-1,0,stack,46517312,0,0,0,0,0,0,3328,29.179322
13,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,2,32768,134217728,0,2097152,3600000000000,-1,0,ctx,46517312,0,0,0,0,0,0,624,29.179378
13,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,2,32768,134217728,0,2097152,3600000000000,-1,0,heap,46517312,0,0,0,0,0,0,784,29.179426
13,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,2,32768,134217728,0,2097152,3600000000000,-1,0,usage,46517312,0,0,0,0,0,0,1163264,29.179474
15,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,8,32768,134217728,0,2097152,3600000000000,-1,0,write,46241344,619373066,1484953,66163,619373066,204707728,271003648,3600081720384,29.466989
15,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,8,32768,134217728,0,2097152,3600000000000,-1,0,stack,46241344,0,0,0,0,0,0,3328,29.467094
15,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,8,32768,134217728,0,2097152,3600000000000,-1,0,ctx,46241344,0,0,0,0,0,0,624,29.467150
15,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,8,32768,134217728,0,2097152,3600000000000,-1,0,heap,46241344,0,0,0,0,0,0,784,29.467200
15,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,8,32768,134217728,0,2097152,3600000000000,-1,0,usage,46241344,0,0,0,0,0,0,659456,29.467247
16,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,16,32768,134217728,0,2097152,3600000000000,-1,0,write,46344000,625588306,1431823,66627,625588306,207472960,272904192,3600003445136,30.100617
16,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,16,32768,134217728,0,2097152,3600000000000,-1,0,stack,46344000,0,0,0,0,0,0,3328,30.100722
16,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,16,32768,134217728,0,2097152,3600000000000,-1,0,ctx,46344000,0,0,0,0,0,0,624,30.100776
16,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,16,32768,134217728,0,2097152,3600000000000,-1,0,heap,46344000,0,0,0,0,0,0,784,30.100824
16,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,16,32768,134217728,0,2097152,3600000000000,-1,0,usage,46344000,0,0,0,0,0,0,770048,30.100870
17,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,32,32768,134217728,0,2097152,3600000000000,-1,0,write,45750336,637640295,1388201,67004,637640295,210570688,274448384,3600054491224,30.592341
17,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,32,32768,134217728,0,2097152,3600000000000,-1,0,stack,45750336,0,0,0,0,0,0,3328,30.592445
17,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,32,32768,134217728,0,2097152,3600000000000,-1,0,ctx,45750336,0,0,0,0,0,0,624,30.592496
17,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,32,32768,134217728,0,2097152,3600000000000,-1,0,heap,45750336,0,0,0,0,0,0,784,30.592547
17,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,32,32768,134217728,0,2097152,3600000000000,-1,0,usage,45750336,0,0,0,0,0,0,4542464,30.592596
18,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,64,32768,134217728,0,2097152,3600000000000,-1,0,write,45769536,645292065,1345807,67373,645292065,213315392,275959808,3600054189032,30.716262
18,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,64,32768,134217728,0,2097152,3600000000000,-1,0,stack,45769536,0,0,0,0,0,0,3328,30.716365
