i,suite,case,SEED,NO_FRUNCATE,DISK_SIZE,SIM_TIME,CRYSTAL_THRESH,FS,FILE_SIZE,SIZE,CHUNK,SIM_SIZE,SKIP_WARMUP,FILE_COUNT,NO_SET,DISK_GEOMETRY,READ_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
23,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2048,write,41453632,10631811072,1323096,58711,10631811072,180743570,240480256,3600030419414,26.107974
23,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2048,stack,41453632,0,0,0,0,0,0,3328,26.108186
23,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2048,ctx,41453632,0,0,0,0,0,0,624,26.108244
23,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2048,heap,41453632,0,0,0,0,0,0,4368,26.108313
23,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2048,usage,41453632,0,0,0,0,0,0,4161536,26.108364
22,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1024,write,42952768,7749893120,1371145,60843,7749893120,187312879,249212928,3600041403069,27.246177
22,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1024,stack,42952768,0,0,0,0,0,0,3328,27.246284
22,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1024,ctx,42952768,0,0,0,0,0,0,624,27.246341
22,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1024,heap,42952768,0,0,0,0,0,0,2320,27.246392
22,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1024,usage,42952768,0,0,0,0,0,0,2744320,27.246441
21,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,512,write,44258880,5193813504,1413199,62739,5193813504,193130788,256978944,3600053193388,27.798215
21,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,512,stack,44258880,0,0,0,0,0,0,3328,27.798320
21,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,512,ctx,44258880,0,0,0,0,0,0,624,27.798376
21,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,512,heap,44258880,0,0,0,0,0,0,1296,27.798426
21,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,512,usage,44258880,0,0,0,0,0,0,864256,27.798476
17,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,32,write,46291008,1073756480,1485047,65758,1073756480,202537064,269344768,3600028970680,28.357570
17,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,32,stack,46291008,0,0,0,0,0,0,3328,28.357679
17,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,32,ctx,46291008,0,0,0,0,0,0,624,28.357744
17,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,32,heap,46291008,0,0,0,0,0,0,784,28.357791
17,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,32,usage,46291008,0,0,0,0,0,0,626688,28.357836
19,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,128,write,45848384,2131854208,1464440,65002,2131854208,200115830,266248192,3600042454722,28.527906
19,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,128,stack,45848384,0,0,0,0,0,0,3328,28.528014
19,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,128,ctx,45848384,0,0,0,0,0,0,624,28.528068
19,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,128,heap,45848384,0,0,0,0,0,0,784,28.528116
19,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,128,usage,45848384,0,0,0,0,0,0,4636672,28.528161
20,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,256,write,45188928,3415015680,1443080,64053,3415015680,197181334,262361088,3600062699554,28.693815
20,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,256,stack,45188928,0,0,0,0,0,0,3328,28.693919
20,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,256,ctx,45188928,0,0,0,0,0,0,624,28.693974
20,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,256,heap,45188928,0,0,0,0,0,0,784,28.694021
20,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,256,usage,45188928,0,0,0,0,0,0,3072000,28.694067
12,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1,write,46531648,615899986,1492711,66096,615899986,203571502,270729216,3600010491962,28.752574
12,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1,stack,46531648,0,0,0,0,0,0,3328,28.752659
12,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1,ctx,46531648,0,0,0,0,0,0,624,28.752710
12,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1,heap,46531648,0,0,0,0,0,0,784,28.752756
12,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1,usage,46531648,0,0,0,0,0,0,1200128,28.752800
18,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,64,write,46179904,1492977920,1474944,65475,1492977920,201576312,268185600,3600002461160,29.232542
