i,suite,case,NO_FRUNCATE,DISK_SIZE,FS,SEED,SIM_SIZE,CHUNK,BLOCK_SIZE,SKIP_WARMUP,NO_SET,FILE_COUNT,SIZE,SIM_TIME,DISK_GEOMETRY,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
14,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,16384,0,0,32768,2097152,3600000000000,1,64,write,2935472704,73945484,6582272,206463,1228047945,3370123264,3382689792,3600009967467,46.040004
14,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,16384,0,0,32768,2097152,3600000000000,1,64,stack,2935472704,0,0,0,0,0,0,3120,46.040218
14,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,16384,0,0,32768,2097152,3600000000000,1,64,ctx,2935472704,0,0,0,0,0,0,528,46.040273
14,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,16384,0,0,32768,2097152,3600000000000,1,64,heap,2935472704,0,0,0,0,0,0,1296,46.040339
14,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,16384,0,0,32768,2097152,3600000000000,1,64,usage,2935472704,0,0,0,0,0,0,1638400,46.040397
15,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,32768,0,0,32768,2097152,3600000000000,1,64,write,3711639104,53678976,8449405,132151,1184393243,4326095360,4330323968,3600003192833,55.782710
15,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,32768,0,0,32768,2097152,3600000000000,1,64,stack,3711639104,0,0,0,0,0,0,3152,55.782816
15,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,32768,0,0,32768,2097152,3600000000000,1,64,ctx,3711639104,0,0,0,0,0,0,528,55.782869
15,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,32768,0,0,32768,2097152,3600000000000,1,64,heap,3711639104,0,0,0,0,0,0,1296,55.782915
15,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,32768,0,0,32768,2097152,3600000000000,1,64,usage,3711639104,0,0,0,0,0,0,1933312,55.782963
12,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,4096,0,0,32768,2097152,3600000000000,1,64,write,1473525824,104262956,3756360,488422,1713111116,1923256320,2000576512,3600015119780,57.170348
12,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,4096,0,0,32768,2097152,3600000000000,1,64,stack,1473525824,0,0,0,0,0,0,3168,57.170454
12,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,4096,0,0,32768,2097152,3600000000000,1,64,ctx,1473525824,0,0,0,0,0,0,528,57.170504
12,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,4096,0,0,32768,2097152,3600000000000,1,64,heap,1473525824,0,0,0,0,0,0,1296,57.170548
12,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,4096,0,0,32768,2097152,3600000000000,1,64,usage,1473525824,0,0,0,0,0,0,1392640,57.170592
17,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,131072,0,0,32768,2097152,3600000000000,1,64,write,4641195584,28663266,10750963,42009,1168898881,5504493056,5506203648,3600008538067,66.027200
17,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,131072,0,0,32768,2097152,3600000000000,1,64,stack,4641195584,0,0,0,0,0,0,3168,66.027304
17,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,131072,0,0,32768,2097152,3600000000000,1,64,ctx,4641195584,0,0,0,0,0,0,528,66.027361
17,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,131072,0,0,32768,2097152,3600000000000,1,64,heap,4641195584,0,0,0,0,0,0,1296,66.027417
17,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,131072,0,0,32768,2097152,3600000000000,1,64,usage,4641195584,0,0,0,0,0,0,786432,66.027459
13,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,8192,0,0,32768,2097152,3600000000000,1,64,write,2778965568,79033169,6106736,386145,1318096855,3126648832,3163299840,3600023457013,68.312119
13,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,8192,0,0,32768,2097152,3600000000000,1,64,stack,2778965568,0,0,0,0,0,0,3120,68.312217
13,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,8192,0,0,32768,2097152,3600000000000,1,64,ctx,2778965568,0,0,0,0,0,0,528,68.312264
13,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,8192,0,0,32768,2097152,3600000000000,1,64,heap,2778965568,0,0,0,0,0,0,1296,68.312306
13,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,8192,0,0,32768,2097152,3600000000000,1,64,usage,2778965568,0,0,0,0,0,0,278528,68.312346
16,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,65536,0,0,32768,2097152,3600000000000,1,64,write,4461484096,34006834,10260551,80204,1154440078,5253402112,5256249344,3600004924810,81.485493
16,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,65536,0,0,32768,2097152,3600000000000,1,64,stack,4461484096,0,0,0,0,0,0,3168,81.485584
16,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,65536,0,0,32768,2097152,3600000000000,1,64,ctx,4461484096,0,0,0,0,0,0,528,81.485627
16,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,65536,0,0,32768,2097152,3600000000000,1,64,heap,4461484096,0,0,0,0,0,0,1296,81.485662
