i,suite,case,FS,FILE_SIZE,SKIP_WARMUP,FILE_COUNT,SIM_TIME,SIZE,DISK_GEOMETRY,SIM_SIZE,DISK_SIZE,PROG_SIZE,CHUNK,NO_SET,SEED,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
18,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,64,64,0,42,0,write,2345112384,27753545,11264621,20688,595019751,2706548352,2711617536,3600008323493,60.752495
18,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,64,64,0,42,0,stack,2345112384,0,0,0,0,0,0,3168,60.752724
18,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,64,64,0,42,0,ctx,2345112384,0,0,0,0,0,0,528,60.752781
18,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,64,64,0,42,0,heap,2345112384,0,0,0,0,0,0,784,60.752835
18,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,64,64,0,42,0,usage,2345112384,0,0,0,0,0,0,1048576,60.752881
16,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,16,64,0,42,0,write,2327576896,28240087,11227526,20295,545683200,2655068656,2660106240,3600008993232,61.018932
16,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,16,64,0,42,0,stack,2327576896,0,0,0,0,0,0,3168,61.019040
16,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,16,64,0,42,0,ctx,2327576896,0,0,0,0,0,0,528,61.019186
16,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,16,64,0,42,0,heap,2327576896,0,0,0,0,0,0,784,61.019236
16,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,16,64,0,42,0,usage,2327576896,0,0,0,0,0,0,2359296,61.019282
14,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,4,64,0,42,0,write,2338497856,27822103,11270258,20297,523677615,2655565508,2660368384,3600008731273,61.605632
14,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,4,64,0,42,0,stack,2338497856,0,0,0,0,0,0,3168,61.605736
14,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,4,64,0,42,0,ctx,2338497856,0,0,0,0,0,0,528,61.605790
14,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,4,64,0,42,0,heap,2338497856,0,0,0,0,0,0,784,61.605836
14,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,4,64,0,42,0,usage,2338497856,0,0,0,0,0,0,786432,61.605883
12,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,1,64,0,42,0,write,2327451200,28469800,11209796,20163,511676825,2638432281,2642804736,3600002738230,61.656053
12,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,1,64,0,42,0,stack,2327451200,0,0,0,0,0,0,3168,61.656149
12,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,1,64,0,42,0,ctx,2327451200,0,0,0,0,0,0,528,61.656202
12,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,1,64,0,42,0,heap,2327451200,0,0,0,0,0,0,784,61.656248
12,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,1,64,0,42,0,usage,2327451200,0,0,0,0,0,0,2228224,61.656292
15,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,8,64,0,42,0,write,2336711744,27878259,11264174,20306,530003543,2656179672,2661548032,3600018253693,61.906775
15,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,8,64,0,42,0,stack,2336711744,0,0,0,0,0,0,3168,61.906874
15,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,8,64,0,42,0,ctx,2336711744,0,0,0,0,0,0,528,61.906923
15,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,8,64,0,42,0,heap,2336711744,0,0,0,0,0,0,784,61.906966
15,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,8,64,0,42,0,usage,2336711744,0,0,0,0,0,0,1048576,61.907008
13,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,2,64,0,42,0,write,2344092736,27655158,11287026,20307,516145960,2657207028,2661679104,3600003224596,61.956892
13,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,2,64,0,42,0,stack,2344092736,0,0,0,0,0,0,3168,61.956996
13,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,2,64,0,42,0,ctx,2344092736,0,0,0,0,0,0,528,61.957046
13,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,2,64,0,42,0,heap,2344092736,0,0,0,0,0,0,784,61.957089
13,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,2,64,0,42,0,usage,2344092736,0,0,0,0,0,0,2097152,61.957132
17,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,32,64,0,42,0,write,2347297088,27631632,11283963,20468,549473519,2678217568,2682781696,3600008703453,62.254301
17,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,32,64,0,42,0,stack,2347297088,0,0,0,0,0,0,3168,62.254405
17,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,32,64,0,42,0,ctx,2347297088,0,0,0,0,0,0,528,62.254455
17,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,32,64,0,42,0,heap,2347297088,0,0,0,0,0,0,784,62.254498
17,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,32,64,0,42,0,usage,2347297088,0,0,0,0,0,0,1179648,62.254539
19,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,128,64,0,42,0,write,2349729088,27922691,11240279,20791,668020743,2723914880,2725117952,3600002749957,62.794525
19,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,128,64,0,42,0,stack,2349729088,0,0,0,0,0,0,3168,62.794625
19,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,128,64,0,42,0,ctx,2349729088,0,0,0,0,0,0,528,62.794674
19,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,128,64,0,42,0,heap,2349729088,0,0,0,0,0,0,784,62.794717
19,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,128,64,0,42,0,usage,2349729088,0,0,0,0,0,0,1441792,62.794758
20,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,256,64,0,42,0,write,2345990464,28045034,11197214,21877,821447529,2866486784,2867462144,3600008540875,63.498551
20,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,256,64,0,42,0,stack,2345990464,0,0,0,0,0,0,3168,63.498642
20,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,256,64,0,42,0,ctx,2345990464,0,0,0,0,0,0,528,63.498686
20,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,256,64,0,42,0,heap,2345990464,0,0,0,0,0,0,784,63.498722
20,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,256,64,0,42,0,usage,2345990464,0,0,0,0,0,0,1966080,63.498755
21,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,512,64,0,42,0,write,4641195584,28663266,10750963,42009,1168898881,5504493056,5506203648,3600008538067,86.987030
21,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,512,64,0,42,0,stack,4641195584,0,0,0,0,0,0,3168,86.987127
21,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,512,64,0,42,0,ctx,4641195584,0,0,0,0,0,0,528,86.987169
21,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,512,64,0,42,0,heap,4641195584,0,0,0,0,0,0,1296,86.987206
21,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,512,64,0,42,0,usage,4641195584,0,0,0,0,0,0,786432,86.987244
22,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,1024,64,0,42,0,write,7749803072,36317065,9338385,72985,2581452477,9562506240,9566289920,3600009276423,123.655048
22,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,1024,64,0,42,0,stack,7749803072,0,0,0,0,0,0,3120,123.655139
22,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,1024,64,0,42,0,ctx,7749803072,0,0,0,0,0,0,528,123.655190
22,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,1024,64,0,42,0,heap,7749803072,0,0,0,0,0,0,2320,123.655227
22,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,1024,64,0,42,0,usage,7749803072,0,0,0,0,0,0,1441792,123.655261
23,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,2048,64,0,42,0,write,10299508800,51178104,7035170,110014,4969869527,14408028160,14419755008,3600008900597,155.441497
23,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,2048,64,0,42,0,stack,10299508800,0,0,0,0,0,0,3104,155.441579
23,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,2048,64,0,42,0,ctx,10299508800,0,0,0,0,0,0,528,155.441614
23,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,2048,64,0,42,0,heap,10299508800,0,0,0,0,0,0,4368,155.441645
23,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,2048,64,0,42,0,usage,10299508800,0,0,0,0,0,0,917504,155.441675
24,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,4096,64,0,42,0,write,9811402816,46656930,7337090,114789,5735593983,15026360320,15045623808,3600018159597,115.835652
24,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,4096,64,0,42,0,stack,9811402816,0,0,0,0,0,0,3120,115.835722
24,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,4096,64,0,42,0,ctx,9811402816,0,0,0,0,0,0,528,115.835751
24,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,4096,64,0,42,0,heap,9811402816,0,0,0,0,0,0,8464,115.835776
24,bench_p26_wt,bench_p26_wt_linear,30,64,0,32768,3600000000000,2097152,1,0,134217728,4096,64,0,42,0,usage,9811402816,0,0,0,0,0,0,1572864,115.835798
25,bench_p26_wt,bench_p26_wt_random,30,64,0,32768,3600000000000,2097152,1,0,134217728,1,64,0,42,0,write,14855872,86833399,5547137,10612,1994072315,1129776498,1390936064,3600220244503,34.024672
25,bench_p26_wt,bench_p26_wt_random,30,64,0,32768,3600000000000,2097152,1,0,134217728,1,64,0,42,0,stack,14855872,0,0,0,0,0,0,3152,34.024814
25,bench_p26_wt,bench_p26_wt_random,30,64,0,32768,3600000000000,2097152,1,0,134217728,1,64,0,42,0,ctx,14855872,0,0,0,0,0,0,512,34.024871
