i,suite,case,SIM_TIME,READ_SIZE,DISK_GEOMETRY,SIM_SIZE,FILE_SIZE,DISK_SIZE,SIZE,SKIP_WARMUP,FILE_COUNT,CHUNK,NO_FRUNCATE,FS,NO_SET,SEED,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
14,bench_p26_wt,bench_p26_wt_linear,3600000000000,4,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,3695059008,52609827,8559325,33446,1024506812,4382374400,4383834112,3600026070260,93.587916
14,bench_p26_wt,bench_p26_wt_linear,3600000000000,4,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,3695059008,0,0,0,0,0,0,3168,93.588138
14,bench_p26_wt,bench_p26_wt_linear,3600000000000,4,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,3695059008,0,0,0,0,0,0,528,93.588192
14,bench_p26_wt,bench_p26_wt_linear,3600000000000,4,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,3695059008,0,0,0,0,0,0,1296,93.588242
14,bench_p26_wt,bench_p26_wt_linear,3600000000000,4,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,3695059008,0,0,0,0,0,0,2621440,93.588286
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,3757903936,51043336,8704886,34014,1002799164,4456901632,4458283008,3600017582196,95.886010
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,3757903936,0,0,0,0,0,0,3168,95.886118
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,3757903936,0,0,0,0,0,0,528,95.886176
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,3757903936,0,0,0,0,0,0,1296,95.886234
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,3757903936,0,0,0,0,0,0,2490368,95.886278
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,8,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,4006873664,44634544,9281578,36267,1179604704,4752167936,4753588224,3600004009632,99.640302
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,8,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,4006873664,0,0,0,0,0,0,3168,99.640408
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,8,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,4006873664,0,0,0,0,0,0,528,99.640459
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,8,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,4006873664,0,0,0,0,0,0,1296,99.640503
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,8,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,4006873664,0,0,0,0,0,0,1835008,99.640546
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,5016570944,18612598,11620486,45407,1938470784,5949688832,5951586304,3600020185728,112.227619
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,5016570944,0,0,0,0,0,0,3168,112.227721
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,5016570944,0,0,0,0,0,0,528,112.227770
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,5016570944,0,0,0,0,0,0,1296,112.227814
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,5016570944,0,0,0,0,0,0,786432,112.227858
16,bench_p26_wt,bench_p26_wt_linear,3600000000000,16,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,4532559936,31221962,10499298,41025,1399607072,5375640576,5377228800,3600011676512,112.348968
16,bench_p26_wt,bench_p26_wt_linear,3600000000000,16,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,4532559936,0,0,0,0,0,0,3168,112.349073
16,bench_p26_wt,bench_p26_wt_linear,3600000000000,16,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,4532559936,0,0,0,0,0,0,528,112.349127
16,bench_p26_wt,bench_p26_wt_linear,3600000000000,16,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,4532559936,0,0,0,0,0,0,1296,112.349172
16,bench_p26_wt,bench_p26_wt_linear,3600000000000,16,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,4532559936,0,0,0,0,0,0,1179648,112.349220
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,128,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,5082804288,16438493,11773897,46006,2592099584,6028235264,6030098432,3600009051392,112.507782
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,128,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,5082804288,0,0,0,0,0,0,3168,112.507886
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,128,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,5082804288,0,0,0,0,0,0,528,112.516204
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,128,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,5082804288,0,0,0,0,0,0,1296,112.516284
