i,suite,case,FILE_SIZE,DISK_SIZE,NO_FRUNCATE,BLOCK_SIZE,DISK_GEOMETRY,SIM_TIME,FS,NO_SET,SEED,SIM_SIZE,SIZE,SKIP_WARMUP,CHUNK,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
17,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,131072,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,246292544,53907664,1293963,68352,53907664,279214399,279969792,3600960342317,4.743578
17,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,131072,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,246292544,0,0,0,0,0,0,3168,4.752106
17,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,131072,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,246292544,0,0,0,0,0,0,528,4.752159
17,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,131072,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,246292544,0,0,0,0,0,0,784,4.752204
17,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,131072,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,246292544,0,0,0,0,0,0,1572864,4.752252
15,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,32768,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,248285248,73982950,1277486,68464,73982950,279149534,280428544,3600209061738,4.934250
15,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,32768,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,248285248,0,0,0,0,0,0,3168,4.934347
15,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,32768,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,248285248,0,0,0,0,0,0,528,4.934400
15,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,32768,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,248285248,0,0,0,0,0,0,784,4.934443
15,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,32768,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,248285248,0,0,0,0,0,0,983040,4.934484
14,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,16384,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,251135040,92791979,1260140,68600,92791979,280274757,280985600,3600161999063,5.049576
14,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,16384,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,251135040,0,0,0,0,0,0,3168,5.049672
14,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,16384,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,251135040,0,0,0,0,0,0,528,5.049719
14,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,16384,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,251135040,0,0,0,0,0,0,784,5.049760
14,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,16384,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,251135040,0,0,0,0,0,0,1671168,5.049815
18,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,262144,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,244596800,57365415,1295847,68352,57365415,279134294,279969792,3601850971514,7.081391
18,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,262144,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,244596800,0,0,0,0,0,0,3168,7.081488
18,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,262144,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,244596800,0,0,0,0,0,0,528,7.081537
18,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,262144,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,244596800,0,0,0,0,0,0,784,7.081580
18,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,262144,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,244596800,0,0,0,0,0,0,2621440,7.081620
20,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,1048576,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,244383808,56366167,1297867,68352,56366167,278974936,279969792,3602616232352,7.087066
20,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,1048576,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,244383808,0,0,0,0,0,0,3168,7.087132
20,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,1048576,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,244383808,0,0,0,0,0,0,528,7.087179
