i,suite,case,SIM_SIZE,NO_FRUNCATE,SKIP_WARMUP,NO_SET,FILE_COUNT,SEED,DISK_SIZE,FS,PROG_SIZE,CHUNK,DISK_GEOMETRY,SIM_TIME,SIZE,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,1,64,0,3600000000000,2097152,64,write,261177664,94483085,1198322,69147,94483085,276522268,283226112,3600037498140,9.882327
12,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,1,64,0,3600000000000,2097152,64,stack,261177664,0,0,0,0,0,0,3168,9.882553
12,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,1,64,0,3600000000000,2097152,64,ctx,261177664,0,0,0,0,0,0,528,9.882607
12,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,1,64,0,3600000000000,2097152,64,heap,261177664,0,0,0,0,0,0,784,9.882654
12,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,1,64,0,3600000000000,2097152,64,usage,261177664,0,0,0,0,0,0,1183744,9.882717
14,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,4,64,0,3600000000000,2097152,64,write,261132608,94382107,1199562,69136,94382107,276652688,283181056,3600037110504,9.923432
14,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,4,64,0,3600000000000,2097152,64,stack,261132608,0,0,0,0,0,0,3168,9.923568
14,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,4,64,0,3600000000000,2097152,64,ctx,261132608,0,0,0,0,0,0,528,9.923625
14,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,4,64,0,3600000000000,2097152,64,heap,261132608,0,0,0,0,0,0,784,9.923675
14,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,4,64,0,3600000000000,2097152,64,usage,261132608,0,0,0,0,0,0,1138688,9.923721
15,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,8,64,0,3600000000000,2097152,64,write,260895040,94778025,1195298,69173,94778025,276616544,283332608,3600011064968,10.038287
15,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,8,64,0,3600000000000,2097152,64,stack,260895040,0,0,0,0,0,0,3168,10.038386
15,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,8,64,0,3600000000000,2097152,64,ctx,260895040,0,0,0,0,0,0,528,10.038439
15,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,8,64,0,3600000000000,2097152,64,heap,260895040,0,0,0,0,0,0,784,10.038487
15,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,8,64,0,3600000000000,2097152,64,usage,260895040,0,0,0,0,0,0,892928,10.038534
13,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,2,64,0,3600000000000,2097152,64,write,261140800,94482489,1198594,69144,94482489,276549264,283213824,3600011826072,10.036516
13,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,2,64,0,3600000000000,2097152,64,stack,261140800,0,0,0,0,0,0,3168,10.036592
13,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,2,64,0,3600000000000,2097152,64,ctx,261140800,0,0,0,0,0,0,528,10.036649
13,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,2,64,0,3600000000000,2097152,64,heap,261140800,0,0,0,0,0,0,784,10.036698
13,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,2,64,0,3600000000000,2097152,64,usage,261140800,0,0,0,0,0,0,1146880,10.036747
17,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,32,64,0,3600000000000,2097152,64,write,259019072,96591970,1181093,69298,96591970,276039072,283844608,3600013664560,10.110353
17,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,32,64,0,3600000000000,2097152,64,stack,259019072,0,0,0,0,0,0,3168,10.110448
17,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,32,64,0,3600000000000,2097152,64,ctx,259019072,0,0,0,0,0,0,528,10.110497
17,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,32,64,0,3600000000000,2097152,64,heap,259019072,0,0,0,0,0,0,784,10.110541
17,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,32,64,0,3600000000000,2097152,64,usage,259019072,0,0,0,0,0,0,1126400,10.110582
18,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,64,64,0,3600000000000,2097152,64,write,256647488,101192814,1170773,69386,101192814,276650560,284205056,3600039877360,10.128036
18,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,64,64,0,3600000000000,2097152,64,stack,256647488,0,0,0,0,0,0,3168,10.128127
18,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,64,64,0,3600000000000,2097152,64,ctx,256647488,0,0,0,0,0,0,528,10.128178
18,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,64,64,0,3600000000000,2097152,64,heap,256647488,0,0,0,0,0,0,784,10.128221
18,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,64,64,0,3600000000000,2097152,64,usage,256647488,0,0,0,0,0,0,843776,10.128263
16,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,16,64,0,3600000000000,2097152,64,write,260297024,95184791,1190287,69218,95184791,276528784,283516928,3600045566280,10.241221
