i,suite,case,SKIP_WARMUP,READ_SIZE,DISK_SIZE,FILE_SIZE,FS,DISK_GEOMETRY,NO_FRUNCATE,SIM_SIZE,SIZE,FILE_COUNT,NO_SET,SEED,SIM_TIME,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
23,bench_p26_wt,bench_p26_wt_linear,0,2048,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,write,255420480,2084218880,1171081,67623,2084218880,270211195,276983808,3600029180961,9.350395
23,bench_p26_wt,bench_p26_wt_linear,0,2048,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,stack,255420480,0,0,0,0,0,0,3168,9.350619
23,bench_p26_wt,bench_p26_wt_linear,0,2048,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,ctx,255420480,0,0,0,0,0,0,528,9.350676
23,bench_p26_wt,bench_p26_wt_linear,0,2048,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,heap,255420480,0,0,0,0,0,0,4368,9.350723
23,bench_p26_wt,bench_p26_wt_linear,0,2048,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,usage,255420480,0,0,0,0,0,0,1732608,9.350772
22,bench_p26_wt,bench_p26_wt_linear,0,1024,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,write,256869440,1581273088,1178182,68006,1581273088,271865125,278552576,3600018568127,9.584281
22,bench_p26_wt,bench_p26_wt_linear,0,1024,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,stack,256869440,0,0,0,0,0,0,3168,9.584383
22,bench_p26_wt,bench_p26_wt_linear,0,1024,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,ctx,256869440,0,0,0,0,0,0,528,9.584437
22,bench_p26_wt,bench_p26_wt_linear,0,1024,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,heap,256869440,0,0,0,0,0,0,2320,9.584485
22,bench_p26_wt,bench_p26_wt_linear,0,1024,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,usage,256869440,0,0,0,0,0,0,1064960,9.584529
21,bench_p26_wt,bench_p26_wt_linear,0,512,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,write,257913408,1216141824,1183270,68285,1216141824,273040165,279695360,3600026119615,9.622658
21,bench_p26_wt,bench_p26_wt_linear,0,512,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,stack,257913408,0,0,0,0,0,0,3168,9.622752
21,bench_p26_wt,bench_p26_wt_linear,0,512,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,ctx,257913408,0,0,0,0,0,0,528,9.622803
21,bench_p26_wt,bench_p26_wt_linear,0,512,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,heap,257913408,0,0,0,0,0,0,1296,9.622849
21,bench_p26_wt,bench_p26_wt_linear,0,512,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,usage,257913408,0,0,0,0,0,0,2146304,9.622892
18,bench_p26_wt,bench_p26_wt_linear,0,64,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,write,260546880,311063808,1195415,68982,311063808,275854393,282550272,3600100087099,9.807056
18,bench_p26_wt,bench_p26_wt_linear,0,64,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,stack,260546880,0,0,0,0,0,0,3168,9.807160
