i,suite,case,FS,NO_FRUNCATE,FILE_COUNT,SIM_TIME,SKIP_WARMUP,CHUNK,BLOCK_SIZE,SEED,NO_SET,DISK_SIZE,SIM_SIZE,SIZE,DISK_GEOMETRY,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
15,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,32768,42,0,134217728,0,2097152,1,64,write,3687580224,54258018,8397011,131348,1172167289,4299269632,4304011264,3600006101243,54.861623
15,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,32768,42,0,134217728,0,2097152,1,64,stack,3687580224,0,0,0,0,0,0,3280,54.861828
15,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,32768,42,0,134217728,0,2097152,1,64,ctx,3687580224,0,0,0,0,0,0,624,54.861878
15,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,32768,42,0,134217728,0,2097152,1,64,heap,3687580224,0,0,0,0,0,0,1296,54.861923
15,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,32768,42,0,134217728,0,2097152,1,64,usage,3687580224,0,0,0,0,0,0,950272,54.861970
12,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,4096,42,0,134217728,0,2097152,1,64,write,1492456000,103265593,3847290,500446,1721822071,1969812480,2049826816,3600012162517,56.464240
12,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,4096,42,0,134217728,0,2097152,1,64,stack,1492456000,0,0,0,0,0,0,3312,56.464359
12,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,4096,42,0,134217728,0,2097152,1,64,ctx,1492456000,0,0,0,0,0,0,624,56.464412
12,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,4096,42,0,134217728,0,2097152,1,64,heap,1492456000,0,0,0,0,0,0,1296,56.464458
12,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,4096,42,0,134217728,0,2097152,1,64,usage,1492456000,0,0,0,0,0,0,1499136,56.464503
16,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,65536,42,0,134217728,0,2097152,1,64,write,4441966656,34471915,10218758,79883,1140304523,5232004096,5235212288,3600001829969,61.980831
16,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,65536,42,0,134217728,0,2097152,1,64,stack,4441966656,0,0,0,0,0,0,3312,61.980935
16,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,65536,42,0,134217728,0,2097152,1,64,ctx,4441966656,0,0,0,0,0,0,624,61.980988
16,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,65536,42,0,134217728,0,2097152,1,64,heap,4441966656,0,0,0,0,0,0,1296,61.981036
16,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,65536,42,0,134217728,0,2097152,1,64,usage,4441966656,0,0,0,0,0,0,524288,61.981082
14,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,16384,42,0,134217728,0,2097152,1,64,write,2942090304,73736647,6602463,207096,1213745306,3380461056,3393060864,3600002665838,64.504544
14,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,16384,42,0,134217728,0,2097152,1,64,stack,2942090304,0,0,0,0,0,0,3312,64.504656
14,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,16384,42,0,134217728,0,2097152,1,64,ctx,2942090304,0,0,0,0,0,0,624,64.504711
14,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,16384,42,0,134217728,0,2097152,1,64,heap,2942090304,0,0,0,0,0,0,1296,64.504755
14,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,16384,42,0,134217728,0,2097152,1,64,usage,2942090304,0,0,0,0,0,0,1982464,64.504798
19,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,524288,42,0,134217728,0,2097152,1,64,write,4574292032,29589052,10663546,41664,1202616550,5459735552,5460983808,3600030938386,64.638217
19,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,524288,42,0,134217728,0,2097152,1,64,stack,4574292032,0,0,0,0,0,0,3312,64.638310
19,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,524288,42,0,134217728,0,2097152,1,64,ctx,4574292032,0,0,0,0,0,0,624,64.638355
19,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,524288,42,0,134217728,0,2097152,1,64,heap,4574292032,0,0,0,0,0,0,1296,64.638391
19,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,524288,42,0,134217728,0,2097152,1,64,usage,4574292032,0,0,0,0,0,0,3145728,64.638425
