i,suite,case,FS,FILE_SIZE,SKIP_WARMUP,PROG_SIZE,NO_FRUNCATE,DISK_SIZE,CHUNK,SIM_TIME,SIM_SIZE,FILE_COUNT,SIZE,NO_SET,DISK_GEOMETRY,SEED,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
14,bench_p26_wt,bench_p26_wt_linear,32,64,0,4,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,2338987584,27825867,11270546,20300,513903260,2656071036,2660761600,3600002984392,56.431652
14,bench_p26_wt,bench_p26_wt_linear,32,64,0,4,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,2338987584,0,0,0,0,0,0,3296,56.440131
14,bench_p26_wt,bench_p26_wt_linear,32,64,0,4,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,2338987584,0,0,0,0,0,0,624,56.440197
14,bench_p26_wt,bench_p26_wt_linear,32,64,0,4,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,2338987584,0,0,0,0,0,0,784,56.440256
14,bench_p26_wt,bench_p26_wt_linear,32,64,0,4,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,2338987584,0,0,0,0,0,0,1310720,56.440307
12,bench_p26_wt,bench_p26_wt_linear,32,64,0,1,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,2323101504,28690586,11189291,20125,504574206,2633880656,2637824000,3600009336010,56.627785
12,bench_p26_wt,bench_p26_wt_linear,32,64,0,1,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,2323101504,0,0,0,0,0,0,3296,56.627890
12,bench_p26_wt,bench_p26_wt_linear,32,64,0,1,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,2323101504,0,0,0,0,0,0,624,56.627948
12,bench_p26_wt,bench_p26_wt_linear,32,64,0,1,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,2323101504,0,0,0,0,0,0,784,56.627999
12,bench_p26_wt,bench_p26_wt_linear,32,64,0,1,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,2323101504,0,0,0,0,0,0,2228224,56.628047
13,bench_p26_wt,bench_p26_wt_linear,32,64,0,2,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,2332040512,28112434,11243346,20239,515050531,2648261538,2652766208,3600003058591,57.212635
13,bench_p26_wt,bench_p26_wt_linear,32,64,0,2,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,2332040512,0,0,0,0,0,0,3296,57.212741
13,bench_p26_wt,bench_p26_wt_linear,32,64,0,2,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,2332040512,0,0,0,0,0,0,624,57.212795
13,bench_p26_wt,bench_p26_wt_linear,32,64,0,2,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,2332040512,0,0,0,0,0,0,784,57.212844
13,bench_p26_wt,bench_p26_wt_linear,32,64,0,2,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,2332040512,0,0,0,0,0,0,655360,57.212890
18,bench_p26_wt,bench_p26_wt_linear,32,64,0,64,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,2337631296,28052701,11236822,20622,588672819,2698371520,2702966784,3600008921609,57.378679
18,bench_p26_wt,bench_p26_wt_linear,32,64,0,64,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,2337631296,0,0,0,0,0,0,3296,57.378784
18,bench_p26_wt,bench_p26_wt_linear,32,64,0,64,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,2337631296,0,0,0,0,0,0,624,57.378838
18,bench_p26_wt,bench_p26_wt_linear,32,64,0,64,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,2337631296,0,0,0,0,0,0,784,57.378886
18,bench_p26_wt,bench_p26_wt_linear,32,64,0,64,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,2337631296,0,0,0,0,0,0,2097152,57.378932
19,bench_p26_wt,bench_p26_wt_linear,32,64,0,128,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,2344490560,28099146,11223786,20763,663038440,2720424064,2721447936,3600002393528,57.714638
19,bench_p26_wt,bench_p26_wt_linear,32,64,0,128,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,2344490560,0,0,0,0,0,0,3296,57.714741
19,bench_p26_wt,bench_p26_wt_linear,32,64,0,128,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,2344490560,0,0,0,0,0,0,624,57.714794
19,bench_p26_wt,bench_p26_wt_linear,32,64,0,128,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,2344490560,0,0,0,0,0,0,784,57.714841
19,bench_p26_wt,bench_p26_wt_linear,32,64,0,128,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,2344490560,0,0,0,0,0,0,2621440,57.714889
16,bench_p26_wt,bench_p26_wt_linear,32,64,0,16,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,2327053376,28285895,11223720,20291,537143479,2654512544,2659581952,3600003133557,59.015832
16,bench_p26_wt,bench_p26_wt_linear,32,64,0,16,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,2327053376,0,0,0,0,0,0,3296,59.015973
16,bench_p26_wt,bench_p26_wt_linear,32,64,0,16,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,2327053376,0,0,0,0,0,0,624,59.016026
16,bench_p26_wt,bench_p26_wt_linear,32,64,0,16,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,2327053376,0,0,0,0,0,0,784,59.016075
16,bench_p26_wt,bench_p26_wt_linear,32,64,0,16,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,2327053376,0,0,0,0,0,0,1966080,59.016124
15,bench_p26_wt,bench_p26_wt_linear,32,64,0,8,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,2327709248,28243244,11229278,20257,527324947,2649916432,2655125504,3600002917273,59.050464
