i,suite,case,FS,FILE_SIZE,NO_FRUNCATE,SKIP_WARMUP,CHUNK,SIM_SIZE,SIM_TIME,READ_SIZE,DISK_GEOMETRY,NO_SET,FILE_COUNT,SEED,DISK_SIZE,SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
13,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,2,1,0,32768,42,134217728,2097152,write,3768454720,50764699,8730829,34115,997624738,4470184448,4471521280,3600004446982,81.261635
13,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,2,1,0,32768,42,134217728,2097152,stack,3768454720,0,0,0,0,0,0,3312,81.261846
13,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,2,1,0,32768,42,134217728,2097152,ctx,3768454720,0,0,0,0,0,0,624,81.261898
13,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,2,1,0,32768,42,134217728,2097152,heap,3768454720,0,0,0,0,0,0,1296,81.261960
13,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,2,1,0,32768,42,134217728,2097152,usage,3768454720,0,0,0,0,0,0,2621440,81.262009
14,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,4,1,0,32768,42,134217728,2097152,write,3699245632,52491752,8570492,33488,1019191488,4388091904,4389339136,3600004617792,83.160768
14,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,4,1,0,32768,42,134217728,2097152,stack,3699245632,0,0,0,0,0,0,3312,83.160872
14,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,4,1,0,32768,42,134217728,2097152,ctx,3699245632,0,0,0,0,0,0,624,83.160923
14,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,4,1,0,32768,42,134217728,2097152,heap,3699245632,0,0,0,0,0,0,1296,83.160968
14,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,4,1,0,32768,42,134217728,2097152,usage,3699245632,0,0,0,0,0,0,2621440,83.161011
15,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,8,1,0,32768,42,134217728,2097152,write,4004928576,44671229,9278741,36256,1172627648,4750715392,4752146432,3600014949440,86.949560
15,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,8,1,0,32768,42,134217728,2097152,stack,4004928576,0,0,0,0,0,0,3312,86.949664
15,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,8,1,0,32768,42,134217728,2097152,ctx,4004928576,0,0,0,0,0,0,624,86.949716
15,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,8,1,0,32768,42,134217728,2097152,heap,4004928576,0,0,0,0,0,0,1296,86.949760
15,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,8,1,0,32768,42,134217728,2097152,usage,4004928576,0,0,0,0,0,0,2228224,86.949803
12,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,1,1,0,32768,42,134217728,2097152,write,4630589504,28918859,10728232,41919,1158180569,5492854784,5494407168,3600008792603,91.549204
12,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,1,1,0,32768,42,134217728,2097152,stack,4630589504,0,0,0,0,0,0,3312,91.549308
12,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,1,1,0,32768,42,134217728,2097152,ctx,4630589504,0,0,0,0,0,0,624,91.549359
12,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,1,1,0,32768,42,134217728,2097152,heap,4630589504,0,0,0,0,0,0,1296,91.549401
12,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,1,1,0,32768,42,134217728,2097152,usage,4630589504,0,0,0,0,0,0,786432,91.549440
16,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,16,1,0,32768,42,134217728,2097152,write,4524879936,31402412,10483351,40963,1390490240,5367475712,5369102336,3600011712896,95.889131
16,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,16,1,0,32768,42,134217728,2097152,stack,4524879936,0,0,0,0,0,0,3312,95.889235
16,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,16,1,0,32768,42,134217728,2097152,ctx,4524879936,0,0,0,0,0,0,624,95.889283
16,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,16,1,0,32768,42,134217728,2097152,heap,4524879936,0,0,0,0,0,0,1296,95.889325
16,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,16,1,0,32768,42,134217728,2097152,usage,4524879936,0,0,0,0,0,0,2097152,95.889363
19,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,128,1,0,32768,42,134217728,2097152,write,5079083072,16504867,11767333,45979,2598714112,6024874496,6026559488,3600008941312,98.489538
19,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,128,1,0,32768,42,134217728,2097152,stack,5079083072,0,0,0,0,0,0,3312,98.489661
19,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,128,1,0,32768,42,134217728,2097152,ctx,5079083072,0,0,0,0,0,0,624,98.489712
19,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,128,1,0,32768,42,134217728,2097152,heap,5079083072,0,0,0,0,0,0,1296,98.489759
19,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,128,1,0,32768,42,134217728,2097152,usage,5079083072,0,0,0,0,0,0,2621440,98.489805
21,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,512,1,0,32768,42,134217728,2097152,write,5035505216,14050727,11666326,45584,7193972224,5973158912,5974786048,3600009498112,100.385725
21,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,512,1,0,32768,42,134217728,2097152,stack,5035505216,0,0,0,0,0,0,3312,100.385825
21,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,512,1,0,32768,42,134217728,2097152,ctx,5035505216,0,0,0,0,0,0,624,100.385874
21,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,512,1,0,32768,42,134217728,2097152,heap,5035505216,0,0,0,0,0,0,1552,100.385919
21,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,512,1,0,32768,42,134217728,2097152,usage,5035505216,0,0,0,0,0,0,917504,100.385962
17,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,32,1,0,32768,42,134217728,2097152,write,4834992192,23398826,11201832,43770,1636439456,5735337984,5737021440,3600013576928,100.781684
17,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,32,1,0,32768,42,134217728,2097152,stack,4834992192,0,0,0,0,0,0,3312,100.781776
17,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,32,1,0,32768,42,134217728,2097152,ctx,4834992192,0,0,0,0,0,0,624,100.781823
17,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,32,1,0,32768,42,134217728,2097152,heap,4834992192,0,0,0,0,0,0,1296,100.781862
17,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,32,1,0,32768,42,134217728,2097152,usage,4834992192,0,0,0,0,0,0,1835008,100.781904
18,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,64,1,0,32768,42,134217728,2097152,write,5014850624,18637948,11618504,45398,1933174400,5948674048,5950406656,3600010365824,100.969607
18,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,64,1,0,32768,42,134217728,2097152,stack,5014850624,0,0,0,0,0,0,3312,100.969685
18,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,64,1,0,32768,42,134217728,2097152,ctx,5014850624,0,0,0,0,0,0,624,100.978065
18,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,64,1,0,32768,42,134217728,2097152,heap,5014850624,0,0,0,0,0,0,1296,100.978145
18,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,64,1,0,32768,42,134217728,2097152,usage,5014850624,0,0,0,0,0,0,1310720,100.978185
20,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,256,1,0,32768,42,134217728,2097152,write,5051386944,16037854,11703117,45728,4105690624,5991995904,5993660416,3600001251328,101.887928
20,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,256,1,0,32768,42,134217728,2097152,stack,5051386944,0,0,0,0,0,0,3312,101.888015
20,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,256,1,0,32768,42,134217728,2097152,ctx,5051386944,0,0,0,0,0,0,624,101.888055
20,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,256,1,0,32768,42,134217728,2097152,heap,5051386944,0,0,0,0,0,0,1296,101.888088
