i,suite,case,FS,SEED,SKIP_WARMUP,NO_SET,SIZE,CHUNK,SIM_SIZE,DISK_SIZE,BLOCK_SIZE,NO_FRUNCATE,FILE_SIZE,SIM_TIME,DISK_GEOMETRY,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
16,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,65536,1,64,3600000000000,0,32768,write,247074880,56415816,1290058,68368,56415816,279454486,280035328,3600222708706,4.717153
16,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,65536,1,64,3600000000000,0,32768,stack,247074880,0,0,0,0,0,0,3312,4.717357
16,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,65536,1,64,3600000000000,0,32768,ctx,247074880,0,0,0,0,0,0,624,4.717408
16,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,65536,1,64,3600000000000,0,32768,heap,247074880,0,0,0,0,0,0,784,4.717461
16,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,65536,1,64,3600000000000,0,32768,usage,247074880,0,0,0,0,0,0,2097152,4.717509
15,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,32768,1,64,3600000000000,0,32768,write,248163136,73079998,1277961,68456,73079998,279210570,280395776,3600004174894,5.378088
15,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,32768,1,64,3600000000000,0,32768,stack,248163136,0,0,0,0,0,0,3312,5.378188
15,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,32768,1,64,3600000000000,0,32768,ctx,248163136,0,0,0,0,0,0,624,5.378240
15,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,32768,1,64,3600000000000,0,32768,heap,248163136,0,0,0,0,0,0,784,5.378285
15,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,32768,1,64,3600000000000,0,32768,usage,248163136,0,0,0,0,0,0,884736,5.378328
17,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,131072,1,64,3600000000000,0,32768,write,246292544,53575723,1294887,68352,53575723,279272704,279969792,3601317890744,5.761280
