i,suite,case,SKIP_WARMUP,FILE_COUNT,NO_FRUNCATE,SIM_TIME,FILE_SIZE,FS,SIM_SIZE,SIZE,DISK_GEOMETRY,SEED,CHUNK,PROG_SIZE,DISK_SIZE,NO_SET,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
16,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,16,134217728,0,write,258167104,86165459,1191471,69215,86165459,276608400,283504640,3600025061288,9.192579
16,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,16,134217728,0,stack,258167104,0,0,0,0,0,0,3232,9.192806
16,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,16,134217728,0,ctx,258167104,0,0,0,0,0,0,624,9.192863
16,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,16,134217728,0,heap,258167104,0,0,0,0,0,0,784,9.192911
16,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,16,134217728,0,usage,258167104,0,0,0,0,0,0,245760,9.192959
17,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,32,134217728,0,write,257153088,86936368,1181123,69306,86936368,276182240,283877376,3600002153760,9.400758
17,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,32,134217728,0,stack,257153088,0,0,0,0,0,0,3312,9.400859
17,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,32,134217728,0,ctx,257153088,0,0,0,0,0,0,624,9.400914
17,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,32,134217728,0,heap,257153088,0,0,0,0,0,0,784,9.400961
17,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,32,134217728,0,usage,257153088,0,0,0,0,0,0,1363968,9.401007
14,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,4,134217728,0,write,258675008,86169675,1201470,69126,86169675,276594724,283140096,3600020969572,9.413953
14,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,4,134217728,0,stack,258675008,0,0,0,0,0,0,3264,9.414031
14,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,4,134217728,0,ctx,258675008,0,0,0,0,0,0,624,9.414083
14,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,4,134217728,0,heap,258675008,0,0,0,0,0,0,784,9.414129
14,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,4,134217728,0,usage,258675008,0,0,0,0,0,0,778240,9.414172
15,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,8,134217728,0,write,258548032,86460536,1197085,69165,86460536,276630416,283299840,3600033668464,9.430533
15,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,8,134217728,0,stack,258548032,0,0,0,0,0,0,3264,9.430614
15,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,8,134217728,0,ctx,258548032,0,0,0,0,0,0,624,9.430666
15,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,8,134217728,0,heap,258548032,0,0,0,0,0,0,784,9.430714
15,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,8,134217728,0,usage,258548032,0,0,0,0,0,0,638976,9.430758
18,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,64,134217728,0,write,255111488,91008827,1170128,69401,91008827,276523968,284266496,3600047009912,9.474107
18,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,64,134217728,0,stack,255111488,0,0,0,0,0,0,3312,9.474197
18,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,64,134217728,0,ctx,255111488,0,0,0,0,0,0,624,9.474247
18,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,64,134217728,0,heap,255111488,0,0,0,0,0,0,784,9.474292
18,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,64,134217728,0,usage,255111488,0,0,0,0,0,0,1429504,9.474335
13,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2,134217728,0,write,258683200,86453584,1200477,69135,86453584,276492562,283176960,3600038045654,9.502621
13,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2,134217728,0,stack,258683200,0,0,0,0,0,0,3312,9.502710
13,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2,134217728,0,ctx,258683200,0,0,0,0,0,0,624,9.502762
13,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2,134217728,0,heap,258683200,0,0,0,0,0,0,784,9.502809
13,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2,134217728,0,usage,258683200,0,0,0,0,0,0,786432,9.502853
12,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,1,134217728,0,write,258715968,86387406,1200116,69140,86387406,276470753,283197440,3600115531235,9.581717
12,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,1,134217728,0,stack,258715968,0,0,0,0,0,0,3312,9.581810
12,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,1,134217728,0,ctx,258715968,0,0,0,0,0,0,624,9.581860
12,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,1,134217728,0,heap,258715968,0,0,0,0,0,0,784,9.581902
12,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,1,134217728,0,usage,258715968,0,0,0,0,0,0,823296,9.581944
19,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,128,134217728,0,write,254628160,98973297,1138754,69672,98973297,277204736,285376512,3600019543208,9.672780
19,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,128,134217728,0,stack,254628160,0,0,0,0,0,0,3312,9.672877
19,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,128,134217728,0,ctx,254628160,0,0,0,0,0,0,624,9.672926
19,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,128,134217728,0,heap,254628160,0,0,0,0,0,0,784,9.672969
19,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,128,134217728,0,usage,254628160,0,0,0,0,0,0,929792,9.673010
20,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,256,134217728,0,write,240173376,167213771,1090194,70046,167213771,279089664,286908416,3600184257464,10.009577
20,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,256,134217728,0,stack,240173376,0,0,0,0,0,0,3264,10.009654
20,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,256,134217728,0,ctx,240173376,0,0,0,0,0,0,624,10.009687
20,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,256,134217728,0,heap,240173376,0,0,0,0,0,0,784,10.009714
20,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,256,134217728,0,usage,240173376,0,0,0,0,0,0,1171456,10.009738
21,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,512,134217728,0,write,209854016,237698130,1077900,70091,237698130,275942400,287092736,3600049599696,10.390737
21,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,512,134217728,0,stack,209854016,0,0,0,0,0,0,3312,10.390824
21,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,512,134217728,0,ctx,209854016,0,0,0,0,0,0,624,10.390863
21,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,512,134217728,0,heap,209854016,0,0,0,0,0,0,1296,10.390897
21,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,512,134217728,0,usage,209854016,0,0,0,0,0,0,196608,10.390928
22,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,1024,134217728,0,write,165176384,336769729,1035412,70387,336769729,265065472,288305152,3600124765736,11.086020
22,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,1024,134217728,0,stack,165176384,0,0,0,0,0,0,3136,11.086083
22,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,1024,134217728,0,ctx,165176384,0,0,0,0,0,0,624,11.086113
22,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,1024,134217728,0,heap,165176384,0,0,0,0,0,0,2320,11.086158
22,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,1024,134217728,0,usage,165176384,0,0,0,0,0,0,1769472,11.086191
23,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2048,134217728,0,write,115923008,410364876,916440,71395,410364876,234608640,292433920,3600244508640,11.683203
23,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2048,134217728,0,stack,115923008,0,0,0,0,0,0,3216,11.683272
23,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2048,134217728,0,ctx,115923008,0,0,0,0,0,0,624,11.683305
23,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2048,134217728,0,heap,115923008,0,0,0,0,0,0,4368,11.683331
23,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2048,134217728,0,usage,115923008,0,0,0,0,0,0,675840,11.683357
24,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,4096,134217728,0,write,95154240,298017297,1116800,69800,298017297,285900800,285900800,3605121946280,5.563929
24,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,4096,134217728,0,stack,95154240,0,0,0,0,0,0,3168,5.563995
24,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,4096,134217728,0,ctx,95154240,0,0,0,0,0,0,624,5.564042
24,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,4096,134217728,0,heap,95154240,0,0,0,0,0,0,8464,5.564079
24,bench_p26_wt,bench_p26_wt_linear,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,4096,134217728,0,usage,95154240,0,0,0,0,0,0,913408,5.564101
35,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,1024,134217728,0,write,1267520,739676405,913688,72457,739676405,233904128,296783872,3660091004488,15.645384
35,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,1024,134217728,0,stack,1267520,0,0,0,0,0,0,3200,15.645517
35,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,1024,134217728,0,ctx,1267520,0,0,0,0,0,0,608,15.645576
35,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,1024,134217728,0,heap,1267520,0,0,0,0,0,0,2320,15.645628
35,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,1024,134217728,0,usage,1267520,0,0,0,0,0,0,5607424,15.645679
36,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2048,134217728,0,write,713088,623810793,713992,73185,623810793,182781952,299765760,3607340119144,15.769183
36,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2048,134217728,0,stack,713088,0,0,0,0,0,0,3200,15.769292
36,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2048,134217728,0,ctx,713088,0,0,0,0,0,0,608,15.769351
36,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2048,134217728,0,heap,713088,0,0,0,0,0,0,4368,15.769402
36,bench_p26_wt,bench_p26_wt_random,0,32768,1,3600000000000,64,32,0,2097152,0,42,64,2048,134217728,0,usage,713088,0,0,0,0,0,0,5234688,15.769448
