i,suite,case,SIM_SIZE,SKIP_WARMUP,SIZE,DISK_GEOMETRY,SIM_TIME,NO_SET,READ_SIZE,CHUNK,NO_FRUNCATE,SEED,FILE_COUNT,DISK_SIZE,FS,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
23,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,2048,64,1,42,32768,134217728,32,64,write,252430400,2272952320,1170246,67463,2272952320,269550522,276328448,3600032073934,6.809010
23,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,2048,64,1,42,32768,134217728,32,64,stack,252430400,0,0,0,0,0,0,3312,6.809232
23,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,2048,64,1,42,32768,134217728,32,64,ctx,252430400,0,0,0,0,0,0,624,6.809290
23,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,2048,64,1,42,32768,134217728,32,64,heap,252430400,0,0,0,0,0,0,4368,6.809339
23,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,2048,64,1,42,32768,134217728,32,64,usage,252430400,0,0,0,0,0,0,827392,6.809387
12,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,1,64,1,42,32768,134217728,32,64,write,258715968,86387406,1200116,69140,86387406,276470753,283197440,3600115531235,7.488939
12,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,1,64,1,42,32768,134217728,32,64,stack,258715968,0,0,0,0,0,0,3312,7.489042
12,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,1,64,1,42,32768,134217728,32,64,ctx,258715968,0,0,0,0,0,0,624,7.489095
12,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,1,64,1,42,32768,134217728,32,64,heap,258715968,0,0,0,0,0,0,784,7.489142
12,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,1,64,1,42,32768,134217728,32,64,usage,258715968,0,0,0,0,0,0,823296,7.489187
19,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,128,64,1,42,32768,134217728,32,64,write,257671488,442614400,1195354,68864,442614400,275365333,282066944,3600018569423,8.454703
19,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,128,64,1,42,32768,134217728,32,64,stack,257671488,0,0,0,0,0,0,3312,8.454816
19,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,128,64,1,42,32768,134217728,32,64,ctx,257671488,0,0,0,0,0,0,624,8.454875
19,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,128,64,1,42,32768,134217728,32,64,heap,257671488,0,0,0,0,0,0,784,8.454926
19,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,128,64,1,42,32768,134217728,32,64,usage,257671488,0,0,0,0,0,0,1908736,8.454976
22,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,1024,64,1,42,32768,134217728,32,64,write,254420032,1578835968,1179905,67993,1578835968,271794057,278499328,3600024171051,8.951391
22,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,1024,64,1,42,32768,134217728,32,64,stack,254420032,0,0,0,0,0,0,3312,8.951481
22,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,1024,64,1,42,32768,134217728,32,64,ctx,254420032,0,0,0,0,0,0,624,8.951527
22,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,1024,64,1,42,32768,134217728,32,64,heap,254420032,0,0,0,0,0,0,2320,8.951564
22,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,1024,64,1,42,32768,134217728,32,64,usage,254420032,0,0,0,0,0,0,716800,8.951600
21,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,512,64,1,42,32768,134217728,32,64,write,255717952,1123017728,1186212,68342,1123017728,273249573,279928832,3600047234495,8.982778
21,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,512,64,1,42,32768,134217728,32,64,stack,255717952,0,0,0,0,0,0,3312,8.982868
21,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,512,64,1,42,32768,134217728,32,64,ctx,255717952,0,0,0,0,0,0,624,8.982919
21,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,512,64,1,42,32768,134217728,32,64,heap,255717952,0,0,0,0,0,0,1296,8.982962
