i,suite,case,SKIP_WARMUP,SIM_SIZE,SIZE,BLOCK_SIZE,CHUNK,DISK_SIZE,FILE_SIZE,FILE_COUNT,SEED,FS,NO_FRUNCATE,DISK_GEOMETRY,SIM_TIME,NO_SET,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
13,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,8192,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,2804949568,78319424,6173386,390352,1302739023,3160773632,3197763584,3600008890845,44.201899
13,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,8192,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,2804949568,0,0,0,0,0,0,3232,44.202122
13,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,8192,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,2804949568,0,0,0,0,0,0,624,44.202185
13,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,8192,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,2804949568,0,0,0,0,0,0,1296,44.202236
13,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,8192,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,2804949568,0,0,0,0,0,0,1122304,44.202282
12,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,4096,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,1492456000,103265593,3847290,500446,1721822071,1969812480,2049826816,3600012162517,55.873656
12,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,4096,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,1492456000,0,0,0,0,0,0,3312,55.873796
12,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,4096,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,1492456000,0,0,0,0,0,0,624,55.873862
12,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,4096,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,1492456000,0,0,0,0,0,0,1296,55.873919
12,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,4096,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,1492456000,0,0,0,0,0,0,1499136,55.873974
17,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,131072,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,4630589504,28918859,10728232,41919,1158180569,5492854784,5494407168,3600008792603,63.514103
17,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,131072,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,4630589504,0,0,0,0,0,0,3312,63.514209
17,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,131072,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,4630589504,0,0,0,0,0,0,624,63.514260
17,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,131072,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,4630589504,0,0,0,0,0,0,1296,63.514308
17,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,131072,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,4630589504,0,0,0,0,0,0,786432,63.514359
19,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,524288,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,4574292032,29589052,10663546,41664,1202616550,5459735552,5460983808,3600030938386,63.893097
19,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,524288,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,4574292032,0,0,0,0,0,0,3312,63.893197
19,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,524288,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,4574292032,0,0,0,0,0,0,624,63.893248
19,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,524288,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,4574292032,0,0,0,0,0,0,1296,63.893293
19,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,524288,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,4574292032,0,0,0,0,0,0,3145728,63.893336
14,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,16384,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,2942090304,73736647,6602463,207096,1213745306,3380461056,3393060864,3600002665838,67.839324
14,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,16384,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,2942090304,0,0,0,0,0,0,3312,67.839425
