i,suite,case,FILE_SIZE,NO_FRUNCATE,FS,PROG_SIZE,FILE_COUNT,DISK_GEOMETRY,SIM_TIME,NO_SET,CHUNK,SEED,SIM_SIZE,DISK_SIZE,SIZE,SKIP_WARMUP,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
16,bench_p26_wt,bench_p26_wt_linear,64,0,33,16,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,2327053376,28285895,11223720,20291,537143479,2654512544,2659581952,3600003133557,55.210743
16,bench_p26_wt,bench_p26_wt_linear,64,0,33,16,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,2327053376,0,0,0,0,0,0,3296,55.210979
16,bench_p26_wt,bench_p26_wt_linear,64,0,33,16,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,2327053376,0,0,0,0,0,0,624,55.211041
16,bench_p26_wt,bench_p26_wt_linear,64,0,33,16,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,2327053376,0,0,0,0,0,0,784,55.211112
16,bench_p26_wt,bench_p26_wt_linear,64,0,33,16,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,2327053376,0,0,0,0,0,0,1966080,55.211170
14,bench_p26_wt,bench_p26_wt_linear,64,0,33,4,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,2338987584,27825867,11270546,20300,513903260,2656071036,2660761600,3600002984392,55.527507
14,bench_p26_wt,bench_p26_wt_linear,64,0,33,4,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,2338987584,0,0,0,0,0,0,3296,55.527615
14,bench_p26_wt,bench_p26_wt_linear,64,0,33,4,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,2338987584,0,0,0,0,0,0,624,55.527672
14,bench_p26_wt,bench_p26_wt_linear,64,0,33,4,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,2338987584,0,0,0,0,0,0,784,55.527721
14,bench_p26_wt,bench_p26_wt_linear,64,0,33,4,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,2338987584,0,0,0,0,0,0,1310720,55.527768
13,bench_p26_wt,bench_p26_wt_linear,64,0,33,2,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,2332040512,28112434,11243346,20239,515050531,2648261538,2652766208,3600003058591,55.915702
13,bench_p26_wt,bench_p26_wt_linear,64,0,33,2,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,2332040512,0,0,0,0,0,0,3296,55.915809
13,bench_p26_wt,bench_p26_wt_linear,64,0,33,2,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,2332040512,0,0,0,0,0,0,624,55.915866
13,bench_p26_wt,bench_p26_wt_linear,64,0,33,2,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,2332040512,0,0,0,0,0,0,784,55.915916
13,bench_p26_wt,bench_p26_wt_linear,64,0,33,2,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,2332040512,0,0,0,0,0,0,655360,55.915963
18,bench_p26_wt,bench_p26_wt_linear,64,0,33,64,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,2337631296,28052701,11236822,20622,588672819,2698371520,2702966784,3600008921609,56.045996
18,bench_p26_wt,bench_p26_wt_linear,64,0,33,64,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,2337631296,0,0,0,0,0,0,3296,56.046101
18,bench_p26_wt,bench_p26_wt_linear,64,0,33,64,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,2337631296,0,0,0,0,0,0,624,56.046157
18,bench_p26_wt,bench_p26_wt_linear,64,0,33,64,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,2337631296,0,0,0,0,0,0,784,56.046206
18,bench_p26_wt,bench_p26_wt_linear,64,0,33,64,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,2337631296,0,0,0,0,0,0,2097152,56.046252
19,bench_p26_wt,bench_p26_wt_linear,64,0,33,128,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,2344490560,28099146,11223786,20763,663038440,2720424064,2721447936,3600002393528,56.382034
19,bench_p26_wt,bench_p26_wt_linear,64,0,33,128,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,2344490560,0,0,0,0,0,0,3296,56.382135
19,bench_p26_wt,bench_p26_wt_linear,64,0,33,128,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,2344490560,0,0,0,0,0,0,624,56.382188
19,bench_p26_wt,bench_p26_wt_linear,64,0,33,128,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,2344490560,0,0,0,0,0,0,784,56.382235
19,bench_p26_wt,bench_p26_wt_linear,64,0,33,128,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,2344490560,0,0,0,0,0,0,2621440,56.382286
20,bench_p26_wt,bench_p26_wt_linear,64,0,33,256,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,2343313216,28176865,11185212,21853,814832022,2863414272,2864316416,3600018389538,57.684319
20,bench_p26_wt,bench_p26_wt_linear,64,0,33,256,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,2343313216,0,0,0,0,0,0,3296,57.684432
20,bench_p26_wt,bench_p26_wt_linear,64,0,33,256,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,2343313216,0,0,0,0,0,0,624,57.684489
20,bench_p26_wt,bench_p26_wt_linear,64,0,33,256,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,2343313216,0,0,0,0,0,0,784,57.684545
20,bench_p26_wt,bench_p26_wt_linear,64,0,33,256,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,2343313216,0,0,0,0,0,0,1441792,57.684591
17,bench_p26_wt,bench_p26_wt_linear,64,0,33,32,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,2348010048,27636847,11284124,20474,539395760,2678831392,2683568128,3600009075824,58.095903
