i,suite,case,READ_SIZE,SIM_TIME,FS,NO_FRUNCATE,NO_SET,SIM_SIZE,CHUNK,SKIP_WARMUP,DISK_GEOMETRY,FILE_SIZE,FILE_COUNT,DISK_SIZE,SEED,SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
14,bench_p26_wt,bench_p26_wt_linear,4,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,3699245632,52491752,8570492,33488,1019191488,4388091904,4389339136,3600004617792,83.683401
14,bench_p26_wt,bench_p26_wt_linear,4,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,3699245632,0,0,0,0,0,0,3312,83.683644
14,bench_p26_wt,bench_p26_wt_linear,4,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,3699245632,0,0,0,0,0,0,624,83.683702
14,bench_p26_wt,bench_p26_wt_linear,4,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,3699245632,0,0,0,0,0,0,1296,83.683755
14,bench_p26_wt,bench_p26_wt_linear,4,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,3699245632,0,0,0,0,0,0,2621440,83.683802
13,bench_p26_wt,bench_p26_wt_linear,2,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,3768454720,50764699,8730829,34115,997624738,4470184448,4471521280,3600004446982,87.212618
13,bench_p26_wt,bench_p26_wt_linear,2,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,3768454720,0,0,0,0,0,0,3312,87.212721
13,bench_p26_wt,bench_p26_wt_linear,2,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,3768454720,0,0,0,0,0,0,624,87.212774
13,bench_p26_wt,bench_p26_wt_linear,2,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,3768454720,0,0,0,0,0,0,1296,87.212829
13,bench_p26_wt,bench_p26_wt_linear,2,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,3768454720,0,0,0,0,0,0,2621440,87.212876
15,bench_p26_wt,bench_p26_wt_linear,8,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,4004928576,44671229,9278741,36256,1172627648,4750715392,4752146432,3600014949440,92.398958
15,bench_p26_wt,bench_p26_wt_linear,8,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,4004928576,0,0,0,0,0,0,3312,92.399068
15,bench_p26_wt,bench_p26_wt_linear,8,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,4004928576,0,0,0,0,0,0,624,92.399120
15,bench_p26_wt,bench_p26_wt_linear,8,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,4004928576,0,0,0,0,0,0,1296,92.399165
15,bench_p26_wt,bench_p26_wt_linear,8,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,4004928576,0,0,0,0,0,0,2228224,92.399209
16,bench_p26_wt,bench_p26_wt_linear,16,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,4524879936,31402412,10483351,40963,1390490240,5367475712,5369102336,3600011712896,101.340483
16,bench_p26_wt,bench_p26_wt_linear,16,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,4524879936,0,0,0,0,0,0,3312,101.340588
16,bench_p26_wt,bench_p26_wt_linear,16,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,4524879936,0,0,0,0,0,0,624,101.340640
16,bench_p26_wt,bench_p26_wt_linear,16,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,4524879936,0,0,0,0,0,0,1296,101.340687
16,bench_p26_wt,bench_p26_wt_linear,16,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,4524879936,0,0,0,0,0,0,2097152,101.340730
20,bench_p26_wt,bench_p26_wt_linear,256,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,5051386944,16037854,11703117,45728,4105690624,5991995904,5993660416,3600001251328,101.532484
20,bench_p26_wt,bench_p26_wt_linear,256,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,5051386944,0,0,0,0,0,0,3312,101.532586
20,bench_p26_wt,bench_p26_wt_linear,256,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,5051386944,0,0,0,0,0,0,624,101.532639
20,bench_p26_wt,bench_p26_wt_linear,256,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,5051386944,0,0,0,0,0,0,1296,101.532684
20,bench_p26_wt,bench_p26_wt_linear,256,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,5051386944,0,0,0,0,0,0,2097152,101.532732
12,bench_p26_wt,bench_p26_wt_linear,1,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,4630589504,28918859,10728232,41919,1158180569,5492854784,5494407168,3600008792603,104.261248
12,bench_p26_wt,bench_p26_wt_linear,1,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,4630589504,0,0,0,0,0,0,3312,104.261349
12,bench_p26_wt,bench_p26_wt_linear,1,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,4630589504,0,0,0,0,0,0,624,104.261398
12,bench_p26_wt,bench_p26_wt_linear,1,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,4630589504,0,0,0,0,0,0,1296,104.261442
12,bench_p26_wt,bench_p26_wt_linear,1,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,4630589504,0,0,0,0,0,0,786432,104.261484
18,bench_p26_wt,bench_p26_wt_linear,64,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,5014850624,18637948,11618504,45398,1933174400,5948674048,5950406656,3600010365824,104.596981
18,bench_p26_wt,bench_p26_wt_linear,64,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,5014850624,0,0,0,0,0,0,3312,104.597081
18,bench_p26_wt,bench_p26_wt_linear,64,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,5014850624,0,0,0,0,0,0,624,104.597131
18,bench_p26_wt,bench_p26_wt_linear,64,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,5014850624,0,0,0,0,0,0,1296,104.597176
18,bench_p26_wt,bench_p26_wt_linear,64,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,5014850624,0,0,0,0,0,0,1310720,104.597218
19,bench_p26_wt,bench_p26_wt_linear,128,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,5079083072,16504867,11767333,45979,2598714112,6024874496,6026559488,3600008941312,105.368366
19,bench_p26_wt,bench_p26_wt_linear,128,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,5079083072,0,0,0,0,0,0,3312,105.368467
19,bench_p26_wt,bench_p26_wt_linear,128,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,5079083072,0,0,0,0,0,0,624,105.368518
19,bench_p26_wt,bench_p26_wt_linear,128,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,5079083072,0,0,0,0,0,0,1296,105.368563
19,bench_p26_wt,bench_p26_wt_linear,128,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,5079083072,0,0,0,0,0,0,2621440,105.368604
17,bench_p26_wt,bench_p26_wt_linear,32,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,4834992192,23398826,11201832,43770,1636439456,5735337984,5737021440,3600013576928,106.078767
17,bench_p26_wt,bench_p26_wt_linear,32,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,4834992192,0,0,0,0,0,0,3312,106.078861
17,bench_p26_wt,bench_p26_wt_linear,32,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,4834992192,0,0,0,0,0,0,624,106.078904
17,bench_p26_wt,bench_p26_wt_linear,32,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,4834992192,0,0,0,0,0,0,1296,106.078939
17,bench_p26_wt,bench_p26_wt_linear,32,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,4834992192,0,0,0,0,0,0,1835008,106.078971
21,bench_p26_wt,bench_p26_wt_linear,512,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,5035505216,14050727,11666326,45584,7193972224,5973158912,5974786048,3600009498112,107.118402
21,bench_p26_wt,bench_p26_wt_linear,512,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,5035505216,0,0,0,0,0,0,3312,107.118490
21,bench_p26_wt,bench_p26_wt_linear,512,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,5035505216,0,0,0,0,0,0,624,107.118532
21,bench_p26_wt,bench_p26_wt_linear,512,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,5035505216,0,0,0,0,0,0,1552,107.118565
21,bench_p26_wt,bench_p26_wt_linear,512,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,5035505216,0,0,0,0,0,0,917504,107.118596
22,bench_p26_wt,bench_p26_wt_linear,1024,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,7527203904,16638009,10276059,67309,17037321216,8817284096,8822325248,3600003086336,131.760084
22,bench_p26_wt,bench_p26_wt_linear,1024,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,7527203904,0,0,0,0,0,0,3280,131.760182
22,bench_p26_wt,bench_p26_wt_linear,1024,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,7527203904,0,0,0,0,0,0,624,131.760223
22,bench_p26_wt,bench_p26_wt_linear,1024,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,7527203904,0,0,0,0,0,0,2576,131.760259
22,bench_p26_wt,bench_p26_wt_linear,1024,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,7527203904,0,0,0,0,0,0,1179648,131.760293
23,bench_p26_wt,bench_p26_wt_linear,2048,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,10234728512,16379765,8648517,89625,33545758720,11736775680,11747328000,3600011041792,149.900709
23,bench_p26_wt,bench_p26_wt_linear,2048,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,10234728512,0,0,0,0,0,0,3312,149.900801
23,bench_p26_wt,bench_p26_wt_linear,2048,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,10234728512,0,0,0,0,0,0,624,149.900842
23,bench_p26_wt,bench_p26_wt_linear,2048,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,10234728512,0,0,0,0,0,0,4624,149.900883
23,bench_p26_wt,bench_p26_wt_linear,2048,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,10234728512,0,0,0,0,0,0,1310720,149.900915
24,bench_p26_wt,bench_p26_wt_linear,4096,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,10879373376,19107512,7926118,91317,39132184576,11946779648,11969101824,3600011201536,90.152642
24,bench_p26_wt,bench_p26_wt_linear,4096,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,10879373376,0,0,0,0,0,0,3280,90.152714
24,bench_p26_wt,bench_p26_wt_linear,4096,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,10879373376,0,0,0,0,0,0,624,90.152745
