i,suite,case,DISK_GEOMETRY,NO_SET,DISK_SIZE,FS,SKIP_WARMUP,NO_FRUNCATE,FILE_COUNT,CHUNK,SIM_TIME,FILE_SIZE,SEED,SIM_SIZE,SIZE,BLOCK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
19,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,524288,write,244875328,56684670,1298994,68352,56684670,279488449,279969792,3603089673475,4.662465
19,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,524288,stack,244875328,0,0,0,0,0,0,3296,4.662662
19,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,524288,ctx,244875328,0,0,0,0,0,0,624,4.662727
19,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,524288,heap,244875328,0,0,0,0,0,0,784,4.662772
19,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,524288,usage,244875328,0,0,0,0,0,0,3670016,4.662817
16,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,65536,write,247074880,56415816,1290058,68368,56415816,279454486,280035328,3600222708706,4.711481
16,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,65536,stack,247074880,0,0,0,0,0,0,3312,4.711554
16,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,65536,ctx,247074880,0,0,0,0,0,0,624,4.711598
16,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,65536,heap,247074880,0,0,0,0,0,0,784,4.711635
16,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,65536,usage,247074880,0,0,0,0,0,0,2097152,4.711671
14,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,16384,write,250905664,90968455,1260821,68596,90968455,280273492,280969216,3600181526612,4.952935
14,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,16384,stack,250905664,0,0,0,0,0,0,3296,4.953034
14,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,16384,ctx,250905664,0,0,0,0,0,0,624,4.953160
14,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,16384,heap,250905664,0,0,0,0,0,0,784,4.953206
14,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,16384,usage,250905664,0,0,0,0,0,0,1458176,4.953251
17,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,131072,write,246292544,53575723,1294887,68352,53575723,279272704,279969792,3601317890744,6.639578
17,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,131072,stack,246292544,0,0,0,0,0,0,3296,6.639675
17,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,131072,ctx,246292544,0,0,0,0,0,0,624,6.639726
17,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,131072,heap,246292544,0,0,0,0,0,0,784,6.639776
17,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,131072,usage,246292544,0,0,0,0,0,0,1703936,6.639817
18,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,262144,write,244593728,56571570,1295765,68352,56571570,279149287,279969792,3601786692085,6.787047
18,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,262144,stack,244593728,0,0,0,0,0,0,3296,6.787144
18,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,262144,ctx,244593728,0,0,0,0,0,0,624,6.787188
18,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,262144,heap,244593728,0,0,0,0,0,0,784,6.787230
18,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,262144,usage,244593728,0,0,0,0,0,0,2621440,6.787273
20,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,1048576,write,244383808,58644376,1298606,68352,58644376,279113327,279969792,3603005684733,6.825135
20,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,1048576,stack,244383808,0,0,0,0,0,0,3296,6.825211
20,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,1048576,ctx,244383808,0,0,0,0,0,0,624,6.825256
20,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,1048576,heap,244383808,0,0,0,0,0,0,784,6.825296
20,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,1048576,usage,244383808,0,0,0,0,0,0,5242880,6.825340
15,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,32768,write,248163136,73079998,1277961,68456,73079998,279210570,280395776,3600004174894,6.972340
15,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,32768,stack,248163136,0,0,0,0,0,0,3312,6.972420
15,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,32768,ctx,248163136,0,0,0,0,0,0,624,6.972458
15,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,32768,heap,248163136,0,0,0,0,0,0,784,6.972490
15,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,32768,usage,248163136,0,0,0,0,0,0,884736,6.972519
12,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,4096,write,258715968,86387406,1200116,69140,86387406,276470753,283197440,3600115531235,7.281105
12,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,4096,stack,258715968,0,0,0,0,0,0,3312,7.281195
12,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,4096,ctx,258715968,0,0,0,0,0,0,624,7.281231
12,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,4096,heap,258715968,0,0,0,0,0,0,784,7.281271
12,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,4096,usage,258715968,0,0,0,0,0,0,823296,7.281301
13,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,8192,write,251314496,130547658,1259361,68572,130547658,277667939,280870912,3600051034601,7.365656
13,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,8192,stack,251314496,0,0,0,0,0,0,3264,7.365712
13,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,8192,ctx,251314496,0,0,0,0,0,0,624,7.365741
13,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,8192,heap,251314496,0,0,0,0,0,0,784,7.365766
13,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,8192,usage,251314496,0,0,0,0,0,0,1826816,7.365789
29,bench_p26_wt,bench_p26_wt_random,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,1048576,write,885760,112719720,661160,74240,112719720,93463119,304087040,3611533437981,4.732469
29,bench_p26_wt,bench_p26_wt_random,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,1048576,stack,885760,0,0,0,0,0,0,3312,4.732574
29,bench_p26_wt,bench_p26_wt_random,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,1048576,ctx,885760,0,0,0,0,0,0,608,4.732626
29,bench_p26_wt,bench_p26_wt_random,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,1048576,heap,885760,0,0,0,0,0,0,784,4.732672
