i,suite,case,SEED,SIM_TIME,DISK_GEOMETRY,NO_FRUNCATE,DISK_SIZE,SIZE,FS,FILE_COUNT,FILE_SIZE,NO_SET,CHUNK,SKIP_WARMUP,PROG_SIZE,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
13,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,2,0,write,258683200,86453584,1200477,69135,86453584,276492562,283176960,3600038045654,9.670580
13,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,2,0,stack,258683200,0,0,0,0,0,0,3312,9.670823
13,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,2,0,ctx,258683200,0,0,0,0,0,0,624,9.670882
13,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,2,0,heap,258683200,0,0,0,0,0,0,784,9.670936
13,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,2,0,usage,258683200,0,0,0,0,0,0,786432,9.670986
17,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,32,0,write,257153088,86936368,1181123,69306,86936368,276182240,283877376,3600002153760,9.896703
17,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,32,0,stack,257153088,0,0,0,0,0,0,3312,9.896813
17,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,32,0,ctx,257153088,0,0,0,0,0,0,624,9.896870
17,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,32,0,heap,257153088,0,0,0,0,0,0,784,9.896919
17,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,32,0,usage,257153088,0,0,0,0,0,0,1363968,9.896969
16,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,16,0,write,258167104,86165459,1191471,69215,86165459,276608400,283504640,3600025061288,9.967388
16,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,16,0,stack,258167104,0,0,0,0,0,0,3232,9.967495
16,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,16,0,ctx,258167104,0,0,0,0,0,0,624,9.967548
16,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,16,0,heap,258167104,0,0,0,0,0,0,784,9.967596
16,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,16,0,usage,258167104,0,0,0,0,0,0,245760,9.967641
15,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,8,0,write,258548032,86460536,1197085,69165,86460536,276630416,283299840,3600033668464,9.976859
15,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,8,0,stack,258548032,0,0,0,0,0,0,3264,9.976938
15,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,8,0,ctx,258548032,0,0,0,0,0,0,624,9.976990
15,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,8,0,heap,258548032,0,0,0,0,0,0,784,9.977036
15,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,8,0,usage,258548032,0,0,0,0,0,0,638976,9.977082
12,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,1,0,write,258715968,86387406,1200116,69140,86387406,276470753,283197440,3600115531235,9.988312
12,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,1,0,stack,258715968,0,0,0,0,0,0,3312,9.988390
12,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,1,0,ctx,258715968,0,0,0,0,0,0,624,9.988442
12,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,1,0,heap,258715968,0,0,0,0,0,0,784,9.988489
12,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,1,0,usage,258715968,0,0,0,0,0,0,823296,9.988535
14,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,4,0,write,258675008,86169675,1201470,69126,86169675,276594724,283140096,3600020969572,10.024404
14,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,4,0,stack,258675008,0,0,0,0,0,0,3264,10.024536
14,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,4,0,ctx,258675008,0,0,0,0,0,0,624,10.024592
14,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,4,0,heap,258675008,0,0,0,0,0,0,784,10.024639
14,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,4,0,usage,258675008,0,0,0,0,0,0,778240,10.024686
18,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,64,0,write,255111488,91008827,1170128,69401,91008827,276523968,284266496,3600047009912,10.044514
18,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,64,0,stack,255111488,0,0,0,0,0,0,3312,10.044630
18,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,64,0,ctx,255111488,0,0,0,0,0,0,624,10.044684
18,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,64,0,heap,255111488,0,0,0,0,0,0,784,10.044731
18,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,64,0,usage,255111488,0,0,0,0,0,0,1429504,10.044777
19,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,128,0,write,254628160,98973297,1138754,69672,98973297,277204736,285376512,3600019543208,10.174315
19,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,128,0,stack,254628160,0,0,0,0,0,0,3312,10.174421
19,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,128,0,ctx,254628160,0,0,0,0,0,0,624,10.174473
19,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,128,0,heap,254628160,0,0,0,0,0,0,784,10.174521
19,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,128,0,usage,254628160,0,0,0,0,0,0,929792,10.174566
20,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,256,0,write,240173376,167213771,1090194,70046,167213771,279089664,286908416,3600184257464,10.581850
20,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,256,0,stack,240173376,0,0,0,0,0,0,3264,10.581948
20,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,256,0,ctx,240173376,0,0,0,0,0,0,624,10.581997
20,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,256,0,heap,240173376,0,0,0,0,0,0,784,10.582040
