i,suite,case,NO_SET,SEED,FS,CHUNK,NO_FRUNCATE,SIM_SIZE,SKIP_WARMUP,FILE_SIZE,READ_SIZE,SIZE,DISK_GEOMETRY,FILE_COUNT,SIM_TIME,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
22,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,1024,2097152,0,32768,3600000000000,134217728,write,254420032,1578835968,1179905,67993,1578835968,271794057,278499328,3600024171051,9.482761
22,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,1024,2097152,0,32768,3600000000000,134217728,stack,254420032,0,0,0,0,0,0,3312,9.483000
22,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,1024,2097152,0,32768,3600000000000,134217728,ctx,254420032,0,0,0,0,0,0,624,9.483060
22,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,1024,2097152,0,32768,3600000000000,134217728,heap,254420032,0,0,0,0,0,0,2320,9.483110
22,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,1024,2097152,0,32768,3600000000000,134217728,usage,254420032,0,0,0,0,0,0,716800,9.483175
23,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,2048,2097152,0,32768,3600000000000,134217728,write,252430400,2272952320,1170246,67463,2272952320,269550522,276328448,3600032073934,9.490236
23,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,2048,2097152,0,32768,3600000000000,134217728,stack,252430400,0,0,0,0,0,0,3312,9.490318
23,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,2048,2097152,0,32768,3600000000000,134217728,ctx,252430400,0,0,0,0,0,0,624,9.490375
23,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,2048,2097152,0,32768,3600000000000,134217728,heap,252430400,0,0,0,0,0,0,4368,9.490438
23,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,2048,2097152,0,32768,3600000000000,134217728,usage,252430400,0,0,0,0,0,0,827392,9.490489
21,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,512,2097152,0,32768,3600000000000,134217728,write,255717952,1123017728,1186212,68342,1123017728,273249573,279928832,3600047234495,9.698109
21,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,512,2097152,0,32768,3600000000000,134217728,stack,255717952,0,0,0,0,0,0,3312,9.698228
21,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,512,2097152,0,32768,3600000000000,134217728,ctx,255717952,0,0,0,0,0,0,624,9.698332
21,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,512,2097152,0,32768,3600000000000,134217728,heap,255717952,0,0,0,0,0,0,1296,9.698386
21,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,512,2097152,0,32768,3600000000000,134217728,usage,255717952,0,0,0,0,0,0,2060288,9.698435
20,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,256,2097152,0,32768,3600000000000,134217728,write,256885056,720249856,1191673,68652,720249856,274519152,281198592,3600095323984,9.745681
