i,suite,case,NO_SET,SIZE,FILE_COUNT,FS,DISK_SIZE,NO_FRUNCATE,DISK_GEOMETRY,SEED,SIM_SIZE,SKIP_WARMUP,SIM_TIME,CHUNK,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,0,1024,16,2,134217728,0,1,42,0,0,3600000000000,64,64,write,1440204352,3121163,2812902,1406450,1469404772,1440205824,184346214400,3600001961324,67.525018
12,bench_p26_wt,bench_p26_wt_linear,0,1024,16,2,134217728,0,1,42,0,0,3600000000000,64,64,stack,1440204352,0,0,0,0,0,0,1856,67.525253
12,bench_p26_wt,bench_p26_wt_linear,0,1024,16,2,134217728,0,1,42,0,0,3600000000000,64,64,ctx,1440204352,0,0,0,0,0,0,400,67.525312
12,bench_p26_wt,bench_p26_wt_linear,0,1024,16,2,134217728,0,1,42,0,0,3600000000000,64,64,heap,1440204352,0,0,0,0,0,0,1552,67.525365
12,bench_p26_wt,bench_p26_wt_linear,0,1024,16,2,134217728,0,1,42,0,0,3600000000000,64,64,usage,1440204352,0,0,0,0,0,0,393216,67.525412
13,bench_p26_wt,bench_p26_wt_linear,0,2048,32,2,134217728,0,1,42,0,0,3600000000000,64,64,write,2342494784,4825881,4575188,1143797,2366242692,2342496256,149919760384,3600001470156,70.314414
13,bench_p26_wt,bench_p26_wt_linear,0,2048,32,2,134217728,0,1,42,0,0,3600000000000,64,64,stack,2342494784,0,0,0,0,0,0,1856,70.314556
13,bench_p26_wt,bench_p26_wt_linear,0,2048,32,2,134217728,0,1,42,0,0,3600000000000,64,64,ctx,2342494784,0,0,0,0,0,0,400,70.314616
13,bench_p26_wt,bench_p26_wt_linear,0,2048,32,2,134217728,0,1,42,0,0,3600000000000,64,64,heap,2342494784,0,0,0,0,0,0,1552,70.314667
13,bench_p26_wt,bench_p26_wt_linear,0,2048,32,2,134217728,0,1,42,0,0,3600000000000,64,64,usage,2342494784,0,0,0,0,0,0,393216,70.314716
14,bench_p26_wt,bench_p26_wt_linear,0,4096,64,2,134217728,0,1,42,0,0,3600000000000,64,64,write,3410991616,6844608,6662095,832762,3428281456,3410992640,109151780864,3600000415312,78.385860
14,bench_p26_wt,bench_p26_wt_linear,0,4096,64,2,134217728,0,1,42,0,0,3600000000000,64,64,stack,3410991616,0,0,0,0,0,0,1856,78.385986
14,bench_p26_wt,bench_p26_wt_linear,0,4096,64,2,134217728,0,1,42,0,0,3600000000000,64,64,ctx,3410991616,0,0,0,0,0,0,400,78.386045
14,bench_p26_wt,bench_p26_wt_linear,0,4096,64,2,134217728,0,1,42,0,0,3600000000000,64,64,heap,3410991616,0,0,0,0,0,0,1552,78.386107
14,bench_p26_wt,bench_p26_wt_linear,0,4096,64,2,134217728,0,1,42,0,0,3600000000000,64,64,usage,3410991616,0,0,0,0,0,0,393216,78.386156
15,bench_p26_wt,bench_p26_wt_linear,0,8192,128,2,134217728,0,1,42,0,0,3600000000000,64,64,write,4418773568,8748645,8630420,539402,4429974864,4418775040,70700498944,3600002651376,84.563449
15,bench_p26_wt,bench_p26_wt_linear,0,8192,128,2,134217728,0,1,42,0,0,3600000000000,64,64,stack,4418773568,0,0,0,0,0,0,1856,84.563583
15,bench_p26_wt,bench_p26_wt_linear,0,8192,128,2,134217728,0,1,42,0,0,3600000000000,64,64,ctx,4418773568,0,0,0,0,0,0,400,84.563649
15,bench_p26_wt,bench_p26_wt_linear,0,8192,128,2,134217728,0,1,42,0,0,3600000000000,64,64,heap,4418773568,0,0,0,0,0,0,1552,84.563701
15,bench_p26_wt,bench_p26_wt_linear,0,8192,128,2,134217728,0,1,42,0,0,3600000000000,64,64,usage,4418773568,0,0,0,0,0,0,393216,84.563750
21,bench_p26_wt,bench_p26_wt_linear,0,524288,8192,2,134217728,0,1,42,0,0,3600000000000,64,64,write,6065626112,11906233,11858498,57847,6072893764,6071550976,7582121984,3600000738316,86.871715
21,bench_p26_wt,bench_p26_wt_linear,0,524288,8192,2,134217728,0,1,42,0,0,3600000000000,64,64,stack,6065626112,0,0,0,0,0,0,1856,86.871825
21,bench_p26_wt,bench_p26_wt_linear,0,524288,8192,2,134217728,0,1,42,0,0,3600000000000,64,64,ctx,6065626112,0,0,0,0,0,0,400,86.871882
21,bench_p26_wt,bench_p26_wt_linear,0,524288,8192,2,134217728,0,1,42,0,0,3600000000000,64,64,heap,6065626112,0,0,0,0,0,0,1552,86.871944
21,bench_p26_wt,bench_p26_wt_linear,0,524288,8192,2,134217728,0,1,42,0,0,3600000000000,64,64,usage,6065626112,0,0,0,0,0,0,524288,86.871993
20,bench_p26_wt,bench_p26_wt_linear,0,262144,4096,2,134217728,0,1,42,0,0,3600000000000,64,64,write,6022259712,11823454,11785201,68920,6035548028,6034022912,9033482240,3600000468020,87.258637
20,bench_p26_wt,bench_p26_wt_linear,0,262144,4096,2,134217728,0,1,42,0,0,3600000000000,64,64,stack,6022259712,0,0,0,0,0,0,1856,87.258722
20,bench_p26_wt,bench_p26_wt_linear,0,262144,4096,2,134217728,0,1,42,0,0,3600000000000,64,64,ctx,6022259712,0,0,0,0,0,0,400,87.258793
20,bench_p26_wt,bench_p26_wt_linear,0,262144,4096,2,134217728,0,1,42,0,0,3600000000000,64,64,heap,6022259712,0,0,0,0,0,0,1552,87.258843
20,bench_p26_wt,bench_p26_wt_linear,0,262144,4096,2,134217728,0,1,42,0,0,3600000000000,64,64,usage,6022259712,0,0,0,0,0,0,393216,87.258890
