i,suite,case,FS,SIM_SIZE,SKIP_WARMUP,DISK_SIZE,FILE_SIZE,CHUNK,DISK_GEOMETRY,SIM_TIME,SIZE,SEED,NO_SET,NO_FRUNCATE,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,1024,42,0,0,16,write,79004992,79746742,308616,77154,79746742,79005068,316022784,3600003173844,4.602266
12,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,1024,42,0,0,16,stack,79004992,0,0,0,0,0,0,2000,4.602504
12,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,1024,42,0,0,16,ctx,79004992,0,0,0,0,0,0,400,4.602563
12,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,1024,42,0,0,16,heap,79004992,0,0,0,0,0,0,784,4.602612
12,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,1024,42,0,0,16,usage,79004992,0,0,0,0,0,0,20480,4.602661
15,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,8192,42,0,0,128,write,198345024,199431872,799000,72637,199431872,198635644,297521152,3600020999988,5.625614
15,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,8192,42,0,0,128,stack,198345024,0,0,0,0,0,0,2000,5.625737
15,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,8192,42,0,0,128,ctx,198345024,0,0,0,0,0,0,400,5.625794
15,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,8192,42,0,0,128,heap,198345024,0,0,0,0,0,0,784,5.625855
15,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,8192,42,0,0,128,usage,198345024,0,0,0,0,0,0,20480,5.625905
16,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,16384,42,0,0,256,write,234082368,235344142,928674,71437,235344142,234482484,292605952,3600026391820,5.892367
16,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,16384,42,0,0,256,stack,234082368,0,0,0,0,0,0,2000,5.892487
16,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,16384,42,0,0,256,ctx,234082368,0,0,0,0,0,0,400,5.892545
16,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,16384,42,0,0,256,heap,234082368,0,0,0,0,0,0,784,5.892607
16,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,16384,42,0,0,256,usage,234082368,0,0,0,0,0,0,24576,5.892658
13,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,2048,42,0,0,32,write,152578368,153295518,596012,74502,153295518,152578444,305160192,3600001770004,5.907715
13,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,2048,42,0,0,32,stack,152578368,0,0,0,0,0,0,2000,5.907797
13,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,2048,42,0,0,32,ctx,152578368,0,0,0,0,0,0,400,5.907854
13,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,2048,42,0,0,32,heap,152578368,0,0,0,0,0,0,784,5.907903
13,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,2048,42,0,0,32,usage,152578368,0,0,0,0,0,0,20480,5.907950
17,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,32768,42,0,0,512,write,257261568,258639542,1012781,70659,258639542,257732704,289419264,3600044573328,6.138352
17,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,32768,42,0,0,512,stack,257261568,0,0,0,0,0,0,2000,6.138458
17,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,32768,42,0,0,512,ctx,257261568,0,0,0,0,0,0,400,6.138515
17,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,32768,42,0,0,512,heap,257261568,0,0,0,0,0,0,784,6.138564
17,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,32768,42,0,0,512,usage,257261568,0,0,0,0,0,0,53248,6.138610
18,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,65536,42,0,0,1024,write,270659520,272110218,1061396,70209,272110218,271171696,287576064,3600041568736,6.156813
18,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,65536,42,0,0,1024,stack,270659520,0,0,0,0,0,0,2000,6.156972
18,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,65536,42,0,0,1024,ctx,270659520,0,0,0,0,0,0,400,6.157044
18,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,65536,42,0,0,1024,heap,270659520,0,0,0,0,0,0,784,6.157094
18,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,65536,42,0,0,1024,usage,270659520,0,0,0,0,0,0,81920,6.157142
