i,suite,case,SIM_SIZE,DISK_SIZE,DISK_GEOMETRY,FILE_SIZE,NO_SET,SKIP_WARMUP,SIM_TIME,CHUNK,FILE_COUNT,SIZE,SEED,NO_FRUNCATE,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
16,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,256,16384,42,0,3,write,1630387264,52203687,7817319,118032,2933666624,4002467328,15470690304,3600008767424,71.020156
16,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,256,16384,42,0,3,stack,1630387264,0,0,0,0,0,0,3200,71.020367
16,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,256,16384,42,0,3,ctx,1630387264,0,0,0,0,0,0,624,71.020418
16,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,256,16384,42,0,3,heap,1630387264,0,0,0,0,0,0,1296,71.020462
16,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,256,16384,42,0,3,usage,1630387264,0,0,0,0,0,0,786432,71.020504
15,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,128,8192,42,0,3,write,1895439936,64179015,7375369,28923,2702981424,3776188928,3790995456,3600012838032,71.165522
15,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,128,8192,42,0,3,stack,1895439936,0,0,0,0,0,0,3200,71.165617
15,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,128,8192,42,0,3,ctx,1895439936,0,0,0,0,0,0,624,71.165666
15,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,128,8192,42,0,3,heap,1895439936,0,0,0,0,0,0,1296,71.165710
15,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,128,8192,42,0,3,usage,1895439936,0,0,0,0,0,0,655360,71.165752
17,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,512,32768,42,0,3,write,2651947072,42453151,8947504,95994,2385145425,4581122048,12582125568,3600007163907,79.358217
17,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,512,32768,42,0,3,stack,2651947072,0,0,0,0,0,0,3200,79.358320
