i,suite,case,SEED,FILE_COUNT,FILE_SIZE,SIZE,DISK_SIZE,DISK_GEOMETRY,SIM_TIME,SIM_SIZE,NO_SET,SKIP_WARMUP,NO_FRUNCATE,FS,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,42,16,64,1024,134217728,0,3600000000000,0,0,0,0,3,64,write,77237568,6133099,326065,77071,6133099,64366935,315682816,3600027448621,4.420426
12,bench_p26_wt,bench_p26_wt_linear,42,16,64,1024,134217728,0,3600000000000,0,0,0,0,3,64,stack,77237568,0,0,0,0,0,0,3264,4.420655
12,bench_p26_wt,bench_p26_wt_linear,42,16,64,1024,134217728,0,3600000000000,0,0,0,0,3,64,ctx,77237568,0,0,0,0,0,0,624,4.420708
12,bench_p26_wt,bench_p26_wt_linear,42,16,64,1024,134217728,0,3600000000000,0,0,0,0,3,64,heap,77237568,0,0,0,0,0,0,784,4.420755
12,bench_p26_wt,bench_p26_wt_linear,42,16,64,1024,134217728,0,3600000000000,0,0,0,0,3,64,usage,77237568,0,0,0,0,0,0,24576,4.420795
13,bench_p26_wt,bench_p26_wt_linear,42,32,64,2048,134217728,0,3600000000000,0,0,0,0,3,64,write,149401920,5931103,607160,74541,5931103,136957381,305319936,3600025967735,5.750446
13,bench_p26_wt,bench_p26_wt_linear,42,32,64,2048,134217728,0,3600000000000,0,0,0,0,3,64,stack,149401920,0,0,0,0,0,0,3264,5.750561
13,bench_p26_wt,bench_p26_wt_linear,42,32,64,2048,134217728,0,3600000000000,0,0,0,0,3,64,ctx,149401920,0,0,0,0,0,0,624,5.750612
13,bench_p26_wt,bench_p26_wt_linear,42,32,64,2048,134217728,0,3600000000000,0,0,0,0,3,64,heap,149401920,0,0,0,0,0,0,784,5.750656
13,bench_p26_wt,bench_p26_wt_linear,42,32,64,2048,134217728,0,3600000000000,0,0,0,0,3,64,usage,149401920,0,0,0,0,0,0,24576,5.750699
14,bench_p26_wt,bench_p26_wt_linear,42,64,64,4096,134217728,0,3600000000000,0,0,0,0,3,64,write,280392000,5566970,1117374,69949,5566970,268717221,286511104,3600031918415,7.764983
14,bench_p26_wt,bench_p26_wt_linear,42,64,64,4096,134217728,0,3600000000000,0,0,0,0,3,64,stack,280392000,0,0,0,0,0,0,3264,7.765108
