i,suite,case,NO_FRUNCATE,SEED,DISK_GEOMETRY,SIM_TIME,CHUNK,NO_SET,FILE_SIZE,SKIP_WARMUP,SIM_SIZE,SIZE,FS,CRYSTAL_THRESH,DISK_SIZE,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
19,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,131072,31,-1,134217728,2048,write,565714496,94131977,4502138,25898,3527073666,2305094656,3394502656,3600002396838,69.671880
19,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,131072,31,-1,134217728,2048,stack,565714496,0,0,0,0,0,0,3328,69.672096
19,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,131072,31,-1,134217728,2048,ctx,565714496,0,0,0,0,0,0,624,69.672149
19,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,131072,31,-1,134217728,2048,heap,565714496,0,0,0,0,0,0,1296,69.672196
19,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,131072,31,-1,134217728,2048,usage,565714496,0,0,0,0,0,0,655360,69.672245
23,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,2097152,31,-1,134217728,32768,write,434032192,96922961,4232836,22986,3902565198,2167212032,3012820992,3600096243402,71.134464
23,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,2097152,31,-1,134217728,32768,stack,434032192,0,0,0,0,0,0,3328,71.134564
23,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,2097152,31,-1,134217728,32768,ctx,434032192,0,0,0,0,0,0,624,71.134614
23,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,2097152,31,-1,134217728,32768,heap,434032192,0,0,0,0,0,0,1296,71.134656
23,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,2097152,31,-1,134217728,32768,usage,434032192,0,0,0,0,0,0,6815744,71.134699
22,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,1048576,31,-1,134217728,16384,write,449551936,95841707,4328433,23585,3928194436,2216157696,3091333120,3600003434188,71.162159
22,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,1048576,31,-1,134217728,16384,stack,449551936,0,0,0,0,0,0,3328,71.162254
22,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,1048576,31,-1,134217728,16384,ctx,449551936,0,0,0,0,0,0,624,71.162304
22,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,1048576,31,-1,134217728,16384,heap,449551936,0,0,0,0,0,0,1296,71.162347
22,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,1048576,31,-1,134217728,16384,usage,449551936,0,0,0,0,0,0,2883584,71.162389
20,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,262144,31,-1,134217728,4096,write,498629184,94647750,4442023,24731,3803190107,2274315776,3241541632,3600024938945,71.368113
20,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,262144,31,-1,134217728,4096,stack,498629184,0,0,0,0,0,0,3328,71.368212
20,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,262144,31,-1,134217728,4096,ctx,498629184,0,0,0,0,0,0,624,71.368261
20,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,262144,31,-1,134217728,4096,heap,498629184,0,0,0,0,0,0,1296,71.368304
20,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,262144,31,-1,134217728,4096,usage,498629184,0,0,0,0,0,0,786432,71.368346
21,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,524288,31,-1,134217728,8192,write,467482176,95191244,4388470,24078,3902793027,2246896640,3155951616,3600088950777,71.542140
21,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,524288,31,-1,134217728,8192,stack,467482176,0,0,0,0,0,0,3328,71.542233
21,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,524288,31,-1,134217728,8192,ctx,467482176,0,0,0,0,0,0,624,71.542281
21,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,524288,31,-1,134217728,8192,heap,467482176,0,0,0,0,0,0,1296,71.542322
21,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,524288,31,-1,134217728,8192,usage,467482176,0,0,0,0,0,0,1703936,71.542367
17,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,32768,31,-1,134217728,512,write,869628480,86115027,5189043,39811,3074547613,2656790016,5218107392,3600043457191,71.740068
17,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,32768,31,-1,134217728,512,stack,869628480,0,0,0,0,0,0,3328,71.740169
17,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,32768,31,-1,134217728,512,ctx,869628480,0,0,0,0,0,0,624,71.740217
17,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,32768,31,-1,134217728,512,heap,869628480,0,0,0,0,0,0,1296,71.740259
17,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,32768,31,-1,134217728,512,usage,869628480,0,0,0,0,0,0,786432,71.740300
