i,suite,case,FS,SIM_SIZE,SIM_TIME,SEED,SIZE,DISK_SIZE,SKIP_WARMUP,FILE_COUNT,NO_FRUNCATE,FILE_SIZE,DISK_GEOMETRY,CHUNK,NO_SET,CRYSTAL_THRESH,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
13,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,2048,134217728,0,32,0,64,0,64,0,-1,write,112049216,159359775,1281913,68393,159359775,165070631,280137728,3600033097661,25.284171
13,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,2048,134217728,0,32,0,64,0,64,0,-1,stack,112049216,0,0,0,0,0,0,3328,25.292695
13,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,2048,134217728,0,32,0,64,0,64,0,-1,ctx,112049216,0,0,0,0,0,0,624,25.292762
13,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,2048,134217728,0,32,0,64,0,64,0,-1,heap,112049216,0,0,0,0,0,0,784,25.292816
13,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,2048,134217728,0,32,0,64,0,64,0,-1,usage,112049216,0,0,0,0,0,0,24576,25.292865
14,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,4096,134217728,0,64,0,64,0,64,0,-1,write,83295808,291651997,1335515,67788,291651997,192220721,277659648,3600064112427,26.164913
14,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,4096,134217728,0,64,0,64,0,64,0,-1,stack,83295808,0,0,0,0,0,0,3328,26.165036
14,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,4096,134217728,0,64,0,64,0,64,0,-1,ctx,83295808,0,0,0,0,0,0,624,26.165095
14,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,4096,134217728,0,64,0,64,0,64,0,-1,heap,83295808,0,0,0,0,0,0,784,26.165144
14,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,4096,134217728,0,64,0,64,0,64,0,-1,usage,83295808,0,0,0,0,0,0,28672,26.165191
16,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,16384,134217728,0,256,0,64,0,64,0,-1,write,59584832,429360307,1378293,67282,429360307,197513357,275587072,3600020360559,26.696952
16,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,16384,134217728,0,256,0,64,0,64,0,-1,stack,59584832,0,0,0,0,0,0,3328,26.697071
16,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,16384,134217728,0,256,0,64,0,64,0,-1,ctx,59584832,0,0,0,0,0,0,624,26.697130
16,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,16384,134217728,0,256,0,64,0,64,0,-1,heap,59584832,0,0,0,0,0,0,784,26.697182
16,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,16384,134217728,0,256,0,64,0,64,0,-1,usage,59584832,0,0,0,0,0,0,49152,26.697229
15,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,8192,134217728,0,128,0,64,0,64,0,-1,write,71341376,393251763,1440179,66763,393251763,200101965,273461248,3600033221295,26.873010
15,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,8192,134217728,0,128,0,64,0,64,0,-1,stack,71341376,0,0,0,0,0,0,3328,26.873114
15,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,8192,134217728,0,128,0,64,0,64,0,-1,ctx,71341376,0,0,0,0,0,0,624,26.873170
15,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,8192,134217728,0,128,0,64,0,64,0,-1,heap,71341376,0,0,0,0,0,0,784,26.873218
15,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,8192,134217728,0,128,0,64,0,64,0,-1,usage,71341376,0,0,0,0,0,0,32768,26.873265
17,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,32768,134217728,0,512,0,64,0,64,0,-1,write,57261888,452645401,1391988,67140,452645401,198965924,275005440,3600069306900,26.957211
17,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,32768,134217728,0,512,0,64,0,64,0,-1,stack,57261888,0,0,0,0,0,0,3328,26.957317
17,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,32768,134217728,0,512,0,64,0,64,0,-1,ctx,57261888,0,0,0,0,0,0,624,26.957371
17,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,32768,134217728,0,512,0,64,0,64,0,-1,heap,57261888,0,0,0,0,0,0,784,26.957418
17,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,32768,134217728,0,512,0,64,0,64,0,-1,usage,57261888,0,0,0,0,0,0,57344,26.957462
18,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,65536,134217728,0,1024,0,64,0,64,0,-1,write,55386688,471153242,1392285,67119,471153242,200261227,274919424,3600008097537,27.119265
18,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,65536,134217728,0,1024,0,64,0,64,0,-1,stack,55386688,0,0,0,0,0,0,3328,27.119385
18,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,65536,134217728,0,1024,0,64,0,64,0,-1,ctx,55386688,0,0,0,0,0,0,624,27.119438
18,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,65536,134217728,0,1024,0,64,0,64,0,-1,heap,55386688,0,0,0,0,0,0,784,27.119484
18,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,65536,134217728,0,1024,0,64,0,64,0,-1,usage,55386688,0,0,0,0,0,0,36864,27.119528
20,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,262144,134217728,0,4096,0,64,0,64,0,-1,write,49889856,551043947,1462944,66420,551043947,201572459,272056320,3600047222953,27.942549
20,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,262144,134217728,0,4096,0,64,0,64,0,-1,stack,49889856,0,0,0,0,0,0,3328,27.942657
20,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,262144,134217728,0,4096,0,64,0,64,0,-1,ctx,49889856,0,0,0,0,0,0,624,27.942710
20,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,262144,134217728,0,4096,0,64,0,64,0,-1,heap,49889856,0,0,0,0,0,0,784,27.942760
20,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,262144,134217728,0,4096,0,64,0,64,0,-1,usage,49889856,0,0,0,0,0,0,237568,27.942806
21,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,524288,134217728,0,8192,0,64,0,64,0,-1,write,48422720,577497242,1482198,66225,577497242,202306337,271257600,3600048625027,28.373401
21,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,524288,134217728,0,8192,0,64,0,64,0,-1,stack,48422720,0,0,0,0,0,0,3328,28.373505
21,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,524288,134217728,0,8192,0,64,0,64,0,-1,ctx,48422720,0,0,0,0,0,0,624,28.373559
