i,suite,case,NO_FRUNCATE,SKIP_WARMUP,FILE_COUNT,SIM_TIME,CHUNK,FS,SIM_SIZE,DISK_GEOMETRY,SEED,SIZE,DISK_SIZE,NO_SET,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
16,bench_p26_wt,bench_p26_wt_linear,0,0,256,3600000000000,64,30,0,1,42,16384,134217728,0,64,write,1640439360,51645744,7861244,118732,2982436849,4024956928,15562440704,3600001877731,73.783597
16,bench_p26_wt,bench_p26_wt_linear,0,0,256,3600000000000,64,30,0,1,42,16384,134217728,0,64,stack,1640439360,0,0,0,0,0,0,3104,73.783812
16,bench_p26_wt,bench_p26_wt_linear,0,0,256,3600000000000,64,30,0,1,42,16384,134217728,0,64,ctx,1640439360,0,0,0,0,0,0,528,73.783864
16,bench_p26_wt,bench_p26_wt_linear,0,0,256,3600000000000,64,30,0,1,42,16384,134217728,0,64,heap,1640439360,0,0,0,0,0,0,1296,73.783911
16,bench_p26_wt,bench_p26_wt_linear,0,0,256,3600000000000,64,30,0,1,42,16384,134217728,0,64,usage,1640439360,0,0,0,0,0,0,524288,73.783951
15,bench_p26_wt,bench_p26_wt_linear,0,0,128,3600000000000,64,30,0,1,42,8192,134217728,0,64,write,1905279552,63756901,7413640,29073,2709992527,3795783680,3810656256,3600001626589,74.509175
15,bench_p26_wt,bench_p26_wt_linear,0,0,128,3600000000000,64,30,0,1,42,8192,134217728,0,64,stack,1905279552,0,0,0,0,0,0,3104,74.509274
15,bench_p26_wt,bench_p26_wt_linear,0,0,128,3600000000000,64,30,0,1,42,8192,134217728,0,64,ctx,1905279552,0,0,0,0,0,0,528,74.509325
15,bench_p26_wt,bench_p26_wt_linear,0,0,128,3600000000000,64,30,0,1,42,8192,134217728,0,64,heap,1905279552,0,0,0,0,0,0,1296,74.509369
15,bench_p26_wt,bench_p26_wt_linear,0,0,128,3600000000000,64,30,0,1,42,8192,134217728,0,64,usage,1905279552,0,0,0,0,0,0,524288,74.509411
17,bench_p26_wt,bench_p26_wt_linear,0,0,512,3600000000000,64,30,0,1,42,32768,134217728,0,64,write,2665404992,41945730,8989475,96459,2420008746,4602611200,12643074048,3600008415774,85.426216
17,bench_p26_wt,bench_p26_wt_linear,0,0,512,3600000000000,64,30,0,1,42,32768,134217728,0,64,stack,2665404992,0,0,0,0,0,0,3104,85.426328
17,bench_p26_wt,bench_p26_wt_linear,0,0,512,3600000000000,64,30,0,1,42,32768,134217728,0,64,ctx,2665404992,0,0,0,0,0,0,528,85.426382
17,bench_p26_wt,bench_p26_wt_linear,0,0,512,3600000000000,64,30,0,1,42,32768,134217728,0,64,heap,2665404992,0,0,0,0,0,0,1296,85.426426
17,bench_p26_wt,bench_p26_wt_linear,0,0,512,3600000000000,64,30,0,1,42,32768,134217728,0,64,usage,2665404992,0,0,0,0,0,0,655360,85.426467
14,bench_p26_wt,bench_p26_wt_linear,0,0,64,3600000000000,64,30,0,1,42,4096,134217728,0,64,write,2503620160,50193596,8659433,33959,2727754363,4433629696,4451074048,3600001514785,85.624174
14,bench_p26_wt,bench_p26_wt_linear,0,0,64,3600000000000,64,30,0,1,42,4096,134217728,0,64,stack,2503620160,0,0,0,0,0,0,3104,85.624269
14,bench_p26_wt,bench_p26_wt_linear,0,0,64,3600000000000,64,30,0,1,42,4096,134217728,0,64,ctx,2503620160,0,0,0,0,0,0,528,85.624317
14,bench_p26_wt,bench_p26_wt_linear,0,0,64,3600000000000,64,30,0,1,42,4096,134217728,0,64,heap,2503620160,0,0,0,0,0,0,1296,85.624359
14,bench_p26_wt,bench_p26_wt_linear,0,0,64,3600000000000,64,30,0,1,42,4096,134217728,0,64,usage,2503620160,0,0,0,0,0,0,524288,85.624399
13,bench_p26_wt,bench_p26_wt_linear,0,0,32,3600000000000,64,30,0,1,42,2048,134217728,0,64,write,3269035072,39756817,9615106,37559,2798218235,4922934272,4922933248,3600001355681,93.887467
13,bench_p26_wt,bench_p26_wt_linear,0,0,32,3600000000000,64,30,0,1,42,2048,134217728,0,64,stack,3269035072,0,0,0,0,0,0,3104,93.887568
13,bench_p26_wt,bench_p26_wt_linear,0,0,32,3600000000000,64,30,0,1,42,2048,134217728,0,64,ctx,3269035072,0,0,0,0,0,0,528,93.887617
13,bench_p26_wt,bench_p26_wt_linear,0,0,32,3600000000000,64,30,0,1,42,2048,134217728,0,64,heap,3269035072,0,0,0,0,0,0,1296,93.887659
13,bench_p26_wt,bench_p26_wt_linear,0,0,32,3600000000000,64,30,0,1,42,2048,134217728,0,64,usage,3269035072,0,0,0,0,0,0,524288,93.887697
18,bench_p26_wt,bench_p26_wt_linear,0,0,1024,3600000000000,64,30,0,1,42,65536,134217728,0,64,write,3876175424,30490880,10321812,70138,1757398055,5284767744,9193127936,3600008595173,96.191339
18,bench_p26_wt,bench_p26_wt_linear,0,0,1024,3600000000000,64,30,0,1,42,65536,134217728,0,64,stack,3876175424,0,0,0,0,0,0,3104,96.191437
18,bench_p26_wt,bench_p26_wt_linear,0,0,1024,3600000000000,64,30,0,1,42,65536,134217728,0,64,ctx,3876175424,0,0,0,0,0,0,528,96.191497
18,bench_p26_wt,bench_p26_wt_linear,0,0,1024,3600000000000,64,30,0,1,42,65536,134217728,0,64,heap,3876175424,0,0,0,0,0,0,1296,96.191539
18,bench_p26_wt,bench_p26_wt_linear,0,0,1024,3600000000000,64,30,0,1,42,65536,134217728,0,64,usage,3876175424,0,0,0,0,0,0,655360,96.191578
21,bench_p26_wt,bench_p26_wt_linear,0,0,8192,3600000000000,64,30,0,1,42,524288,134217728,0,64,write,4843470400,23704108,11208134,43828,1149203815,5738564608,5744623616,3600008641189,96.491555
21,bench_p26_wt,bench_p26_wt_linear,0,0,8192,3600000000000,64,30,0,1,42,524288,134217728,0,64,stack,4843470400,0,0,0,0,0,0,3120,96.491665
21,bench_p26_wt,bench_p26_wt_linear,0,0,8192,3600000000000,64,30,0,1,42,524288,134217728,0,64,ctx,4843470400,0,0,0,0,0,0,528,96.491750
21,bench_p26_wt,bench_p26_wt_linear,0,0,8192,3600000000000,64,30,0,1,42,524288,134217728,0,64,heap,4843470400,0,0,0,0,0,0,1296,96.491806
21,bench_p26_wt,bench_p26_wt_linear,0,0,8192,3600000000000,64,30,0,1,42,524288,134217728,0,64,usage,4843470400,0,0,0,0,0,0,655360,96.491861
22,bench_p26_wt,bench_p26_wt_linear,0,0,16384,3600000000000,64,30,0,1,42,1048576,134217728,0,64,write,4754654784,25866203,11008892,43028,1157486497,5636552704,5639766016,3600008759539,98.845639
22,bench_p26_wt,bench_p26_wt_linear,0,0,16384,3600000000000,64,30,0,1,42,1048576,134217728,0,64,stack,4754654784,0,0,0,0,0,0,3152,98.845736
22,bench_p26_wt,bench_p26_wt_linear,0,0,16384,3600000000000,64,30,0,1,42,1048576,134217728,0,64,ctx,4754654784,0,0,0,0,0,0,528,98.845790
22,bench_p26_wt,bench_p26_wt_linear,0,0,16384,3600000000000,64,30,0,1,42,1048576,134217728,0,64,heap,4754654784,0,0,0,0,0,0,1296,98.845837
22,bench_p26_wt,bench_p26_wt_linear,0,0,16384,3600000000000,64,30,0,1,42,1048576,134217728,0,64,usage,4754654784,0,0,0,0,0,0,1048576,98.845883
12,bench_p26_wt,bench_p26_wt_linear,0,0,16,3600000000000,64,30,0,1,42,1024,134217728,0,64,write,4775628352,42923210,9327690,36437,2745450108,4775777280,4775870464,3600001498932,99.578979
12,bench_p26_wt,bench_p26_wt_linear,0,0,16,3600000000000,64,30,0,1,42,1024,134217728,0,64,stack,4775628352,0,0,0,0,0,0,3072,99.579082
