i,suite,case,DISK_GEOMETRY,FILE_COUNT,NO_SET,NO_FRUNCATE,SKIP_WARMUP,SEED,FS,SIM_SIZE,CHUNK,FILE_SIZE,SIM_TIME,DISK_SIZE,SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,0,16,0,0,0,42,30,0,64,64,3600000000000,134217728,1024,write,78037312,9244679,318294,77138,9244679,62102825,315957248,3600014408995,5.116323
12,bench_p26_wt,bench_p26_wt_linear,0,16,0,0,0,42,30,0,64,64,3600000000000,134217728,1024,stack,78037312,0,0,0,0,0,0,2976,5.116636
12,bench_p26_wt,bench_p26_wt_linear,0,16,0,0,0,42,30,0,64,64,3600000000000,134217728,1024,ctx,78037312,0,0,0,0,0,0,528,5.116691
12,bench_p26_wt,bench_p26_wt_linear,0,16,0,0,0,42,30,0,64,64,3600000000000,134217728,1024,heap,78037312,0,0,0,0,0,0,784,5.116738
12,bench_p26_wt,bench_p26_wt_linear,0,16,0,0,0,42,30,0,64,64,3600000000000,134217728,1024,usage,78037312,0,0,0,0,0,0,20480,5.116782
13,bench_p26_wt,bench_p26_wt_linear,0,32,0,0,0,42,30,0,64,64,3600000000000,134217728,2048,write,150898752,8931694,602480,74580,8931694,135494098,305479680,3600000537542,6.495471
13,bench_p26_wt,bench_p26_wt_linear,0,32,0,0,0,42,30,0,64,64,3600000000000,134217728,2048,stack,150898752,0,0,0,0,0,0,2976,6.495796
13,bench_p26_wt,bench_p26_wt_linear,0,32,0,0,0,42,30,0,64,64,3600000000000,134217728,2048,ctx,150898752,0,0,0,0,0,0,528,6.495852
13,bench_p26_wt,bench_p26_wt_linear,0,32,0,0,0,42,30,0,64,64,3600000000000,134217728,2048,heap,150898752,0,0,0,0,0,0,784,6.495898
13,bench_p26_wt,bench_p26_wt_linear,0,32,0,0,0,42,30,0,64,64,3600000000000,134217728,2048,usage,150898752,0,0,0,0,0,0,16384,6.495941
15,bench_p26_wt,bench_p26_wt_linear,0,128,0,0,0,42,30,0,64,64,3600000000000,134217728,8192,write,281719104,6720486,1147840,69674,6720486,276346945,285384704,3600038693059,6.637184
15,bench_p26_wt,bench_p26_wt_linear,0,128,0,0,0,42,30,0,64,64,3600000000000,134217728,8192,stack,281719104,0,0,0,0,0,0,2976,6.637292
15,bench_p26_wt,bench_p26_wt_linear,0,128,0,0,0,42,30,0,64,64,3600000000000,134217728,8192,ctx,281719104,0,0,0,0,0,0,528,6.637342
15,bench_p26_wt,bench_p26_wt_linear,0,128,0,0,0,42,30,0,64,64,3600000000000,134217728,8192,heap,281719104,0,0,0,0,0,0,784,6.637395
15,bench_p26_wt,bench_p26_wt_linear,0,128,0,0,0,42,30,0,64,64,3600000000000,134217728,8192,usage,281719104,0,0,0,0,0,0,24576,6.637440
21,bench_p26_wt,bench_p26_wt_linear,0,8192,0,0,0,42,30,0,64,64,3600000000000,134217728,524288,write,265732416,55599936,1182930,69318,55599936,277361684,283926528,3600034121084,7.152277
21,bench_p26_wt,bench_p26_wt_linear,0,8192,0,0,0,42,30,0,64,64,3600000000000,134217728,524288,stack,265732416,0,0,0,0,0,0,3168,7.152377
21,bench_p26_wt,bench_p26_wt_linear,0,8192,0,0,0,42,30,0,64,64,3600000000000,134217728,524288,ctx,265732416,0,0,0,0,0,0,528,7.152432
21,bench_p26_wt,bench_p26_wt_linear,0,8192,0,0,0,42,30,0,64,64,3600000000000,134217728,524288,heap,265732416,0,0,0,0,0,0,784,7.152487
21,bench_p26_wt,bench_p26_wt_linear,0,8192,0,0,0,42,30,0,64,64,3600000000000,134217728,524288,usage,265732416,0,0,0,0,0,0,475136,7.152531
14,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,0,42,30,0,64,64,3600000000000,134217728,4096,write,283021632,8356907,1117816,69942,8356907,268578184,286482432,3600002740176,8.799067
14,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,0,42,30,0,64,64,3600000000000,134217728,4096,stack,283021632,0,0,0,0,0,0,2976,8.799170
14,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,0,42,30,0,64,64,3600000000000,134217728,4096,ctx,283021632,0,0,0,0,0,0,528,8.799222
14,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,0,42,30,0,64,64,3600000000000,134217728,4096,heap,283021632,0,0,0,0,0,0,784,8.799268
14,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,0,42,30,0,64,64,3600000000000,134217728,4096,usage,283021632,0,0,0,0,0,0,20480,8.799317
16,bench_p26_wt,bench_p26_wt_linear,0,256,0,0,0,42,30,0,64,64,3600000000000,134217728,16384,write,280772928,5443004,1162339,69544,5443004,280233630,284852224,3600013071386,8.889788
16,bench_p26_wt,bench_p26_wt_linear,0,256,0,0,0,42,30,0,64,64,3600000000000,134217728,16384,stack,280772928,0,0,0,0,0,0,3040,8.889883
16,bench_p26_wt,bench_p26_wt_linear,0,256,0,0,0,42,30,0,64,64,3600000000000,134217728,16384,ctx,280772928,0,0,0,0,0,0,528,8.889945
16,bench_p26_wt,bench_p26_wt_linear,0,256,0,0,0,42,30,0,64,64,3600000000000,134217728,16384,heap,280772928,0,0,0,0,0,0,784,8.889988
16,bench_p26_wt,bench_p26_wt_linear,0,256,0,0,0,42,30,0,64,64,3600000000000,134217728,16384,usage,280772928,0,0,0,0,0,0,20480,8.890028
17,bench_p26_wt,bench_p26_wt_linear,0,512,0,0,0,42,30,0,64,64,3600000000000,134217728,32768,write,279970112,5601944,1169291,69481,5601944,282178062,284594176,3600003147722,8.959432
17,bench_p26_wt,bench_p26_wt_linear,0,512,0,0,0,42,30,0,64,64,3600000000000,134217728,32768,stack,279970112,0,0,0,0,0,0,3104,8.959533
17,bench_p26_wt,bench_p26_wt_linear,0,512,0,0,0,42,30,0,64,64,3600000000000,134217728,32768,ctx,279970112,0,0,0,0,0,0,528,8.959582
17,bench_p26_wt,bench_p26_wt_linear,0,512,0,0,0,42,30,0,64,64,3600000000000,134217728,32768,heap,279970112,0,0,0,0,0,0,784,8.959623
17,bench_p26_wt,bench_p26_wt_linear,0,512,0,0,0,42,30,0,64,64,3600000000000,134217728,32768,usage,279970112,0,0,0,0,0,0,20480,8.959665
18,bench_p26_wt,bench_p26_wt_linear,0,1024,0,0,0,42,30,0,64,64,3600000000000,134217728,65536,write,278667584,9117706,1172262,69452,9117706,283151307,284475392,3600046089121,9.062249
18,bench_p26_wt,bench_p26_wt_linear,0,1024,0,0,0,42,30,0,64,64,3600000000000,134217728,65536,stack,278667584,0,0,0,0,0,0,3120,9.062344
18,bench_p26_wt,bench_p26_wt_linear,0,1024,0,0,0,42,30,0,64,64,3600000000000,134217728,65536,ctx,278667584,0,0,0,0,0,0,528,9.062392
18,bench_p26_wt,bench_p26_wt_linear,0,1024,0,0,0,42,30,0,64,64,3600000000000,134217728,65536,heap,278667584,0,0,0,0,0,0,784,9.062433
18,bench_p26_wt,bench_p26_wt_linear,0,1024,0,0,0,42,30,0,64,64,3600000000000,134217728,65536,usage,278667584,0,0,0,0,0,0,28672,9.062473
19,bench_p26_wt,bench_p26_wt_linear,0,2048,0,0,0,42,30,0,64,64,3600000000000,134217728,131072,write,273117504,13513262,1155547,69598,13513262,279283409,285073408,3600030085555,9.322766
19,bench_p26_wt,bench_p26_wt_linear,0,2048,0,0,0,42,30,0,64,64,3600000000000,134217728,131072,stack,273117504,0,0,0,0,0,0,3120,9.322864
19,bench_p26_wt,bench_p26_wt_linear,0,2048,0,0,0,42,30,0,64,64,3600000000000,134217728,131072,ctx,273117504,0,0,0,0,0,0,528,9.322910
19,bench_p26_wt,bench_p26_wt_linear,0,2048,0,0,0,42,30,0,64,64,3600000000000,134217728,131072,heap,273117504,0,0,0,0,0,0,784,9.322951
19,bench_p26_wt,bench_p26_wt_linear,0,2048,0,0,0,42,30,0,64,64,3600000000000,134217728,131072,usage,273117504,0,0,0,0,0,0,118784,9.322989
22,bench_p26_wt,bench_p26_wt_linear,0,16384,0,0,0,42,30,0,64,64,3600000000000,134217728,1048576,write,263020864,75272229,1193837,69204,75272229,276881842,283459584,3600046245118,9.401626
22,bench_p26_wt,bench_p26_wt_linear,0,16384,0,0,0,42,30,0,64,64,3600000000000,134217728,1048576,stack,263020864,0,0,0,0,0,0,3168,9.401724
22,bench_p26_wt,bench_p26_wt_linear,0,16384,0,0,0,42,30,0,64,64,3600000000000,134217728,1048576,ctx,263020864,0,0,0,0,0,0,528,9.401772
22,bench_p26_wt,bench_p26_wt_linear,0,16384,0,0,0,42,30,0,64,64,3600000000000,134217728,1048576,heap,263020864,0,0,0,0,0,0,784,9.401814
22,bench_p26_wt,bench_p26_wt_linear,0,16384,0,0,0,42,30,0,64,64,3600000000000,134217728,1048576,usage,263020864,0,0,0,0,0,0,921600,9.401855
20,bench_p26_wt,bench_p26_wt_linear,0,4096,0,0,0,42,30,0,64,64,3600000000000,134217728,262144,write,270102848,27617049,1159397,69551,27617049,278435746,284880896,3600003687406,9.425837
20,bench_p26_wt,bench_p26_wt_linear,0,4096,0,0,0,42,30,0,64,64,3600000000000,134217728,262144,stack,270102848,0,0,0,0,0,0,3120,9.425898
20,bench_p26_wt,bench_p26_wt_linear,0,4096,0,0,0,42,30,0,64,64,3600000000000,134217728,262144,ctx,270102848,0,0,0,0,0,0,528,9.425931
20,bench_p26_wt,bench_p26_wt_linear,0,4096,0,0,0,42,30,0,64,64,3600000000000,134217728,262144,heap,270102848,0,0,0,0,0,0,784,9.425959
20,bench_p26_wt,bench_p26_wt_linear,0,4096,0,0,0,42,30,0,64,64,3600000000000,134217728,262144,usage,270102848,0,0,0,0,0,0,118784,9.425984
23,bench_p26_wt,bench_p26_wt_linear,0,32768,0,0,0,42,30,0,64,64,3600000000000,134217728,2097152,write,261177664,94483085,1198322,69147,94483085,276522268,283226112,3600037498140,9.704128
