i,suite,case,SIZE,FS,DISK_GEOMETRY,SEED,DISK_SIZE,SIM_SIZE,SIM_TIME,FILE_SIZE,NO_FRUNCATE,FILE_COUNT,CHUNK,NO_SET,SKIP_WARMUP,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
16,bench_p26_wt,bench_p26_wt_linear,16384,32,1,42,134217728,0,3600000000000,64,1,256,64,0,0,write,1630387264,52203687,7817319,118032,2933666624,4002467328,15470690304,3600008767424,70.947313
16,bench_p26_wt,bench_p26_wt_linear,16384,32,1,42,134217728,0,3600000000000,64,1,256,64,0,0,stack,1630387264,0,0,0,0,0,0,3200,70.947526
16,bench_p26_wt,bench_p26_wt_linear,16384,32,1,42,134217728,0,3600000000000,64,1,256,64,0,0,ctx,1630387264,0,0,0,0,0,0,624,70.947576
16,bench_p26_wt,bench_p26_wt_linear,16384,32,1,42,134217728,0,3600000000000,64,1,256,64,0,0,heap,1630387264,0,0,0,0,0,0,1296,70.947619
16,bench_p26_wt,bench_p26_wt_linear,16384,32,1,42,134217728,0,3600000000000,64,1,256,64,0,0,usage,1630387264,0,0,0,0,0,0,786432,70.947662
15,bench_p26_wt,bench_p26_wt_linear,8192,32,1,42,134217728,0,3600000000000,64,1,128,64,0,0,write,1895439936,64179015,7375369,28923,2702981424,3776188928,3790995456,3600012838032,71.999378
15,bench_p26_wt,bench_p26_wt_linear,8192,32,1,42,134217728,0,3600000000000,64,1,128,64,0,0,stack,1895439936,0,0,0,0,0,0,3200,71.999479
15,bench_p26_wt,bench_p26_wt_linear,8192,32,1,42,134217728,0,3600000000000,64,1,128,64,0,0,ctx,1895439936,0,0,0,0,0,0,624,71.999529
15,bench_p26_wt,bench_p26_wt_linear,8192,32,1,42,134217728,0,3600000000000,64,1,128,64,0,0,heap,1895439936,0,0,0,0,0,0,1296,71.999573
15,bench_p26_wt,bench_p26_wt_linear,8192,32,1,42,134217728,0,3600000000000,64,1,128,64,0,0,usage,1895439936,0,0,0,0,0,0,655360,71.999616
17,bench_p26_wt,bench_p26_wt_linear,32768,32,1,42,134217728,0,3600000000000,64,1,512,64,0,0,write,2651947072,42453151,8947504,95994,2385145425,4581122048,12582125568,3600007163907,79.690158
17,bench_p26_wt,bench_p26_wt_linear,32768,32,1,42,134217728,0,3600000000000,64,1,512,64,0,0,stack,2651947072,0,0,0,0,0,0,3200,79.690258
