i,suite,case,DISK_GEOMETRY,SEED,FILE_SIZE,SIM_SIZE,FS,SIZE,SKIP_WARMUP,DISK_SIZE,SIM_TIME,NO_FRUNCATE,CHUNK,NO_SET,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,1024,0,134217728,3600000000000,1,64,0,16,write,77237568,6133099,326065,77071,6133099,64366935,315682816,3600027448621,5.016683
12,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,1024,0,134217728,3600000000000,1,64,0,16,stack,77237568,0,0,0,0,0,0,3264,5.016912
12,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,1024,0,134217728,3600000000000,1,64,0,16,ctx,77237568,0,0,0,0,0,0,624,5.016966
12,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,1024,0,134217728,3600000000000,1,64,0,16,heap,77237568,0,0,0,0,0,0,784,5.017014
12,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,1024,0,134217728,3600000000000,1,64,0,16,usage,77237568,0,0,0,0,0,0,24576,5.017057
13,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,2048,0,134217728,3600000000000,1,64,0,32,write,149401920,5931103,607160,74541,5931103,136957381,305319936,3600025967735,6.263912
13,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,2048,0,134217728,3600000000000,1,64,0,32,stack,149401920,0,0,0,0,0,0,3264,6.264071
13,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,2048,0,134217728,3600000000000,1,64,0,32,ctx,149401920,0,0,0,0,0,0,624,6.264125
13,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,2048,0,134217728,3600000000000,1,64,0,32,heap,149401920,0,0,0,0,0,0,784,6.264170
13,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,2048,0,134217728,3600000000000,1,64,0,32,usage,149401920,0,0,0,0,0,0,24576,6.264215
15,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,8192,0,134217728,3600000000000,1,64,0,128,write,279155008,3895641,1147132,69682,3895641,276444125,285417472,3600004244303,8.531887
15,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,8192,0,134217728,3600000000000,1,64,0,128,stack,279155008,0,0,0,0,0,0,3264,8.532013
15,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,8192,0,134217728,3600000000000,1,64,0,128,ctx,279155008,0,0,0,0,0,0,624,8.532075
15,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,8192,0,134217728,3600000000000,1,64,0,128,heap,279155008,0,0,0,0,0,0,784,8.532121
15,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,8192,0,134217728,3600000000000,1,64,0,128,usage,279155008,0,0,0,0,0,0,28672,8.532178
17,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,32768,0,134217728,3600000000000,1,64,0,512,write,277301568,3401832,1168044,69494,3401832,282198384,284647424,3600001552272,8.537051
17,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,32768,0,134217728,3600000000000,1,64,0,512,stack,277301568,0,0,0,0,0,0,3264,8.537131
17,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,32768,0,134217728,3600000000000,1,64,0,512,ctx,277301568,0,0,0,0,0,0,624,8.537196
17,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,32768,0,134217728,3600000000000,1,64,0,512,heap,277301568,0,0,0,0,0,0,784,8.537244
17,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,32768,0,134217728,3600000000000,1,64,0,512,usage,277301568,0,0,0,0,0,0,40960,8.537290
14,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,4096,0,134217728,3600000000000,1,64,0,64,write,280392000,5566970,1117374,69949,5566970,268717221,286511104,3600031918415,8.563857
14,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,4096,0,134217728,3600000000000,1,64,0,64,stack,280392000,0,0,0,0,0,0,3264,8.563960
14,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,4096,0,134217728,3600000000000,1,64,0,64,ctx,280392000,0,0,0,0,0,0,624,8.564012
14,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,4096,0,134217728,3600000000000,1,64,0,64,heap,280392000,0,0,0,0,0,0,784,8.564056
14,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,4096,0,134217728,3600000000000,1,64,0,64,usage,280392000,0,0,0,0,0,0,24576,8.564099
16,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,16384,0,134217728,3600000000000,1,64,0,256,write,278110528,3307648,1161701,69552,3307648,280255015,284884992,3600032771045,8.577267
16,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,16384,0,134217728,3600000000000,1,64,0,256,stack,278110528,0,0,0,0,0,0,3264,8.577398
16,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,16384,0,134217728,3600000000000,1,64,0,256,ctx,278110528,0,0,0,0,0,0,624,8.577464
16,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,16384,0,134217728,3600000000000,1,64,0,256,heap,278110528,0,0,0,0,0,0,784,8.577510
16,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,16384,0,134217728,3600000000000,1,64,0,256,usage,278110528,0,0,0,0,0,0,32768,8.577554
19,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,131072,0,134217728,3600000000000,1,64,0,2048,write,271510592,11264061,1155476,69600,11264061,279299646,285081600,3600002014242,8.619803
19,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,131072,0,134217728,3600000000000,1,64,0,2048,stack,271510592,0,0,0,0,0,0,3264,8.619917
19,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,131072,0,134217728,3600000000000,1,64,0,2048,ctx,271510592,0,0,0,0,0,0,624,8.619968
19,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,131072,0,134217728,3600000000000,1,64,0,2048,heap,271510592,0,0,0,0,0,0,784,8.620011
19,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,131072,0,134217728,3600000000000,1,64,0,2048,usage,271510592,0,0,0,0,0,0,81920,8.620053
20,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,262144,0,134217728,3600000000000,1,64,0,4096,write,268919104,25176488,1158991,69557,25176488,278455247,284905472,3600013975453,8.784905
20,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,262144,0,134217728,3600000000000,1,64,0,4096,stack,268919104,0,0,0,0,0,0,3264,8.785005
20,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,262144,0,134217728,3600000000000,1,64,0,4096,ctx,268919104,0,0,0,0,0,0,624,8.785058
20,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,262144,0,134217728,3600000000000,1,64,0,4096,heap,268919104,0,0,0,0,0,0,784,8.785105
20,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,262144,0,134217728,3600000000000,1,64,0,4096,usage,268919104,0,0,0,0,0,0,249856,8.785149
18,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,65536,0,134217728,3600000000000,1,64,0,1024,write,275882304,7036709,1171300,69462,7036709,283203537,284516352,3600028905035,8.903945
18,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,65536,0,134217728,3600000000000,1,64,0,1024,stack,275882304,0,0,0,0,0,0,3264,8.904030
18,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,65536,0,134217728,3600000000000,1,64,0,1024,ctx,275882304,0,0,0,0,0,0,624,8.904072
18,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,65536,0,134217728,3600000000000,1,64,0,1024,heap,275882304,0,0,0,0,0,0,784,8.904106
18,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,65536,0,134217728,3600000000000,1,64,0,1024,usage,275882304,0,0,0,0,0,0,65536,8.904137
22,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,1048576,0,134217728,3600000000000,1,64,0,16384,write,260948288,72272496,1193144,69214,72272496,276919182,283500544,3600099663114,9.077585
22,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,1048576,0,134217728,3600000000000,1,64,0,16384,stack,260948288,0,0,0,0,0,0,3264,9.077684
22,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,1048576,0,134217728,3600000000000,1,64,0,16384,ctx,260948288,0,0,0,0,0,0,624,9.077731
22,bench_p26_wt,bench_p26_wt_linear,0,42,64,0,32,1048576,0,134217728,3600000000000,1,64,0,16384,heap,260948288,0,0,0,0,0,0,784,9.077770
