i,suite,case,SIZE,FS,SEED,SKIP_WARMUP,FILE_SIZE,NO_SET,DISK_SIZE,FILE_COUNT,SIM_TIME,NO_FRUNCATE,SIM_SIZE,DISK_GEOMETRY,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
15,bench_p26_wt,bench_p26_wt_linear,8192,33,42,0,64,1,134217728,128,3600000000000,0,0,1,64,write,1895439936,64179015,7375369,28923,2702981424,3776188928,3790995456,3600012838032,70.690812
15,bench_p26_wt,bench_p26_wt_linear,8192,33,42,0,64,1,134217728,128,3600000000000,0,0,1,64,stack,1895439936,0,0,0,0,0,0,3200,70.691040
15,bench_p26_wt,bench_p26_wt_linear,8192,33,42,0,64,1,134217728,128,3600000000000,0,0,1,64,ctx,1895439936,0,0,0,0,0,0,624,70.691093
15,bench_p26_wt,bench_p26_wt_linear,8192,33,42,0,64,1,134217728,128,3600000000000,0,0,1,64,heap,1895439936,0,0,0,0,0,0,1296,70.691159
15,bench_p26_wt,bench_p26_wt_linear,8192,33,42,0,64,1,134217728,128,3600000000000,0,0,1,64,usage,1895439936,0,0,0,0,0,0,655360,70.691203
16,bench_p26_wt,bench_p26_wt_linear,16384,33,42,0,64,1,134217728,256,3600000000000,0,0,1,64,write,1630387264,52203687,7817319,118032,2933666624,4002467328,15470690304,3600008767424,71.867490
16,bench_p26_wt,bench_p26_wt_linear,16384,33,42,0,64,1,134217728,256,3600000000000,0,0,1,64,stack,1630387264,0,0,0,0,0,0,3200,71.867592
16,bench_p26_wt,bench_p26_wt_linear,16384,33,42,0,64,1,134217728,256,3600000000000,0,0,1,64,ctx,1630387264,0,0,0,0,0,0,624,71.867641
16,bench_p26_wt,bench_p26_wt_linear,16384,33,42,0,64,1,134217728,256,3600000000000,0,0,1,64,heap,1630387264,0,0,0,0,0,0,1296,71.867694
16,bench_p26_wt,bench_p26_wt_linear,16384,33,42,0,64,1,134217728,256,3600000000000,0,0,1,64,usage,1630387264,0,0,0,0,0,0,786432,71.867737
14,bench_p26_wt,bench_p26_wt_linear,4096,33,42,0,64,1,134217728,64,3600000000000,0,0,1,64,write,2483889728,50942968,8591202,33691,2718402211,4398695424,4415946752,3600001804825,79.045898
14,bench_p26_wt,bench_p26_wt_linear,4096,33,42,0,64,1,134217728,64,3600000000000,0,0,1,64,stack,2483889728,0,0,0,0,0,0,3200,79.046003
14,bench_p26_wt,bench_p26_wt_linear,4096,33,42,0,64,1,134217728,64,3600000000000,0,0,1,64,ctx,2483889728,0,0,0,0,0,0,624,79.046052
14,bench_p26_wt,bench_p26_wt_linear,4096,33,42,0,64,1,134217728,64,3600000000000,0,0,1,64,heap,2483889728,0,0,0,0,0,0,1296,79.046099
