i,suite,case,FS,CHUNK,FILE_SIZE,FILE_COUNT,SKIP_WARMUP,SEED,NO_FRUNCATE,SIM_SIZE,NO_SET,SIM_TIME,SIZE,DISK_SIZE,DISK_GEOMETRY,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,33,64,64,16,0,42,0,0,1,3600000000000,1024,134217728,0,write,77237568,6133099,326065,77071,6133099,64366935,315682816,3600027448621,5.015890
12,bench_p26_wt,bench_p26_wt_linear,33,64,64,16,0,42,0,0,1,3600000000000,1024,134217728,0,stack,77237568,0,0,0,0,0,0,3264,5.016135
12,bench_p26_wt,bench_p26_wt_linear,33,64,64,16,0,42,0,0,1,3600000000000,1024,134217728,0,ctx,77237568,0,0,0,0,0,0,624,5.016190
12,bench_p26_wt,bench_p26_wt_linear,33,64,64,16,0,42,0,0,1,3600000000000,1024,134217728,0,heap,77237568,0,0,0,0,0,0,784,5.016237
12,bench_p26_wt,bench_p26_wt_linear,33,64,64,16,0,42,0,0,1,3600000000000,1024,134217728,0,usage,77237568,0,0,0,0,0,0,24576,5.016284
13,bench_p26_wt,bench_p26_wt_linear,33,64,64,32,0,42,0,0,1,3600000000000,2048,134217728,0,write,149401920,5931103,607160,74541,5931103,136957381,305319936,3600025967735,6.231194
13,bench_p26_wt,bench_p26_wt_linear,33,64,64,32,0,42,0,0,1,3600000000000,2048,134217728,0,stack,149401920,0,0,0,0,0,0,3264,6.231315
13,bench_p26_wt,bench_p26_wt_linear,33,64,64,32,0,42,0,0,1,3600000000000,2048,134217728,0,ctx,149401920,0,0,0,0,0,0,624,6.231373
13,bench_p26_wt,bench_p26_wt_linear,33,64,64,32,0,42,0,0,1,3600000000000,2048,134217728,0,heap,149401920,0,0,0,0,0,0,784,6.231419
13,bench_p26_wt,bench_p26_wt_linear,33,64,64,32,0,42,0,0,1,3600000000000,2048,134217728,0,usage,149401920,0,0,0,0,0,0,24576,6.231462
15,bench_p26_wt,bench_p26_wt_linear,33,64,64,128,0,42,0,0,1,3600000000000,8192,134217728,0,write,279155008,3895641,1147132,69682,3895641,276444125,285417472,3600004244303,8.423198
15,bench_p26_wt,bench_p26_wt_linear,33,64,64,128,0,42,0,0,1,3600000000000,8192,134217728,0,stack,279155008,0,0,0,0,0,0,3264,8.423312
15,bench_p26_wt,bench_p26_wt_linear,33,64,64,128,0,42,0,0,1,3600000000000,8192,134217728,0,ctx,279155008,0,0,0,0,0,0,624,8.423364
15,bench_p26_wt,bench_p26_wt_linear,33,64,64,128,0,42,0,0,1,3600000000000,8192,134217728,0,heap,279155008,0,0,0,0,0,0,784,8.423423
15,bench_p26_wt,bench_p26_wt_linear,33,64,64,128,0,42,0,0,1,3600000000000,8192,134217728,0,usage,279155008,0,0,0,0,0,0,28672,8.423469
14,bench_p26_wt,bench_p26_wt_linear,33,64,64,64,0,42,0,0,1,3600000000000,4096,134217728,0,write,280392000,5566970,1117374,69949,5566970,268717221,286511104,3600031918415,8.501364
