i,suite,case,SKIP_WARMUP,SIZE,DISK_SIZE,SIM_SIZE,DISK_GEOMETRY,NO_FRUNCATE,FILE_COUNT,SIM_TIME,FS,FILE_SIZE,SEED,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,0,1024,134217728,0,1,0,16,3600000000000,2,64,42,64,write,1440204352,3121163,2812902,1406450,1469404772,1440205824,184346214400,3600001961324,69.658936
12,bench_p26_wt,bench_p26_wt_linear,0,1024,134217728,0,1,0,16,3600000000000,2,64,42,64,stack,1440204352,0,0,0,0,0,0,1856,69.659205
12,bench_p26_wt,bench_p26_wt_linear,0,1024,134217728,0,1,0,16,3600000000000,2,64,42,64,ctx,1440204352,0,0,0,0,0,0,400,69.659264
12,bench_p26_wt,bench_p26_wt_linear,0,1024,134217728,0,1,0,16,3600000000000,2,64,42,64,heap,1440204352,0,0,0,0,0,0,1552,69.659315
12,bench_p26_wt,bench_p26_wt_linear,0,1024,134217728,0,1,0,16,3600000000000,2,64,42,64,usage,1440204352,0,0,0,0,0,0,393216,69.659367
13,bench_p26_wt,bench_p26_wt_linear,0,2048,134217728,0,1,0,32,3600000000000,2,64,42,64,write,2342494784,4825881,4575188,1143797,2366242692,2342496256,149919760384,3600001470156,73.392949
13,bench_p26_wt,bench_p26_wt_linear,0,2048,134217728,0,1,0,32,3600000000000,2,64,42,64,stack,2342494784,0,0,0,0,0,0,1856,73.393083
13,bench_p26_wt,bench_p26_wt_linear,0,2048,134217728,0,1,0,32,3600000000000,2,64,42,64,ctx,2342494784,0,0,0,0,0,0,400,73.393143
13,bench_p26_wt,bench_p26_wt_linear,0,2048,134217728,0,1,0,32,3600000000000,2,64,42,64,heap,2342494784,0,0,0,0,0,0,1552,73.393195
13,bench_p26_wt,bench_p26_wt_linear,0,2048,134217728,0,1,0,32,3600000000000,2,64,42,64,usage,2342494784,0,0,0,0,0,0,393216,73.393245
14,bench_p26_wt,bench_p26_wt_linear,0,4096,134217728,0,1,0,64,3600000000000,2,64,42,64,write,3410991616,6844608,6662095,832762,3428281456,3410992640,109151780864,3600000415312,77.408130
14,bench_p26_wt,bench_p26_wt_linear,0,4096,134217728,0,1,0,64,3600000000000,2,64,42,64,stack,3410991616,0,0,0,0,0,0,1856,77.408271
14,bench_p26_wt,bench_p26_wt_linear,0,4096,134217728,0,1,0,64,3600000000000,2,64,42,64,ctx,3410991616,0,0,0,0,0,0,400,77.408328
14,bench_p26_wt,bench_p26_wt_linear,0,4096,134217728,0,1,0,64,3600000000000,2,64,42,64,heap,3410991616,0,0,0,0,0,0,1552,77.408378
14,bench_p26_wt,bench_p26_wt_linear,0,4096,134217728,0,1,0,64,3600000000000,2,64,42,64,usage,3410991616,0,0,0,0,0,0,393216,77.408438
15,bench_p26_wt,bench_p26_wt_linear,0,8192,134217728,0,1,0,128,3600000000000,2,64,42,64,write,4418773568,8748645,8630420,539402,4429974864,4418775040,70700498944,3600002651376,85.013232
15,bench_p26_wt,bench_p26_wt_linear,0,8192,134217728,0,1,0,128,3600000000000,2,64,42,64,stack,4418773568,0,0,0,0,0,0,1856,85.013365
15,bench_p26_wt,bench_p26_wt_linear,0,8192,134217728,0,1,0,128,3600000000000,2,64,42,64,ctx,4418773568,0,0,0,0,0,0,400,85.013430
15,bench_p26_wt,bench_p26_wt_linear,0,8192,134217728,0,1,0,128,3600000000000,2,64,42,64,heap,4418773568,0,0,0,0,0,0,1552,85.013480
15,bench_p26_wt,bench_p26_wt_linear,0,8192,134217728,0,1,0,128,3600000000000,2,64,42,64,usage,4418773568,0,0,0,0,0,0,393216,85.013527
