i,suite,case,SIM_TIME,FS,SIZE,SKIP_WARMUP,NO_FRUNCATE,FILE_COUNT,FILE_SIZE,DISK_GEOMETRY,CHUNK,SEED,SIM_SIZE,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,1024,0,0,16,64,0,64,42,0,134217728,write,79004992,79746742,308616,77154,79746742,79005068,316022784,3600003173844,4.500072
12,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,1024,0,0,16,64,0,64,42,0,134217728,stack,79004992,0,0,0,0,0,0,2000,4.508789
12,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,1024,0,0,16,64,0,64,42,0,134217728,ctx,79004992,0,0,0,0,0,0,400,4.508867
12,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,1024,0,0,16,64,0,64,42,0,134217728,heap,79004992,0,0,0,0,0,0,784,4.508928
12,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,1024,0,0,16,64,0,64,42,0,134217728,usage,79004992,0,0,0,0,0,0,20480,4.508987
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,8192,0,0,128,64,0,64,42,0,134217728,write,198345024,199431872,799000,72637,199431872,198635644,297521152,3600020999988,5.406435
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,8192,0,0,128,64,0,64,42,0,134217728,stack,198345024,0,0,0,0,0,0,2000,5.406566
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,8192,0,0,128,64,0,64,42,0,134217728,ctx,198345024,0,0,0,0,0,0,400,5.406624
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,8192,0,0,128,64,0,64,42,0,134217728,heap,198345024,0,0,0,0,0,0,784,5.406674
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,8192,0,0,128,64,0,64,42,0,134217728,usage,198345024,0,0,0,0,0,0,20480,5.406722
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,2048,0,0,32,64,0,64,42,0,134217728,write,152578368,153295518,596012,74502,153295518,152578444,305160192,3600001770004,5.538739
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,2048,0,0,32,64,0,64,42,0,134217728,stack,152578368,0,0,0,0,0,0,2000,5.538866
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,2048,0,0,32,64,0,64,42,0,134217728,ctx,152578368,0,0,0,0,0,0,400,5.538920
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,2048,0,0,32,64,0,64,42,0,134217728,heap,152578368,0,0,0,0,0,0,784,5.538967
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,2048,0,0,32,64,0,64,42,0,134217728,usage,152578368,0,0,0,0,0,0,20480,5.539012
16,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,16384,0,0,256,64,0,64,42,0,134217728,write,234082368,235344142,928674,71437,235344142,234482484,292605952,3600026391820,5.888982
16,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,16384,0,0,256,64,0,64,42,0,134217728,stack,234082368,0,0,0,0,0,0,2000,5.889101
16,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,16384,0,0,256,64,0,64,42,0,134217728,ctx,234082368,0,0,0,0,0,0,400,5.889163
16,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,16384,0,0,256,64,0,64,42,0,134217728,heap,234082368,0,0,0,0,0,0,784,5.889213
16,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,16384,0,0,256,64,0,64,42,0,134217728,usage,234082368,0,0,0,0,0,0,24576,5.889259
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,131072,0,0,2048,64,0,64,42,0,134217728,write,277893120,279396090,1087643,69966,279396090,278427468,286580736,3600038349492,6.115967
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,131072,0,0,2048,64,0,64,42,0,134217728,stack,277893120,0,0,0,0,0,0,2000,6.116077
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,131072,0,0,2048,64,0,64,42,0,134217728,ctx,277893120,0,0,0,0,0,0,400,6.116131
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,131072,0,0,2048,64,0,64,42,0,134217728,heap,277893120,0,0,0,0,0,0,784,6.116181
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,131072,0,0,2048,64,0,64,42,0,134217728,usage,277893120,0,0,0,0,0,0,40960,6.116229
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,65536,0,0,1024,64,0,64,42,0,134217728,write,270659520,272110218,1061396,70209,272110218,271171696,287576064,3600041568736,6.161365
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,65536,0,0,1024,64,0,64,42,0,134217728,stack,270659520,0,0,0,0,0,0,2000,6.161448
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,65536,0,0,1024,64,0,64,42,0,134217728,ctx,270659520,0,0,0,0,0,0,400,6.161494
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,65536,0,0,1024,64,0,64,42,0,134217728,heap,270659520,0,0,0,0,0,0,784,6.161544
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,65536,0,0,1024,64,0,64,42,0,134217728,usage,270659520,0,0,0,0,0,0,81920,6.161581
23,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,2097152,0,0,32768,64,0,64,42,0,134217728,write,284971520,287042694,1115347,69710,287042694,285527628,285532160,3600044606868,6.303040
23,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,2097152,0,0,32768,64,0,64,42,0,134217728,stack,284971520,0,0,0,0,0,0,2000,6.303145
23,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,2097152,0,0,32768,64,0,64,42,0,134217728,ctx,284971520,0,0,0,0,0,0,400,6.303198
23,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,2097152,0,0,32768,64,0,64,42,0,134217728,heap,284971520,0,0,0,0,0,0,784,6.303244
23,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,2097152,0,0,32768,64,0,64,42,0,134217728,usage,284971520,0,0,0,0,0,0,1880064,6.303290
22,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,1048576,0,0,16384,64,0,64,42,0,134217728,write,284487104,286273286,1113451,69727,286273286,285041716,285601792,3600010932684,6.314499
22,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,1048576,0,0,16384,64,0,64,42,0,134217728,stack,284487104,0,0,0,0,0,0,2000,6.314585
22,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,1048576,0,0,16384,64,0,64,42,0,134217728,ctx,284487104,0,0,0,0,0,0,400,6.314639
22,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,1048576,0,0,16384,64,0,64,42,0,134217728,heap,284487104,0,0,0,0,0,0,784,6.314686
22,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,1048576,0,0,16384,64,0,64,42,0,134217728,usage,284487104,0,0,0,0,0,0,344064,6.314730
20,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,262144,0,0,4096,64,0,64,42,0,134217728,write,281624448,283179360,1102247,69831,283179360,282170268,286027776,3600029444244,6.356784
20,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,262144,0,0,4096,64,0,64,42,0,134217728,stack,281624448,0,0,0,0,0,0,2000,6.356875
20,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,262144,0,0,4096,64,0,64,42,0,134217728,ctx,281624448,0,0,0,0,0,0,400,6.356923
20,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,262144,0,0,4096,64,0,64,42,0,134217728,heap,281624448,0,0,0,0,0,0,784,6.356964
20,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,262144,0,0,4096,64,0,64,42,0,134217728,usage,281624448,0,0,0,0,0,0,102400,6.357005
17,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,32768,0,0,512,64,0,64,42,0,134217728,write,257261568,258639542,1012781,70659,258639542,257732704,289419264,3600044573328,6.536236
17,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,32768,0,0,512,64,0,64,42,0,134217728,stack,257261568,0,0,0,0,0,0,2000,6.536352
17,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,32768,0,0,512,64,0,64,42,0,134217728,ctx,257261568,0,0,0,0,0,0,400,6.536403
17,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,32768,0,0,512,64,0,64,42,0,134217728,heap,257261568,0,0,0,0,0,0,784,6.536446
17,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,32768,0,0,512,64,0,64,42,0,134217728,usage,257261568,0,0,0,0,0,0,53248,6.536487
21,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,524288,0,0,8192,64,0,64,42,0,134217728,write,283528448,285168848,1109699,69762,285168848,284080116,285745152,3600022157468,6.753386
21,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,524288,0,0,8192,64,0,64,42,0,134217728,stack,283528448,0,0,0,0,0,0,2000,6.753483
21,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,524288,0,0,8192,64,0,64,42,0,134217728,ctx,283528448,0,0,0,0,0,0,400,6.753529
21,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,524288,0,0,8192,64,0,64,42,0,134217728,heap,283528448,0,0,0,0,0,0,784,6.753570
21,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,524288,0,0,8192,64,0,64,42,0,134217728,usage,283528448,0,0,0,0,0,0,434176,6.753608
14,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,4096,0,0,64,64,0,64,42,0,134217728,write,285528384,286198794,1115348,69710,286198794,285528460,285532160,3600011266804,7.049664
14,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,4096,0,0,64,64,0,64,42,0,134217728,stack,285528384,0,0,0,0,0,0,2000,7.049761
14,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,4096,0,0,64,64,0,64,42,0,134217728,ctx,285528384,0,0,0,0,0,0,400,7.049802
14,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,4096,0,0,64,64,0,64,42,0,134217728,heap,285528384,0,0,0,0,0,0,784,7.049835
14,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,4096,0,0,64,64,0,64,42,0,134217728,usage,285528384,0,0,0,0,0,0,20480,7.049865
24,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,4194304,0,0,65536,64,0,64,42,0,134217728,write,284967424,287597542,1115331,69709,287597542,285524068,285528064,3600015332444,3.909945
24,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,4194304,0,0,65536,64,0,64,42,0,134217728,stack,284967424,0,0,0,0,0,0,2000,3.910028
24,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,4194304,0,0,65536,64,0,64,42,0,134217728,ctx,284967424,0,0,0,0,0,0,400,3.910068
24,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,4194304,0,0,65536,64,0,64,42,0,134217728,heap,284967424,0,0,0,0,0,0,784,3.910099
24,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,4194304,0,0,65536,64,0,64,42,0,134217728,usage,284967424,0,0,0,0,0,0,3977216,3.910128
27,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,33554432,0,0,524288,64,0,64,42,0,134217728,write,284914240,295105502,1115131,69704,295105502,285471768,285507584,3600009638264,3.482214
27,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,33554432,0,0,524288,64,0,64,42,0,134217728,stack,284914240,0,0,0,0,0,0,2000,3.482294
27,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,33554432,0,0,524288,64,0,64,42,0,134217728,ctx,284914240,0,0,0,0,0,0,400,3.482332
27,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,33554432,0,0,524288,64,0,64,42,0,134217728,heap,284914240,0,0,0,0,0,0,784,3.482366
27,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,33554432,0,0,524288,64,0,64,42,0,134217728,usage,284914240,0,0,0,0,0,0,16531456,3.482397
25,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,8388608,0,0,131072,64,0,64,42,0,134217728,write,284844800,288597366,1114884,69712,288597366,285402008,285540352,3600009145016,3.467850
25,bench_p26_wt,bench_p26_wt_linear,3600000000000,2,8388608,0,0,131072,64,0,64,42,0,134217728,stack,284844800,0,0,0,0,0,0,2000,3.467903
