i,suite,case,CHUNK,FILE_SIZE,FILE_COUNT,SIM_TIME,SEED,NO_FRUNCATE,FS,SKIP_WARMUP,NO_SET,SIM_SIZE,DISK_GEOMETRY,SIZE,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
16,bench_p26_wt,bench_p26_wt_linear,64,64,256,3600000000000,42,0,3,0,0,0,1,16384,134217728,write,1630387264,52203687,7817319,118032,2933666624,4002467328,15470690304,3600008767424,70.739988
16,bench_p26_wt,bench_p26_wt_linear,64,64,256,3600000000000,42,0,3,0,0,0,1,16384,134217728,stack,1630387264,0,0,0,0,0,0,3200,70.748414
16,bench_p26_wt,bench_p26_wt_linear,64,64,256,3600000000000,42,0,3,0,0,0,1,16384,134217728,ctx,1630387264,0,0,0,0,0,0,624,70.748467
16,bench_p26_wt,bench_p26_wt_linear,64,64,256,3600000000000,42,0,3,0,0,0,1,16384,134217728,heap,1630387264,0,0,0,0,0,0,1296,70.748532
16,bench_p26_wt,bench_p26_wt_linear,64,64,256,3600000000000,42,0,3,0,0,0,1,16384,134217728,usage,1630387264,0,0,0,0,0,0,786432,70.748580
15,bench_p26_wt,bench_p26_wt_linear,64,64,128,3600000000000,42,0,3,0,0,0,1,8192,134217728,write,1895439936,64179015,7375369,28923,2702981424,3776188928,3790995456,3600012838032,70.909817
15,bench_p26_wt,bench_p26_wt_linear,64,64,128,3600000000000,42,0,3,0,0,0,1,8192,134217728,stack,1895439936,0,0,0,0,0,0,3200,70.909912
15,bench_p26_wt,bench_p26_wt_linear,64,64,128,3600000000000,42,0,3,0,0,0,1,8192,134217728,ctx,1895439936,0,0,0,0,0,0,624,70.909960
15,bench_p26_wt,bench_p26_wt_linear,64,64,128,3600000000000,42,0,3,0,0,0,1,8192,134217728,heap,1895439936,0,0,0,0,0,0,1296,70.910002
15,bench_p26_wt,bench_p26_wt_linear,64,64,128,3600000000000,42,0,3,0,0,0,1,8192,134217728,usage,1895439936,0,0,0,0,0,0,655360,70.910042
17,bench_p26_wt,bench_p26_wt_linear,64,64,512,3600000000000,42,0,3,0,0,0,1,32768,134217728,write,2651947072,42453151,8947504,95994,2385145425,4581122048,12582125568,3600007163907,80.025243
17,bench_p26_wt,bench_p26_wt_linear,64,64,512,3600000000000,42,0,3,0,0,0,1,32768,134217728,stack,2651947072,0,0,0,0,0,0,3200,80.025350
17,bench_p26_wt,bench_p26_wt_linear,64,64,512,3600000000000,42,0,3,0,0,0,1,32768,134217728,ctx,2651947072,0,0,0,0,0,0,624,80.025401
