i,suite,case,SIM_SIZE,FILE_SIZE,NO_FRUNCATE,DISK_GEOMETRY,FILE_COUNT,FS,NO_SET,SKIP_WARMUP,SIM_TIME,SEED,SIZE,CHUNK,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,16,3,0,0,3600000000000,42,1024,64,134217728,write,77237568,6133099,326065,77071,6133099,64366935,315682816,3600027448621,4.209469
12,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,16,3,0,0,3600000000000,42,1024,64,134217728,stack,77237568,0,0,0,0,0,0,3264,4.209687
12,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,16,3,0,0,3600000000000,42,1024,64,134217728,ctx,77237568,0,0,0,0,0,0,624,4.209734
12,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,16,3,0,0,3600000000000,42,1024,64,134217728,heap,77237568,0,0,0,0,0,0,784,4.209775
12,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,16,3,0,0,3600000000000,42,1024,64,134217728,usage,77237568,0,0,0,0,0,0,24576,4.209811
13,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,32,3,0,0,3600000000000,42,2048,64,134217728,write,149401920,5931103,607160,74541,5931103,136957381,305319936,3600025967735,5.450157
13,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,32,3,0,0,3600000000000,42,2048,64,134217728,stack,149401920,0,0,0,0,0,0,3264,5.450282
13,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,32,3,0,0,3600000000000,42,2048,64,134217728,ctx,149401920,0,0,0,0,0,0,624,5.450335
13,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,32,3,0,0,3600000000000,42,2048,64,134217728,heap,149401920,0,0,0,0,0,0,784,5.450380
13,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,32,3,0,0,3600000000000,42,2048,64,134217728,usage,149401920,0,0,0,0,0,0,24576,5.450424
14,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,3,0,0,3600000000000,42,4096,64,134217728,write,280392000,5566970,1117374,69949,5566970,268717221,286511104,3600031918415,7.317678
14,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,3,0,0,3600000000000,42,4096,64,134217728,stack,280392000,0,0,0,0,0,0,3264,7.317787
14,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,3,0,0,3600000000000,42,4096,64,134217728,ctx,280392000,0,0,0,0,0,0,624,7.317837
14,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,3,0,0,3600000000000,42,4096,64,134217728,heap,280392000,0,0,0,0,0,0,784,7.317891
14,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,3,0,0,3600000000000,42,4096,64,134217728,usage,280392000,0,0,0,0,0,0,24576,7.317934
16,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,256,3,0,0,3600000000000,42,16384,64,134217728,write,278110528,3307648,1161701,69552,3307648,280255015,284884992,3600032771045,7.354732
16,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,256,3,0,0,3600000000000,42,16384,64,134217728,stack,278110528,0,0,0,0,0,0,3264,7.354931
16,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,256,3,0,0,3600000000000,42,16384,64,134217728,ctx,278110528,0,0,0,0,0,0,624,7.354991
16,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,256,3,0,0,3600000000000,42,16384,64,134217728,heap,278110528,0,0,0,0,0,0,784,7.355056
16,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,256,3,0,0,3600000000000,42,16384,64,134217728,usage,278110528,0,0,0,0,0,0,32768,7.355114
15,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,128,3,0,0,3600000000000,42,8192,64,134217728,write,279155008,3895641,1147132,69682,3895641,276444125,285417472,3600004244303,7.374886
15,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,128,3,0,0,3600000000000,42,8192,64,134217728,stack,279155008,0,0,0,0,0,0,3264,7.375016
15,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,128,3,0,0,3600000000000,42,8192,64,134217728,ctx,279155008,0,0,0,0,0,0,624,7.375069
15,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,128,3,0,0,3600000000000,42,8192,64,134217728,heap,279155008,0,0,0,0,0,0,784,7.375115
15,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,128,3,0,0,3600000000000,42,8192,64,134217728,usage,279155008,0,0,0,0,0,0,28672,7.375158
17,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,512,3,0,0,3600000000000,42,32768,64,134217728,write,277301568,3401832,1168044,69494,3401832,282198384,284647424,3600001552272,7.394207
17,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,512,3,0,0,3600000000000,42,32768,64,134217728,stack,277301568,0,0,0,0,0,0,3264,7.394322
17,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,512,3,0,0,3600000000000,42,32768,64,134217728,ctx,277301568,0,0,0,0,0,0,624,7.394376
17,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,512,3,0,0,3600000000000,42,32768,64,134217728,heap,277301568,0,0,0,0,0,0,784,7.394433
17,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,512,3,0,0,3600000000000,42,32768,64,134217728,usage,277301568,0,0,0,0,0,0,40960,7.394476
19,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,2048,3,0,0,3600000000000,42,131072,64,134217728,write,271510592,11264061,1155476,69600,11264061,279299646,285081600,3600002014242,7.470595
19,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,2048,3,0,0,3600000000000,42,131072,64,134217728,stack,271510592,0,0,0,0,0,0,3264,7.470692
19,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,2048,3,0,0,3600000000000,42,131072,64,134217728,ctx,271510592,0,0,0,0,0,0,624,7.470740
19,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,2048,3,0,0,3600000000000,42,131072,64,134217728,heap,271510592,0,0,0,0,0,0,784,7.470782
19,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,2048,3,0,0,3600000000000,42,131072,64,134217728,usage,271510592,0,0,0,0,0,0,81920,7.470822
18,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,1024,3,0,0,3600000000000,42,65536,64,134217728,write,275882304,7036709,1171300,69462,7036709,283203537,284516352,3600028905035,7.589154
18,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,1024,3,0,0,3600000000000,42,65536,64,134217728,stack,275882304,0,0,0,0,0,0,3264,7.589338
18,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,1024,3,0,0,3600000000000,42,65536,64,134217728,ctx,275882304,0,0,0,0,0,0,624,7.589386
18,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,1024,3,0,0,3600000000000,42,65536,64,134217728,heap,275882304,0,0,0,0,0,0,784,7.589427
18,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,1024,3,0,0,3600000000000,42,65536,64,134217728,usage,275882304,0,0,0,0,0,0,65536,7.589468
20,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,4096,3,0,0,3600000000000,42,262144,64,134217728,write,268919104,25176488,1158991,69557,25176488,278455247,284905472,3600013975453,7.648502
20,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,4096,3,0,0,3600000000000,42,262144,64,134217728,stack,268919104,0,0,0,0,0,0,3264,7.648595
20,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,4096,3,0,0,3600000000000,42,262144,64,134217728,ctx,268919104,0,0,0,0,0,0,624,7.648640
20,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,4096,3,0,0,3600000000000,42,262144,64,134217728,heap,268919104,0,0,0,0,0,0,784,7.648678
20,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,4096,3,0,0,3600000000000,42,262144,64,134217728,usage,268919104,0,0,0,0,0,0,249856,7.648716
21,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,8192,3,0,0,3600000000000,42,524288,64,134217728,write,263968832,54242035,1182424,69323,54242035,277383154,283947008,3600002741486,7.700520
21,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,8192,3,0,0,3600000000000,42,524288,64,134217728,stack,263968832,0,0,0,0,0,0,3264,7.700610
21,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,8192,3,0,0,3600000000000,42,524288,64,134217728,ctx,263968832,0,0,0,0,0,0,624,7.700654
21,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,8192,3,0,0,3600000000000,42,524288,64,134217728,heap,263968832,0,0,0,0,0,0,784,7.700694
21,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,8192,3,0,0,3600000000000,42,524288,64,134217728,usage,263968832,0,0,0,0,0,0,282624,7.700731
22,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,16384,3,0,0,3600000000000,42,1048576,64,134217728,write,260948288,72272496,1193144,69214,72272496,276919182,283500544,3600099663114,7.828620
22,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,16384,3,0,0,3600000000000,42,1048576,64,134217728,stack,260948288,0,0,0,0,0,0,3264,7.828712
22,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,16384,3,0,0,3600000000000,42,1048576,64,134217728,ctx,260948288,0,0,0,0,0,0,624,7.828757
22,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,16384,3,0,0,3600000000000,42,1048576,64,134217728,heap,260948288,0,0,0,0,0,0,784,7.828795
22,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,16384,3,0,0,3600000000000,42,1048576,64,134217728,usage,260948288,0,0,0,0,0,0,954368,7.828833
23,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,32768,3,0,0,3600000000000,42,2097152,64,134217728,write,258715968,86387406,1200116,69140,86387406,276470753,283197440,3600115531235,8.138811
23,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,32768,3,0,0,3600000000000,42,2097152,64,134217728,stack,258715968,0,0,0,0,0,0,3312,8.138909
23,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,32768,3,0,0,3600000000000,42,2097152,64,134217728,ctx,258715968,0,0,0,0,0,0,624,8.138949
23,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,32768,3,0,0,3600000000000,42,2097152,64,134217728,heap,258715968,0,0,0,0,0,0,784,8.138980
23,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,32768,3,0,0,3600000000000,42,2097152,64,134217728,usage,258715968,0,0,0,0,0,0,823296,8.139009
24,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,65536,3,0,0,3600000000000,42,4194304,64,134217728,write,258265408,90008376,1202719,69112,90008376,276344410,283082752,3600039540334,6.185959
24,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,65536,3,0,0,3600000000000,42,4194304,64,134217728,stack,258265408,0,0,0,0,0,0,3264,6.186054
24,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,65536,3,0,0,3600000000000,42,4194304,64,134217728,ctx,258265408,0,0,0,0,0,0,624,6.186096
24,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,65536,3,0,0,3600000000000,42,4194304,64,134217728,heap,258265408,0,0,0,0,0,0,784,6.186132
24,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,65536,3,0,0,3600000000000,42,4194304,64,134217728,usage,258265408,0,0,0,0,0,0,2523136,6.186167
25,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,131072,3,0,0,3600000000000,42,8388608,64,134217728,write,253567296,115374958,1221702,68921,115374958,275539060,282300416,3600039788492,5.816638
25,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,131072,3,0,0,3600000000000,42,8388608,64,134217728,stack,253567296,0,0,0,0,0,0,3264,5.816716
25,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,131072,3,0,0,3600000000000,42,8388608,64,134217728,ctx,253567296,0,0,0,0,0,0,624,5.816759
25,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,131072,3,0,0,3600000000000,42,8388608,64,134217728,heap,253567296,0,0,0,0,0,0,784,5.816792
25,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,131072,3,0,0,3600000000000,42,8388608,64,134217728,usage,253567296,0,0,0,0,0,0,2035712,5.816825
26,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,262144,3,0,0,3600000000000,42,16777216,64,134217728,write,247013696,144253122,1251506,68631,144253122,274239552,281112576,3600046029072,4.988861
26,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,262144,3,0,0,3600000000000,42,16777216,64,134217728,stack,247013696,0,0,0,0,0,0,3264,4.988936
26,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,262144,3,0,0,3600000000000,42,16777216,64,134217728,ctx,247013696,0,0,0,0,0,0,624,4.988969
26,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,262144,3,0,0,3600000000000,42,16777216,64,134217728,heap,247013696,0,0,0,0,0,0,784,4.988997
26,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,262144,3,0,0,3600000000000,42,16777216,64,134217728,usage,247013696,0,0,0,0,0,0,12607488,4.989021
27,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,524288,3,0,0,3600000000000,42,33554432,64,134217728,write,239378752,181903676,1280161,68343,181903676,272900144,279932928,3600032657392,5.077080
27,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,524288,3,0,0,3600000000000,42,33554432,64,134217728,stack,239378752,0,0,0,0,0,0,3312,5.077147
27,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,524288,3,0,0,3600000000000,42,33554432,64,134217728,ctx,239378752,0,0,0,0,0,0,624,5.077179
27,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,524288,3,0,0,3600000000000,42,33554432,64,134217728,heap,239378752,0,0,0,0,0,0,784,5.077204
27,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,524288,3,0,0,3600000000000,42,33554432,64,134217728,usage,239378752,0,0,0,0,0,0,4780032,5.077226
28,bench_p26_wt,bench_p26_wt_random,0,64,0,0,16,3,0,0,3600000000000,42,1024,64,134217728,write,12744448,108020768,850642,72304,108020768,94833936,296157184,3600071181104,6.446048
28,bench_p26_wt,bench_p26_wt_random,0,64,0,0,16,3,0,0,3600000000000,42,1024,64,134217728,stack,12744448,0,0,0,0,0,0,3248,6.446180
