i,suite,case,SIM_SIZE,NO_FRUNCATE,FILE_COUNT,FS,SIM_TIME,SKIP_WARMUP,SIZE,CHUNK,FILE_SIZE,DISK_SIZE,DISK_GEOMETRY,SEED,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
15,bench_p26_wt,bench_p26_wt_linear,0,0,128,4,3600000000000,0,8192,64,64,134217728,1,42,write,502452800,20428824,11109511,7970,10443363356,5688069632,1044643840,3600003643412,36.556062
15,bench_p26_wt,bench_p26_wt_linear,0,0,128,4,3600000000000,0,8192,64,64,134217728,1,42,stack,502452800,0,0,0,0,0,0,1296,36.556325
15,bench_p26_wt,bench_p26_wt_linear,0,0,128,4,3600000000000,0,8192,64,64,134217728,1,42,ctx,502452800,0,0,0,0,0,0,336,36.556386
15,bench_p26_wt,bench_p26_wt_linear,0,0,128,4,3600000000000,0,8192,64,64,134217728,1,42,heap,502452800,0,0,0,0,0,0,2696,36.556438
15,bench_p26_wt,bench_p26_wt_linear,0,0,128,4,3600000000000,0,8192,64,64,134217728,1,42,usage,502452800,0,0,0,0,0,0,3649994,36.556509
17,bench_p26_wt,bench_p26_wt_linear,0,0,512,4,3600000000000,0,32768,64,64,134217728,1,42,write,509673536,20399875,11113524,7962,10428557724,5690124288,1043595264,3600036867732,46.898655
17,bench_p26_wt,bench_p26_wt_linear,0,0,512,4,3600000000000,0,32768,64,64,134217728,1,42,stack,509673536,0,0,0,0,0,0,1296,46.898781
17,bench_p26_wt,bench_p26_wt_linear,0,0,512,4,3600000000000,0,32768,64,64,134217728,1,42,ctx,509673536,0,0,0,0,0,0,336,46.898841
17,bench_p26_wt,bench_p26_wt_linear,0,0,512,4,3600000000000,0,32768,64,64,134217728,1,42,heap,509673536,0,0,0,0,0,0,2696,46.898891
17,bench_p26_wt,bench_p26_wt_linear,0,0,512,4,3600000000000,0,32768,64,64,134217728,1,42,usage,509673536,0,0,0,0,0,0,3645467,46.898938
18,bench_p26_wt,bench_p26_wt_linear,0,0,1024,4,3600000000000,0,65536,64,64,134217728,1,42,write,435224640,31488923,9656231,6852,16108405820,4943990272,898105344,3600006130292,46.950001
18,bench_p26_wt,bench_p26_wt_linear,0,0,1024,4,3600000000000,0,65536,64,64,134217728,1,42,stack,435224640,0,0,0,0,0,0,1296,46.950129
18,bench_p26_wt,bench_p26_wt_linear,0,0,1024,4,3600000000000,0,65536,64,64,134217728,1,42,ctx,435224640,0,0,0,0,0,0,336,46.950188
18,bench_p26_wt,bench_p26_wt_linear,0,0,1024,4,3600000000000,0,65536,64,64,134217728,1,42,heap,435224640,0,0,0,0,0,0,2696,46.950255
18,bench_p26_wt,bench_p26_wt_linear,0,0,1024,4,3600000000000,0,65536,64,64,134217728,1,42,usage,435224640,0,0,0,0,0,0,3645467,46.950307
13,bench_p26_wt,bench_p26_wt_linear,0,0,32,4,3600000000000,0,2048,64,64,134217728,1,42,write,463329344,20547077,11093539,8018,10503811356,5679891968,1050935296,3600006637332,51.530305
13,bench_p26_wt,bench_p26_wt_linear,0,0,32,4,3600000000000,0,2048,64,64,134217728,1,42,stack,463329344,0,0,0,0,0,0,1296,51.530435
13,bench_p26_wt,bench_p26_wt_linear,0,0,32,4,3600000000000,0,2048,64,64,134217728,1,42,ctx,463329344,0,0,0,0,0,0,336,51.530497
13,bench_p26_wt,bench_p26_wt_linear,0,0,32,4,3600000000000,0,2048,64,64,134217728,1,42,heap,463329344,0,0,0,0,0,0,2696,51.530560
13,bench_p26_wt,bench_p26_wt_linear,0,0,32,4,3600000000000,0,2048,64,64,134217728,1,42,usage,463329344,0,0,0,0,0,0,3645467,51.530610
