i,suite,case,FS,SEED,SIM_SIZE,FILE_COUNT,SIZE,NO_FRUNCATE,SIM_TIME,CHUNK,DISK_GEOMETRY,FILE_SIZE,SKIP_WARMUP,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
21,bench_p26_wt,bench_p26_wt_linear,4,42,0,8192,524288,0,3600000000000,64,0,64,0,134217728,write,14527040,74014140416,708578,7894,74014140416,45633183,32333824,3600173935565,160.419118
21,bench_p26_wt,bench_p26_wt_linear,4,42,0,8192,524288,0,3600000000000,64,0,64,0,134217728,stack,14527040,0,0,0,0,0,0,1296,160.419358
21,bench_p26_wt,bench_p26_wt_linear,4,42,0,8192,524288,0,3600000000000,64,0,64,0,134217728,ctx,14527040,0,0,0,0,0,0,336,160.419416
21,bench_p26_wt,bench_p26_wt_linear,4,42,0,8192,524288,0,3600000000000,64,0,64,0,134217728,heap,14527040,0,0,0,0,0,0,1160,160.419465
21,bench_p26_wt,bench_p26_wt_linear,4,42,0,8192,524288,0,3600000000000,64,0,64,0,134217728,usage,14527040,0,0,0,0,0,0,13197114,160.419510
19,bench_p26_wt,bench_p26_wt_linear,4,42,0,2048,131072,0,3600000000000,64,0,64,0,134217728,write,14583616,73983579904,709332,7917,73983579904,44727008,32428032,3600270963360,167.802412
19,bench_p26_wt,bench_p26_wt_linear,4,42,0,2048,131072,0,3600000000000,64,0,64,0,134217728,stack,14583616,0,0,0,0,0,0,1296,167.802539
19,bench_p26_wt,bench_p26_wt_linear,4,42,0,2048,131072,0,3600000000000,64,0,64,0,134217728,ctx,14583616,0,0,0,0,0,0,336,167.802603
19,bench_p26_wt,bench_p26_wt_linear,4,42,0,2048,131072,0,3600000000000,64,0,64,0,134217728,heap,14583616,0,0,0,0,0,0,1160,167.802667
19,bench_p26_wt,bench_p26_wt_linear,4,42,0,2048,131072,0,3600000000000,64,0,64,0,134217728,usage,14583616,0,0,0,0,0,0,12855019,167.802717
14,bench_p26_wt,bench_p26_wt_linear,4,42,0,64,4096,0,3600000000000,64,0,64,0,134217728,write,16172608,72975338496,723337,8689,72975338496,35230824,35590144,3600103634616,168.142545
14,bench_p26_wt,bench_p26_wt_linear,4,42,0,64,4096,0,3600000000000,64,0,64,0,134217728,stack,16172608,0,0,0,0,0,0,1296,168.142664
14,bench_p26_wt,bench_p26_wt_linear,4,42,0,64,4096,0,3600000000000,64,0,64,0,134217728,ctx,16172608,0,0,0,0,0,0,336,168.142727
14,bench_p26_wt,bench_p26_wt_linear,4,42,0,64,4096,0,3600000000000,64,0,64,0,134217728,heap,16172608,0,0,0,0,0,0,1160,168.142777
14,bench_p26_wt,bench_p26_wt_linear,4,42,0,64,4096,0,3600000000000,64,0,64,0,134217728,usage,16172608,0,0,0,0,0,0,12821427,168.142823
13,bench_p26_wt,bench_p26_wt_linear,4,42,0,32,2048,0,3600000000000,64,0,64,0,134217728,write,15700544,72992430336,721653,8691,72992430336,35253824,35598336,3600203926976,168.651921
13,bench_p26_wt,bench_p26_wt_linear,4,42,0,32,2048,0,3600000000000,64,0,64,0,134217728,stack,15700544,0,0,0,0,0,0,1296,168.652040
13,bench_p26_wt,bench_p26_wt_linear,4,42,0,32,2048,0,3600000000000,64,0,64,0,134217728,ctx,15700544,0,0,0,0,0,0,336,168.652102
13,bench_p26_wt,bench_p26_wt_linear,4,42,0,32,2048,0,3600000000000,64,0,64,0,134217728,heap,15700544,0,0,0,0,0,0,1160,168.652153
13,bench_p26_wt,bench_p26_wt_linear,4,42,0,32,2048,0,3600000000000,64,0,64,0,134217728,usage,15700544,0,0,0,0,0,0,12820439,168.652200
20,bench_p26_wt,bench_p26_wt_linear,4,42,0,4096,262144,0,3600000000000,64,0,64,0,134217728,write,14488128,74036448512,707979,7876,74036448512,45170380,32260096,3600007813668,168.981679
20,bench_p26_wt,bench_p26_wt_linear,4,42,0,4096,262144,0,3600000000000,64,0,64,0,134217728,stack,14488128,0,0,0,0,0,0,1296,168.981802
20,bench_p26_wt,bench_p26_wt_linear,4,42,0,4096,262144,0,3600000000000,64,0,64,0,134217728,ctx,14488128,0,0,0,0,0,0,336,168.981867
20,bench_p26_wt,bench_p26_wt_linear,4,42,0,4096,262144,0,3600000000000,64,0,64,0,134217728,heap,14488128,0,0,0,0,0,0,1160,168.981917
20,bench_p26_wt,bench_p26_wt_linear,4,42,0,4096,262144,0,3600000000000,64,0,64,0,134217728,usage,14488128,0,0,0,0,0,0,12891081,168.981964
18,bench_p26_wt,bench_p26_wt_linear,4,42,0,1024,65536,0,3600000000000,64,0,64,0,134217728,write,14581056,74029368832,704240,7923,74029368832,43328723,32452608,3600308493225,169.159955
18,bench_p26_wt,bench_p26_wt_linear,4,42,0,1024,65536,0,3600000000000,64,0,64,0,134217728,stack,14581056,0,0,0,0,0,0,1296,169.160072
18,bench_p26_wt,bench_p26_wt_linear,4,42,0,1024,65536,0,3600000000000,64,0,64,0,134217728,ctx,14581056,0,0,0,0,0,0,336,169.160148
18,bench_p26_wt,bench_p26_wt_linear,4,42,0,1024,65536,0,3600000000000,64,0,64,0,134217728,heap,14581056,0,0,0,0,0,0,1160,169.160199
18,bench_p26_wt,bench_p26_wt_linear,4,42,0,1024,65536,0,3600000000000,64,0,64,0,134217728,usage,14581056,0,0,0,0,0,0,12852302,169.160244
15,bench_p26_wt,bench_p26_wt_linear,4,42,0,128,8192,0,3600000000000,64,0,64,0,134217728,write,16172608,72974934272,723337,8689,72974934272,34725480,35590144,3600077864120,169.851458
