i,suite,case,SIM_TIME,CHUNK,NO_FRUNCATE,FS,SIZE,SKIP_WARMUP,FILE_SIZE,SEED,DISK_SIZE,DISK_GEOMETRY,FILE_COUNT,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,1024,0,64,42,134217728,1,16,0,write,3252456512,3176295,13062146,51024,1626263040,6687818752,6687817728,3600000996864,46.958078
12,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,1024,0,64,42,134217728,1,16,0,stack,3252456512,0,0,0,0,0,0,8704,46.958332
12,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,1024,0,64,42,134217728,1,16,0,ctx,3252456512,0,0,0,0,0,0,7168,46.958394
12,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,1024,0,64,42,134217728,1,16,0,heap,3252456512,0,0,0,0,0,0,78788,46.958450
12,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,1024,0,64,42,134217728,1,16,0,usage,3252456512,0,0,0,0,0,0,7638032,46.958501
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,2048,0,64,42,134217728,1,32,0,write,4380805184,2139133,13195268,51544,1095236096,6755977216,6755975168,3600000894464,59.380069
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,2048,0,64,42,134217728,1,32,0,stack,4380805184,0,0,0,0,0,0,8704,59.380231
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,2048,0,64,42,134217728,1,32,0,ctx,4380805184,0,0,0,0,0,0,7168,59.380293
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,2048,0,64,42,134217728,1,32,0,heap,4380805184,0,0,0,0,0,0,78788,59.380345
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,2048,0,64,42,134217728,1,32,0,usage,4380805184,0,0,0,0,0,0,7638032,59.380402
14,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,4096,0,64,42,134217728,1,64,0,write,5300178368,1294057,13303734,51968,662557184,6811511808,6811549696,3600001063424,68.257956
14,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,4096,0,64,42,134217728,1,64,0,stack,5300178368,0,0,0,0,0,0,8704,68.258114
14,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,4096,0,64,42,134217728,1,64,0,ctx,5300178368,0,0,0,0,0,0,7168,68.258186
14,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,4096,0,64,42,134217728,1,64,0,heap,5300178368,0,0,0,0,0,0,78788,68.258270
14,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,4096,0,64,42,134217728,1,64,0,usage,5300178368,0,0,0,0,0,0,7641504,68.258328
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,8192,0,64,42,134217728,1,128,0,write,5921539584,722913,13377044,52254,370131456,6849046528,6849036288,3600000941568,75.829950
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,8192,0,64,42,134217728,1,128,0,stack,5921539584,0,0,0,0,0,0,8704,75.830090
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,8192,0,64,42,134217728,1,128,0,ctx,5921539584,0,0,0,0,0,0,7168,75.830156
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,8192,0,64,42,134217728,1,128,0,heap,5921539584,0,0,0,0,0,0,78788,75.830211
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,8192,0,64,42,134217728,1,128,0,usage,5921539584,0,0,0,0,0,0,7639520,75.830276
16,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,16384,0,64,42,134217728,1,256,0,write,6111167488,373065,13421943,52430,191009280,6872034816,6872104960,3600000847872,77.080696
16,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,16384,0,64,42,134217728,1,256,0,stack,6111167488,0,0,0,0,0,0,8704,77.080825
16,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,16384,0,64,42,134217728,1,256,0,ctx,6111167488,0,0,0,0,0,0,7168,77.080883
16,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,16384,0,64,42,134217728,1,256,0,heap,6111167488,0,0,0,0,0,0,78788,77.080934
16,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,16384,0,64,42,134217728,1,256,0,usage,6111167488,0,0,0,0,0,0,7639024,77.080996
17,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,32768,0,64,42,134217728,1,512,0,write,6301781952,192384,13445139,52520,98500608,6883911168,6883901440,3600001024512,79.415217
17,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,32768,0,64,42,134217728,1,512,0,stack,6301781952,0,0,0,0,0,0,8704,79.415367
17,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,32768,0,64,42,134217728,1,512,0,ctx,6301781952,0,0,0,0,0,0,7168,79.415448
17,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,32768,0,64,42,134217728,1,512,0,heap,6301781952,0,0,0,0,0,0,78788,79.415501
17,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,32768,0,64,42,134217728,1,512,0,usage,6301781952,0,0,0,0,0,0,7642000,79.415550
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,65536,0,64,42,134217728,1,1024,0,write,6401612544,97750,13457281,52568,50048000,6890127872,6890192896,3600000940544,80.719743
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,65536,0,64,42,134217728,1,1024,0,stack,6401612544,0,0,0,0,0,0,8704,80.719862
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,65536,0,64,42,134217728,1,1024,0,ctx,6401612544,0,0,0,0,0,0,7168,80.719928
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,65536,0,64,42,134217728,1,1024,0,heap,6401612544,0,0,0,0,0,0,78788,80.719990
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,65536,0,64,42,134217728,1,1024,0,usage,6401612544,0,0,0,0,0,0,7694080,80.720048
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,131072,0,64,42,134217728,1,2048,0,write,6452727168,49300,13463502,52592,25241600,6893313024,6893338624,3600000969728,81.182161
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,131072,0,64,42,134217728,1,2048,0,stack,6452727168,0,0,0,0,0,0,8704,81.182283
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,131072,0,64,42,134217728,1,2048,0,ctx,6452727168,0,0,0,0,0,0,7168,81.182349
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,131072,0,64,42,134217728,1,2048,0,heap,6452727168,0,0,0,0,0,0,78788,81.182410
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,131072,0,64,42,134217728,1,2048,0,usage,6452727168,0,0,0,0,0,0,7690608,81.182507
23,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,2097152,0,64,42,134217728,1,32768,0,write,6495245824,3166,13469424,52615,1620992,6896345088,6896353280,3600000865280,81.218132
23,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,2097152,0,64,42,134217728,1,32768,0,stack,6495245824,0,0,0,0,0,0,8704,81.218251
23,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,2097152,0,64,42,134217728,1,32768,0,ctx,6495245824,0,0,0,0,0,0,7168,81.218306
23,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,2097152,0,64,42,134217728,1,32768,0,heap,6495245824,0,0,0,0,0,0,96260,81.218353
23,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,2097152,0,64,42,134217728,1,32768,0,usage,6495245824,0,0,0,0,0,0,8004080,81.218398
21,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,524288,0,64,42,134217728,1,8192,0,write,6485467392,12440,13468229,52611,6369280,6895733248,6895828992,3600000933376,81.272197
21,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,524288,0,64,42,134217728,1,8192,0,stack,6485467392,0,0,0,0,0,0,8704,81.272304
21,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,524288,0,64,42,134217728,1,8192,0,ctx,6485467392,0,0,0,0,0,0,7168,81.272357
21,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,524288,0,64,42,134217728,1,8192,0,heap,6485467392,0,0,0,0,0,0,78788,81.272404
