i,suite,case,SIM_SIZE,SKIP_WARMUP,SIZE,FILE_COUNT,NO_FRUNCATE,FILE_SIZE,CHUNK,SEED,FS,DISK_SIZE,DISK_GEOMETRY,SIM_TIME,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
17,bench_p26_wt,bench_p26_wt_linear,0,0,32768,512,0,64,64,42,5,134217728,0,3600000000000,write,235888384,3687424,1118900,69930,3687424,286438400,286433280,3600049059840,3.903355
17,bench_p26_wt,bench_p26_wt_linear,0,0,32768,512,0,64,64,42,5,134217728,0,3600000000000,stack,235888384,0,0,0,0,0,0,8704,3.903608
17,bench_p26_wt,bench_p26_wt_linear,0,0,32768,512,0,64,64,42,5,134217728,0,3600000000000,ctx,235888384,0,0,0,0,0,0,7168,3.903670
17,bench_p26_wt,bench_p26_wt_linear,0,0,32768,512,0,64,64,42,5,134217728,0,3600000000000,heap,235888384,0,0,0,0,0,0,587828,3.903725
17,bench_p26_wt,bench_p26_wt_linear,0,0,32768,512,0,64,64,42,5,134217728,0,3600000000000,usage,235888384,0,0,0,0,0,0,17120560,3.903775
18,bench_p26_wt,bench_p26_wt_linear,0,0,65536,1024,0,64,64,42,5,134217728,0,3600000000000,write,239406528,1872384,1118890,69931,1872384,286435840,286437376,3600017406976,4.084922
18,bench_p26_wt,bench_p26_wt_linear,0,0,65536,1024,0,64,64,42,5,134217728,0,3600000000000,stack,239406528,0,0,0,0,0,0,8704,4.085062
18,bench_p26_wt,bench_p26_wt_linear,0,0,65536,1024,0,64,64,42,5,134217728,0,3600000000000,ctx,239406528,0,0,0,0,0,0,7168,4.085174
18,bench_p26_wt,bench_p26_wt_linear,0,0,65536,1024,0,64,64,42,5,134217728,0,3600000000000,heap,239406528,0,0,0,0,0,0,587828,4.085249
18,bench_p26_wt,bench_p26_wt_linear,0,0,65536,1024,0,64,64,42,5,134217728,0,3600000000000,usage,239406528,0,0,0,0,0,0,17098736,4.085321
19,bench_p26_wt,bench_p26_wt_linear,0,0,131072,2048,0,64,64,42,5,134217728,0,3600000000000,write,241219136,944128,1118948,69932,944128,286450688,286441472,3600048764928,4.089087
19,bench_p26_wt,bench_p26_wt_linear,0,0,131072,2048,0,64,64,42,5,134217728,0,3600000000000,stack,241219136,0,0,0,0,0,0,8704,4.089668
19,bench_p26_wt,bench_p26_wt_linear,0,0,131072,2048,0,64,64,42,5,134217728,0,3600000000000,ctx,241219136,0,0,0,0,0,0,7168,4.089730
19,bench_p26_wt,bench_p26_wt_linear,0,0,131072,2048,0,64,64,42,5,134217728,0,3600000000000,heap,241219136,0,0,0,0,0,0,587828,4.089782
19,bench_p26_wt,bench_p26_wt_linear,0,0,131072,2048,0,64,64,42,5,134217728,0,3600000000000,usage,241219136,0,0,0,0,0,0,17143376,4.089833
12,bench_p26_wt,bench_p26_wt_linear,0,0,1024,16,0,64,64,42,5,134217728,0,3600000000000,write,125230144,62617088,1118138,69884,62617088,286243328,286244864,3600027704320,4.059818
12,bench_p26_wt,bench_p26_wt_linear,0,0,1024,16,0,64,64,42,5,134217728,0,3600000000000,stack,125230144,0,0,0,0,0,0,8704,4.059954
12,bench_p26_wt,bench_p26_wt_linear,0,0,1024,16,0,64,64,42,5,134217728,0,3600000000000,ctx,125230144,0,0,0,0,0,0,7168,4.060023
12,bench_p26_wt,bench_p26_wt_linear,0,0,1024,16,0,64,64,42,5,134217728,0,3600000000000,heap,125230144,0,0,0,0,0,0,587828,4.060078
12,bench_p26_wt,bench_p26_wt_linear,0,0,1024,16,0,64,64,42,5,134217728,0,3600000000000,usage,125230144,0,0,0,0,0,0,17095264,4.060129
14,bench_p26_wt,bench_p26_wt_linear,0,0,4096,64,0,64,64,42,5,134217728,0,3600000000000,write,200451584,25058304,1118602,69913,25058304,286362112,286363648,3600018230272,4.764718
14,bench_p26_wt,bench_p26_wt_linear,0,0,4096,64,0,64,64,42,5,134217728,0,3600000000000,stack,200451584,0,0,0,0,0,0,8704,4.764853
14,bench_p26_wt,bench_p26_wt_linear,0,0,4096,64,0,64,64,42,5,134217728,0,3600000000000,ctx,200451584,0,0,0,0,0,0,7168,4.764920
14,bench_p26_wt,bench_p26_wt_linear,0,0,4096,64,0,64,64,42,5,134217728,0,3600000000000,heap,200451584,0,0,0,0,0,0,587828,4.764973
14,bench_p26_wt,bench_p26_wt_linear,0,0,4096,64,0,64,64,42,5,134217728,0,3600000000000,usage,200451584,0,0,0,0,0,0,17096752,4.765036
13,bench_p26_wt,bench_p26_wt_linear,0,0,2048,32,0,64,64,42,5,134217728,0,3600000000000,write,167012352,41754624,1118394,69900,41754624,286308864,286310400,3600016862208,4.689930
13,bench_p26_wt,bench_p26_wt_linear,0,0,2048,32,0,64,64,42,5,134217728,0,3600000000000,stack,167012352,0,0,0,0,0,0,8704,4.690117
13,bench_p26_wt,bench_p26_wt_linear,0,0,2048,32,0,64,64,42,5,134217728,0,3600000000000,ctx,167012352,0,0,0,0,0,0,7168,4.690218
13,bench_p26_wt,bench_p26_wt_linear,0,0,2048,32,0,64,64,42,5,134217728,0,3600000000000,heap,167012352,0,0,0,0,0,0,587828,4.690301
13,bench_p26_wt,bench_p26_wt_linear,0,0,2048,32,0,64,64,42,5,134217728,0,3600000000000,usage,167012352,0,0,0,0,0,0,17097248,4.690358
15,bench_p26_wt,bench_p26_wt_linear,0,0,8192,128,0,64,64,42,5,134217728,0,3600000000000,write,222752704,13923840,1118746,69922,13923840,286398976,286400512,3600036158464,4.889448
15,bench_p26_wt,bench_p26_wt_linear,0,0,8192,128,0,64,64,42,5,134217728,0,3600000000000,stack,222752704,0,0,0,0,0,0,8704,4.889601
15,bench_p26_wt,bench_p26_wt_linear,0,0,8192,128,0,64,64,42,5,134217728,0,3600000000000,ctx,222752704,0,0,0,0,0,0,7168,4.889676
15,bench_p26_wt,bench_p26_wt_linear,0,0,8192,128,0,64,64,42,5,134217728,0,3600000000000,heap,222752704,0,0,0,0,0,0,587828,4.889752
15,bench_p26_wt,bench_p26_wt_linear,0,0,8192,128,0,64,64,42,5,134217728,0,3600000000000,usage,222752704,0,0,0,0,0,0,17099232,4.889810
21,bench_p26_wt,bench_p26_wt_linear,0,0,524288,8192,0,64,64,42,5,134217728,0,3600000000000,write,242383808,238592,1119066,69931,238592,286480896,286437376,3600023333888,5.156691
21,bench_p26_wt,bench_p26_wt_linear,0,0,524288,8192,0,64,64,42,5,134217728,0,3600000000000,stack,242383808,0,0,0,0,0,0,8704,5.156827
21,bench_p26_wt,bench_p26_wt_linear,0,0,524288,8192,0,64,64,42,5,134217728,0,3600000000000,ctx,242383808,0,0,0,0,0,0,7168,5.156902
21,bench_p26_wt,bench_p26_wt_linear,0,0,524288,8192,0,64,64,42,5,134217728,0,3600000000000,heap,242383808,0,0,0,0,0,0,587828,5.156958
21,bench_p26_wt,bench_p26_wt_linear,0,0,524288,8192,0,64,64,42,5,134217728,0,3600000000000,usage,242383808,0,0,0,0,0,0,17263408,5.157011
16,bench_p26_wt,bench_p26_wt_linear,0,0,16384,256,0,64,64,42,5,134217728,0,3600000000000,write,229133248,7162368,1118826,69927,7162368,286419456,286420992,3600023092224,5.197098
16,bench_p26_wt,bench_p26_wt_linear,0,0,16384,256,0,64,64,42,5,134217728,0,3600000000000,stack,229133248,0,0,0,0,0,0,8704,5.197242
16,bench_p26_wt,bench_p26_wt_linear,0,0,16384,256,0,64,64,42,5,134217728,0,3600000000000,ctx,229133248,0,0,0,0,0,0,7168,5.197303
16,bench_p26_wt,bench_p26_wt_linear,0,0,16384,256,0,64,64,42,5,134217728,0,3600000000000,heap,229133248,0,0,0,0,0,0,587828,5.197355
16,bench_p26_wt,bench_p26_wt_linear,0,0,16384,256,0,64,64,42,5,134217728,0,3600000000000,usage,229133248,0,0,0,0,0,0,17098240,5.197404
20,bench_p26_wt,bench_p26_wt_linear,0,0,262144,4096,0,64,64,42,5,134217728,0,3600000000000,write,242162304,474624,1119098,69931,474624,286489088,286437376,3600045734912,5.239075
20,bench_p26_wt,bench_p26_wt_linear,0,0,262144,4096,0,64,64,42,5,134217728,0,3600000000000,stack,242162304,0,0,0,0,0,0,8704,5.239194
20,bench_p26_wt,bench_p26_wt_linear,0,0,262144,4096,0,64,64,42,5,134217728,0,3600000000000,ctx,242162304,0,0,0,0,0,0,7168,5.239250
20,bench_p26_wt,bench_p26_wt_linear,0,0,262144,4096,0,64,64,42,5,134217728,0,3600000000000,heap,242162304,0,0,0,0,0,0,587828,5.239302
20,bench_p26_wt,bench_p26_wt_linear,0,0,262144,4096,0,64,64,42,5,134217728,0,3600000000000,usage,242162304,0,0,0,0,0,0,17305072,5.239350
23,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,32768,0,64,64,42,5,134217728,0,3600000000000,write,243071680,60928,1120650,69917,60928,286886400,286380032,3600027753472,5.177397
23,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,32768,0,64,64,42,5,134217728,0,3600000000000,stack,243071680,0,0,0,0,0,0,8704,5.177489
23,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,32768,0,64,64,42,5,134217728,0,3600000000000,ctx,243071680,0,0,0,0,0,0,7168,5.177550
23,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,32768,0,64,64,42,5,134217728,0,3600000000000,heap,243071680,0,0,0,0,0,0,587828,5.177604
23,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,32768,0,64,64,42,5,134217728,0,3600000000000,usage,243071680,0,0,0,0,0,0,19075792,5.177656
22,bench_p26_wt,bench_p26_wt_linear,0,0,1048576,16384,0,64,64,42,5,134217728,0,3600000000000,write,242668480,120320,1119322,69929,120320,286546432,286429184,3600032283648,5.318023
