i,suite,case,N,DISK_SIZE,DISK_GEOMETRY,SIZE,DISK_SIM,SEED,FS,STEP,BLOCK_SIZE,BLOCK_COUNT,ORDER,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,1,2,1,0,2,32,0,50704,0.001468
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,2,4,2,0,4,64,0,101408,0.002005
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,1,2,1,0,2,32,0,50704,0.001147
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,3,6,3,0,6,100,0,158440,0.002074
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,2,4,2,0,4,64,0,101408,0.001271
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,4,8,4,0,8,140,0,221800,0.002225
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,1,2,1,0,2,32,0,50704,0.000960
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,3,6,3,0,6,100,0,158440,0.001408
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,5,10,5,0,10,180,0,285160,0.002355
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,2,4,2,0,4,64,0,101408,0.001091
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,4,8,4,0,8,140,0,221800,0.001593
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,6,12,6,0,12,224,0,354848,0.002514
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,3,6,3,0,6,100,0,158440,0.001256
