i,suite,case,SIM_TIME,NO_FRUNCATE,BLOCK_SIZE,CHUNK,SEED,SKIP_WARMUP,FS,SIM_SIZE,DISK_SIZE,FILE_COUNT,SIZE,DISK_SIM,DISK_GEOMETRY,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,32768,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,281673600,1113673,1100559,8731,281851406,281741900,286097408,3600055866328,3.387375
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,32768,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,281673600,0,0,0,0,0,0,1856,3.387577
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,32768,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,281673600,0,0,0,0,0,0,400,3.387630
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,32768,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,281673600,0,0,0,0,0,0,784,3.387677
15,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,32768,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,281673600,0,0,0,0,0,0,753664,3.387727
14,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,16384,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,283574080,1157592,1108255,17444,284239286,283712068,285802496,3600028284072,3.481067
14,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,16384,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,283574080,0,0,0,0,0,0,1856,3.481166
14,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,16384,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,283574080,0,0,0,0,0,0,400,3.481221
14,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,16384,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,283574080,0,0,0,0,0,0,784,3.481269
14,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,16384,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,283574080,0,0,0,0,0,0,507904,3.481315
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,524288,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,234430976,922678,915860,559,234543798,234434176,293076992,3600000452464,3.632440
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,524288,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,234430976,0,0,0,0,0,0,1536,3.632542
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,524288,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,234430976,0,0,0,0,0,0,400,3.632596
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,524288,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,234430976,0,0,0,0,0,0,784,3.632642
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,524288,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,234430976,0,0,0,0,0,0,3145728,3.632685
20,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,1048576,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,199229440,780075,778337,285,199262994,199230656,298844160,3606255359312,4.077574
20,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,1048576,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,199229440,0,0,0,0,0,0,1536,4.077679
20,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,1048576,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,199229440,0,0,0,0,0,0,400,4.086383
20,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,1048576,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,199229440,0,0,0,0,0,0,784,4.086443
20,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,1048576,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,199229440,0,0,0,0,0,0,5242880,4.086482
12,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,4096,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,284971520,1285718,1115347,69710,287042694,285527628,285532160,3600042725016,4.306578
12,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,4096,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,284971520,0,0,0,0,0,0,2000,4.306670
12,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,4096,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,284971520,0,0,0,0,0,0,400,4.306715
12,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,4096,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,284971520,0,0,0,0,0,0,784,4.306752
12,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,4096,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,284971520,0,0,0,0,0,0,1880064,4.306787
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,262144,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,257501440,1032621,1005990,1105,257908478,257508876,289669120,3600000333272,4.474694
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,262144,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,257501440,0,0,0,0,0,0,1536,4.474795
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,262144,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,257501440,0,0,0,0,0,0,400,4.474839
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,262144,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,257501440,0,0,0,0,0,0,784,4.474874
18,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,262144,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,257501440,0,0,0,0,0,0,2359296,4.474911
17,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,131072,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,270779392,1168983,1057864,2195,272406450,270795468,287703040,3600000285816,4.590337
17,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,131072,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,270779392,0,0,0,0,0,0,1536,4.590451
17,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,131072,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,270779392,0,0,0,0,0,0,400,4.590493
17,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,131072,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,270779392,0,0,0,0,0,0,784,4.590531
17,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,131072,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,270779392,0,0,0,0,0,0,524288,4.590566
16,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,65536,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,277938112,1091181,1085831,4374,278011736,277971580,286654464,3600057450504,4.698581
16,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,65536,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,277938112,0,0,0,0,0,0,1856,4.698643
16,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,65536,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,277938112,0,0,0,0,0,0,400,4.698678
16,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,65536,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,277938112,0,0,0,0,0,0,784,4.698708
16,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,65536,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,277938112,0,0,0,0,0,0,1310720,4.698734
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,8192,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,284529600,1166803,1112532,34868,285233406,284806976,285638656,3600000247088,4.808930
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,8192,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,284529600,0,0,0,0,0,0,2000,4.808985
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,8192,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,284529600,0,0,0,0,0,0,400,4.809010
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,8192,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,284529600,0,0,0,0,0,0,784,4.809030
13,bench_p26_wt,bench_p26_wt_linear,3600000000000,0,8192,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,284529600,0,0,0,0,0,0,1449984,4.809049
26,bench_p26_wt,bench_p26_wt_random,3600000000000,0,131072,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,16832,2281687,1086128,2190,555622197,277996741,287047680,3615521544622,15.365446
26,bench_p26_wt,bench_p26_wt_random,3600000000000,0,131072,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,16832,0,0,0,0,0,0,1520,15.365549
26,bench_p26_wt,bench_p26_wt_random,3600000000000,0,131072,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,16832,0,0,0,0,0,0,384,15.365602
26,bench_p26_wt,bench_p26_wt_random,3600000000000,0,131072,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,16832,0,0,0,0,0,0,784,15.365648
26,bench_p26_wt,bench_p26_wt_random,3600000000000,0,131072,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,16832,0,0,0,0,0,0,2359296,15.365691
23,bench_p26_wt,bench_p26_wt_random,3600000000000,0,16384,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,18176,2367302,1110742,17410,567625925,284323270,285245440,3606210853980,15.843010
23,bench_p26_wt,bench_p26_wt_random,3600000000000,0,16384,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,18176,0,0,0,0,0,0,1840,15.843107
23,bench_p26_wt,bench_p26_wt_random,3600000000000,0,16384,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,18176,0,0,0,0,0,0,384,15.843171
23,bench_p26_wt,bench_p26_wt_random,3600000000000,0,16384,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,18176,0,0,0,0,0,0,784,15.843218
