i,suite,case,NO_FRUNCATE,SIZE,SEED,BLOCK_SIZE,FILE_SIZE,SIM_TIME,SKIP_WARMUP,DISK_SIM,SIM_SIZE,FS,CHUNK,FILE_COUNT,DISK_SIZE,DISK_GEOMETRY,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
16,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,65536,64,3600000000000,0,1,0,30,64,32768,134217728,0,write,253014080,3349689,1197602,4369,57680868,285782896,286326784,3600001825216,4.777430
16,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,65536,64,3600000000000,0,1,0,30,64,32768,134217728,0,stack,253014080,0,0,0,0,0,0,3168,4.777699
16,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,65536,64,3600000000000,0,1,0,30,64,32768,134217728,0,ctx,253014080,0,0,0,0,0,0,528,4.777749
16,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,65536,64,3600000000000,0,1,0,30,64,32768,134217728,0,heap,253014080,0,0,0,0,0,0,784,4.777792
16,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,65536,64,3600000000000,0,1,0,30,64,32768,134217728,0,usage,253014080,0,0,0,0,0,0,1638400,4.777839
17,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,131072,64,3600000000000,0,1,0,30,64,32768,134217728,0,write,251928640,3056233,1197833,2185,55308551,285602689,286392320,3600341823558,4.767448
17,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,131072,64,3600000000000,0,1,0,30,64,32768,134217728,0,stack,251928640,0,0,0,0,0,0,3168,4.767522
17,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,131072,64,3600000000000,0,1,0,30,64,32768,134217728,0,ctx,251928640,0,0,0,0,0,0,528,4.767566
17,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,131072,64,3600000000000,0,1,0,30,64,32768,134217728,0,heap,251928640,0,0,0,0,0,0,784,4.767603
17,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,131072,64,3600000000000,0,1,0,30,64,32768,134217728,0,usage,251928640,0,0,0,0,0,0,917504,4.767637
14,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,16384,64,3600000000000,0,1,0,30,64,32768,134217728,0,write,255820864,6817640,1190350,17471,94614255,285514146,286244864,3600154025076,4.944340
14,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,16384,64,3600000000000,0,1,0,30,64,32768,134217728,0,stack,255820864,0,0,0,0,0,0,3168,4.944504
14,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,16384,64,3600000000000,0,1,0,30,64,32768,134217728,0,ctx,255820864,0,0,0,0,0,0,528,4.944551
14,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,16384,64,3600000000000,0,1,0,30,64,32768,134217728,0,heap,255820864,0,0,0,0,0,0,784,4.944593
14,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,16384,64,3600000000000,0,1,0,30,64,32768,134217728,0,usage,255820864,0,0,0,0,0,0,2162688,4.944632
18,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,262144,64,3600000000000,0,1,0,30,64,32768,134217728,0,write,250363968,3244621,1196076,1093,58849107,285706000,286523392,3602086840792,6.969349
18,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,262144,64,3600000000000,0,1,0,30,64,32768,134217728,0,stack,250363968,0,0,0,0,0,0,3168,6.969444
18,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,262144,64,3600000000000,0,1,0,30,64,32768,134217728,0,ctx,250363968,0,0,0,0,0,0,528,6.969492
18,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,262144,64,3600000000000,0,1,0,30,64,32768,134217728,0,heap,250363968,0,0,0,0,0,0,784,6.969533
18,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,262144,64,3600000000000,0,1,0,30,64,32768,134217728,0,usage,250363968,0,0,0,0,0,0,2097152,6.969573
19,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,524288,64,3600000000000,0,1,0,30,64,32768,134217728,0,write,250642496,3199518,1198374,547,58821368,286085285,286785536,3605565674086,6.978302
19,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,524288,64,3600000000000,0,1,0,30,64,32768,134217728,0,stack,250642496,0,0,0,0,0,0,3168,6.978372
19,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,524288,64,3600000000000,0,1,0,30,64,32768,134217728,0,ctx,250642496,0,0,0,0,0,0,528,6.978415
19,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,524288,64,3600000000000,0,1,0,30,64,32768,134217728,0,heap,250642496,0,0,0,0,0,0,784,6.978453
19,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,524288,64,3600000000000,0,1,0,30,64,32768,134217728,0,usage,250642496,0,0,0,0,0,0,2621440,6.978488
15,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,32768,64,3600000000000,0,1,0,30,64,32768,134217728,0,write,253560896,5071223,1192335,8740,75657274,285087919,286392320,3600341406338,7.164162
15,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,32768,64,3600000000000,0,1,0,30,64,32768,134217728,0,stack,253560896,0,0,0,0,0,0,3168,7.164244
15,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,32768,64,3600000000000,0,1,0,30,64,32768,134217728,0,ctx,253560896,0,0,0,0,0,0,528,7.164283
15,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,32768,64,3600000000000,0,1,0,30,64,32768,134217728,0,heap,253560896,0,0,0,0,0,0,784,7.164317
15,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,32768,64,3600000000000,0,1,0,30,64,32768,134217728,0,usage,253560896,0,0,0,0,0,0,2097152,7.164349
20,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,1048576,64,3600000000000,0,1,0,30,64,32768,134217728,0,write,250675264,3300887,1196768,274,57860296,286158185,287309824,3611402386974,7.162871
20,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,1048576,64,3600000000000,0,1,0,30,64,32768,134217728,0,stack,250675264,0,0,0,0,0,0,3168,7.162938
20,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,1048576,64,3600000000000,0,1,0,30,64,32768,134217728,0,ctx,250675264,0,0,0,0,0,0,528,7.162977
20,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,1048576,64,3600000000000,0,1,0,30,64,32768,134217728,0,heap,250675264,0,0,0,0,0,0,784,7.163015
20,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,1048576,64,3600000000000,0,1,0,30,64,32768,134217728,0,usage,250675264,0,0,0,0,0,0,4194304,7.163049
13,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,8192,64,3600000000000,0,1,0,30,64,32768,134217728,0,write,257155648,9695073,1212292,34964,136547870,283150935,286425088,3600072710738,7.578758
13,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,8192,64,3600000000000,0,1,0,30,64,32768,134217728,0,stack,257155648,0,0,0,0,0,0,3168,7.578830
13,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,8192,64,3600000000000,0,1,0,30,64,32768,134217728,0,ctx,257155648,0,0,0,0,0,0,528,7.578864
13,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,8192,64,3600000000000,0,1,0,30,64,32768,134217728,0,heap,257155648,0,0,0,0,0,0,784,7.578892
13,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,8192,64,3600000000000,0,1,0,30,64,32768,134217728,0,usage,257155648,0,0,0,0,0,0,1368064,7.578917
12,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,4096,64,3600000000000,0,1,0,30,64,32768,134217728,0,write,264646976,7207817,1175082,70067,95776352,280196631,286994432,3600022954274,7.582069
12,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,4096,64,3600000000000,0,1,0,30,64,32768,134217728,0,stack,264646976,0,0,0,0,0,0,3168,7.582119
12,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,4096,64,3600000000000,0,1,0,30,64,32768,134217728,0,ctx,264646976,0,0,0,0,0,0,528,7.582152
12,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,4096,64,3600000000000,0,1,0,30,64,32768,134217728,0,heap,264646976,0,0,0,0,0,0,784,7.582179
12,bench_p26_wt,bench_p26_wt_linear,0,2097152,42,4096,64,3600000000000,0,1,0,30,64,32768,134217728,0,usage,264646976,0,0,0,0,0,0,438272,7.582205
29,bench_p26_wt,bench_p26_wt_random,0,2097152,42,1048576,64,3600000000000,0,1,0,30,64,32768,134217728,0,write,921088,3093383,393832,300,114996209,97393302,314572800,3614572832924,4.889021
29,bench_p26_wt,bench_p26_wt_random,0,2097152,42,1048576,64,3600000000000,0,1,0,30,64,32768,134217728,0,stack,921088,0,0,0,0,0,0,3168,4.889129
29,bench_p26_wt,bench_p26_wt_random,0,2097152,42,1048576,64,3600000000000,0,1,0,30,64,32768,134217728,0,ctx,921088,0,0,0,0,0,0,512,4.889181
29,bench_p26_wt,bench_p26_wt_random,0,2097152,42,1048576,64,3600000000000,0,1,0,30,64,32768,134217728,0,heap,921088,0,0,0,0,0,0,784,4.889226
29,bench_p26_wt,bench_p26_wt_random,0,2097152,42,1048576,64,3600000000000,0,1,0,30,64,32768,134217728,0,usage,921088,0,0,0,0,0,0,11534336,4.889269
27,bench_p26_wt,bench_p26_wt_random,0,2097152,42,262144,64,3600000000000,0,1,0,30,64,32768,134217728,0,write,2361600,10253562,833767,1135,283212957,203892753,297533440,3602589225366,4.973335
27,bench_p26_wt,bench_p26_wt_random,0,2097152,42,262144,64,3600000000000,0,1,0,30,64,32768,134217728,0,stack,2361600,0,0,0,0,0,0,3152,4.973501
27,bench_p26_wt,bench_p26_wt_random,0,2097152,42,262144,64,3600000000000,0,1,0,30,64,32768,134217728,0,ctx,2361600,0,0,0,0,0,0,512,4.973567
27,bench_p26_wt,bench_p26_wt_random,0,2097152,42,262144,64,3600000000000,0,1,0,30,64,32768,134217728,0,heap,2361600,0,0,0,0,0,0,784,4.973612
27,bench_p26_wt,bench_p26_wt_random,0,2097152,42,262144,64,3600000000000,0,1,0,30,64,32768,134217728,0,usage,2361600,0,0,0,0,0,0,6553600,4.973654
28,bench_p26_wt,bench_p26_wt_random,0,2097152,42,524288,64,3600000000000,0,1,0,30,64,32768,134217728,0,write,1558080,5447234,629463,582,189281046,154875149,305135616,3604803604934,5.203738
28,bench_p26_wt,bench_p26_wt_random,0,2097152,42,524288,64,3600000000000,0,1,0,30,64,32768,134217728,0,stack,1558080,0,0,0,0,0,0,3152,5.203834
28,bench_p26_wt,bench_p26_wt_random,0,2097152,42,524288,64,3600000000000,0,1,0,30,64,32768,134217728,0,ctx,1558080,0,0,0,0,0,0,512,5.203884
28,bench_p26_wt,bench_p26_wt_random,0,2097152,42,524288,64,3600000000000,0,1,0,30,64,32768,134217728,0,heap,1558080,0,0,0,0,0,0,784,5.203927
28,bench_p26_wt,bench_p26_wt_random,0,2097152,42,524288,64,3600000000000,0,1,0,30,64,32768,134217728,0,usage,1558080,0,0,0,0,0,0,7864320,5.203968
24,bench_p26_wt,bench_p26_wt_random,0,2097152,42,32768,64,3600000000000,0,1,0,30,64,32768,134217728,0,write,5083456,26442909,1226498,8851,522542024,248667845,290029568,3600559045798,6.346077
24,bench_p26_wt,bench_p26_wt_random,0,2097152,42,32768,64,3600000000000,0,1,0,30,64,32768,134217728,0,stack,5083456,0,0,0,0,0,0,3152,6.346173
24,bench_p26_wt,bench_p26_wt_random,0,2097152,42,32768,64,3600000000000,0,1,0,30,64,32768,134217728,0,ctx,5083456,0,0,0,0,0,0,512,6.346223
24,bench_p26_wt,bench_p26_wt_random,0,2097152,42,32768,64,3600000000000,0,1,0,30,64,32768,134217728,0,heap,5083456,0,0,0,0,0,0,784,6.346268
24,bench_p26_wt,bench_p26_wt_random,0,2097152,42,32768,64,3600000000000,0,1,0,30,64,32768,134217728,0,usage,5083456,0,0,0,0,0,0,4751360,6.346318
26,bench_p26_wt,bench_p26_wt_random,0,2097152,42,131072,64,3600000000000,0,1,0,30,64,32768,134217728,0,write,3128768,17532375,1056622,2232,408665490,234216742,292552704,3600861511588,6.367988
26,bench_p26_wt,bench_p26_wt_random,0,2097152,42,131072,64,3600000000000,0,1,0,30,64,32768,134217728,0,stack,3128768,0,0,0,0,0,0,3152,6.368068
26,bench_p26_wt,bench_p26_wt_random,0,2097152,42,131072,64,3600000000000,0,1,0,30,64,32768,134217728,0,ctx,3128768,0,0,0,0,0,0,512,6.368116
26,bench_p26_wt,bench_p26_wt_random,0,2097152,42,131072,64,3600000000000,0,1,0,30,64,32768,134217728,0,heap,3128768,0,0,0,0,0,0,784,6.368157
26,bench_p26_wt,bench_p26_wt_random,0,2097152,42,131072,64,3600000000000,0,1,0,30,64,32768,134217728,0,usage,3128768,0,0,0,0,0,0,4718592,6.368197
25,bench_p26_wt,bench_p26_wt_random,0,2097152,42,65536,64,3600000000000,0,1,0,30,64,32768,134217728,0,write,4014592,22214154,1163679,4436,475276615,245772787,290717696,3601648221890,7.217763
25,bench_p26_wt,bench_p26_wt_random,0,2097152,42,65536,64,3600000000000,0,1,0,30,64,32768,134217728,0,stack,4014592,0,0,0,0,0,0,3104,7.217852
25,bench_p26_wt,bench_p26_wt_random,0,2097152,42,65536,64,3600000000000,0,1,0,30,64,32768,134217728,0,ctx,4014592,0,0,0,0,0,0,512,7.217897
25,bench_p26_wt,bench_p26_wt_random,0,2097152,42,65536,64,3600000000000,0,1,0,30,64,32768,134217728,0,heap,4014592,0,0,0,0,0,0,784,7.217936
25,bench_p26_wt,bench_p26_wt_random,0,2097152,42,65536,64,3600000000000,0,1,0,30,64,32768,134217728,0,usage,4014592,0,0,0,0,0,0,4390912,7.217974
23,bench_p26_wt,bench_p26_wt_random,0,2097152,42,16384,64,3600000000000,0,1,0,30,64,32768,134217728,0,write,6233792,35235187,1272499,17679,615271738,248883001,289652736,3600468734798,9.239890
23,bench_p26_wt,bench_p26_wt_random,0,2097152,42,16384,64,3600000000000,0,1,0,30,64,32768,134217728,0,stack,6233792,0,0,0,0,0,0,3152,9.239974
23,bench_p26_wt,bench_p26_wt_random,0,2097152,42,16384,64,3600000000000,0,1,0,30,64,32768,134217728,0,ctx,6233792,0,0,0,0,0,0,512,9.240016
23,bench_p26_wt,bench_p26_wt_random,0,2097152,42,16384,64,3600000000000,0,1,0,30,64,32768,134217728,0,heap,6233792,0,0,0,0,0,0,784,9.240054
23,bench_p26_wt,bench_p26_wt_random,0,2097152,42,16384,64,3600000000000,0,1,0,30,64,32768,134217728,0,usage,6233792,0,0,0,0,0,0,4620288,9.240098
22,bench_p26_wt,bench_p26_wt_random,0,2097152,42,8192,64,3600000000000,0,1,0,30,64,32768,134217728,0,write,7348352,55676047,1316121,35252,838613749,249041568,288784384,3600113553160,10.332390
