i,suite,case,DISK_GEOMETRY,BLOCK_SIZE,SIZE,FS,NO_FRUNCATE,DISK_SIM,CHUNK,CRYSTAL_DIV,SEED,FILE_SIZE,FILE_COUNT,SIM_TIME,SIM_SIZE,SKIP_WARMUP,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
18,bench_p26_wt,bench_p26_wt_linear,0,262144,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,write,282331200,255648,1129737,1093,6271958,286065404,286523392,3600552331960,5.068396
18,bench_p26_wt,bench_p26_wt_linear,0,262144,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,stack,282331200,0,0,0,0,0,0,3168,5.068588
18,bench_p26_wt,bench_p26_wt_linear,0,262144,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,ctx,282331200,0,0,0,0,0,0,528,5.068637
18,bench_p26_wt,bench_p26_wt_linear,0,262144,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,282331200,0,0,0,0,0,0,784,5.068679
18,bench_p26_wt,bench_p26_wt_linear,0,262144,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,282331200,0,0,0,0,0,0,2097152,5.068725
17,bench_p26_wt,bench_p26_wt_linear,0,131072,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,write,283116608,244309,1129618,2186,5695777,286270712,286523392,3600854081976,5.184008
17,bench_p26_wt,bench_p26_wt_linear,0,131072,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,stack,283116608,0,0,0,0,0,0,3168,5.184100
17,bench_p26_wt,bench_p26_wt_linear,0,131072,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,ctx,283116608,0,0,0,0,0,0,528,5.184148
17,bench_p26_wt,bench_p26_wt_linear,0,131072,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,283116608,0,0,0,0,0,0,784,5.184189
17,bench_p26_wt,bench_p26_wt_linear,0,131072,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,283116608,0,0,0,0,0,0,393216,5.184230
20,bench_p26_wt,bench_p26_wt_linear,0,1048576,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,write,282075200,288091,1131191,274,7788751,286278261,287309824,3609589485406,5.357237
20,bench_p26_wt,bench_p26_wt_linear,0,1048576,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,stack,282075200,0,0,0,0,0,0,3168,5.357333
20,bench_p26_wt,bench_p26_wt_linear,0,1048576,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,ctx,282075200,0,0,0,0,0,0,528,5.357381
20,bench_p26_wt,bench_p26_wt_linear,0,1048576,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,282075200,0,0,0,0,0,0,784,5.357422
20,bench_p26_wt,bench_p26_wt_linear,0,1048576,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,282075200,0,0,0,0,0,0,4194304,5.357462
