i,suite,case,SIM_SIZE,DISK_SIM,DISK_GEOMETRY,CRYSTAL_DIV,NO_FRUNCATE,DISK_SIZE,FS,FILE_SIZE,BLOCK_SIZE,CHUNK,FILE_COUNT,SIZE,SKIP_WARMUP,SIM_TIME,SEED,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
15,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,32768,64,32768,2097152,0,3600000000000,42,write,115490880,17844643,1397452,8757,325133966,274936677,286949376,3600381026390,5.971850
15,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,32768,64,32768,2097152,0,3600000000000,42,stack,115490880,0,0,0,0,0,0,3168,5.972066
15,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,32768,64,32768,2097152,0,3600000000000,42,ctx,115490880,0,0,0,0,0,0,528,5.972121
15,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,32768,64,32768,2097152,0,3600000000000,42,heap,115490880,0,0,0,0,0,0,784,5.972168
15,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,32768,64,32768,2097152,0,3600000000000,42,usage,115490880,0,0,0,0,0,0,262144,5.972219
20,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,1048576,64,32768,2097152,0,3600000000000,42,write,107109184,18778385,1313397,273,335281510,279334288,286261248,3600184174544,6.220873
20,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,1048576,64,32768,2097152,0,3600000000000,42,stack,107109184,0,0,0,0,0,0,3168,6.220975
20,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,1048576,64,32768,2097152,0,3600000000000,42,ctx,107109184,0,0,0,0,0,0,528,6.221028
20,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,1048576,64,32768,2097152,0,3600000000000,42,heap,107109184,0,0,0,0,0,0,784,6.221076
20,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,1048576,64,32768,2097152,0,3600000000000,42,usage,107109184,0,0,0,0,0,0,3145728,6.221122
14,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,16384,64,32768,2097152,0,3600000000000,42,write,102176832,26156254,1370951,17642,441455889,257257446,289046528,3600104671740,6.329005
14,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,16384,64,32768,2097152,0,3600000000000,42,stack,102176832,0,0,0,0,0,0,3168,6.329117
14,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,16384,64,32768,2097152,0,3600000000000,42,ctx,102176832,0,0,0,0,0,0,528,6.337430
14,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,16384,64,32768,2097152,0,3600000000000,42,heap,102176832,0,0,0,0,0,0,784,6.337508
14,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,16384,64,32768,2097152,0,3600000000000,42,usage,102176832,0,0,0,0,0,0,1605632,6.337554
17,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,131072,64,32768,2097152,0,3600000000000,42,write,116571712,15626216,1386408,2186,296299447,279090767,286523392,3601119555786,8.125196
17,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,131072,64,32768,2097152,0,3600000000000,42,stack,116571712,0,0,0,0,0,0,3168,8.125290
17,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,131072,64,32768,2097152,0,3600000000000,42,ctx,116571712,0,0,0,0,0,0,528,8.125340
