i,suite,case,SKIP_WARMUP,NO_FRUNCATE,CHUNK,SIM_SIZE,FILE_COUNT,SEED,DISK_SIZE,SIZE,SIM_TIME,DISK_SIM,DISK_GEOMETRY,BLOCK_SIZE,FS,FILE_SIZE,CRYSTAL_DIV,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
17,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,131072,34,64,32,write,269357120,1425447,1161149,2186,26755991,285946521,286523392,3601183620374,4.596856
17,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,131072,34,64,32,stack,269357120,0,0,0,0,0,0,3168,4.597048
17,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,131072,34,64,32,ctx,269357120,0,0,0,0,0,0,528,4.597097
17,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,131072,34,64,32,heap,269357120,0,0,0,0,0,0,784,4.597141
17,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,131072,34,64,32,usage,269357120,0,0,0,0,0,0,1572864,4.597186
12,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,4096,34,64,32,write,264646976,7207817,1175082,70067,95776352,280196631,286994432,3600022954274,5.398505
12,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,4096,34,64,32,stack,264646976,0,0,0,0,0,0,3168,5.398601
12,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,4096,34,64,32,ctx,264646976,0,0,0,0,0,0,528,5.398650
12,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,4096,34,64,32,heap,264646976,0,0,0,0,0,0,784,5.398692
12,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,4096,34,64,32,usage,264646976,0,0,0,0,0,0,438272,5.398733
19,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,524288,34,64,32,write,268451904,1485194,1162755,547,28530994,286149744,286785536,3604456033264,5.411693
19,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,524288,34,64,32,stack,268451904,0,0,0,0,0,0,3168,5.411779
19,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,524288,34,64,32,ctx,268451904,0,0,0,0,0,0,528,5.411827
19,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,524288,34,64,32,heap,268451904,0,0,0,0,0,0,784,5.411869
19,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,524288,34,64,32,usage,268451904,0,0,0,0,0,0,1572864,5.411911
14,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,16384,34,64,32,write,274563648,2759106,1146764,17489,36705693,284931304,286539776,3600155529784,6.452978
14,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,16384,34,64,32,stack,274563648,0,0,0,0,0,0,3120,6.453073
14,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,16384,34,64,32,ctx,274563648,0,0,0,0,0,0,528,6.453120
14,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,16384,34,64,32,heap,274563648,0,0,0,0,0,0,784,6.453162
14,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,16384,34,64,32,usage,274563648,0,0,0,0,0,0,2031616,6.453202
