i,suite,case,SIM_SIZE,BLOCK_SIZE,SEED,DISK_GEOMETRY,DISK_SIM,DISK_SIZE,FILE_SIZE,CHUNK,FS,CRYSTAL_DIV,SIZE,FILE_COUNT,SIM_TIME,NO_FRUNCATE,SKIP_WARMUP,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
17,bench_p26_wt,bench_p26_wt_linear,0,131072,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,278530112,623232,1141321,2186,12935550,286268454,286523392,3601140100740,4.532216
17,bench_p26_wt,bench_p26_wt_linear,0,131072,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,278530112,0,0,0,0,0,0,3168,4.532412
17,bench_p26_wt,bench_p26_wt_linear,0,131072,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,278530112,0,0,0,0,0,0,528,4.532462
17,bench_p26_wt,bench_p26_wt_linear,0,131072,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,278530112,0,0,0,0,0,0,784,4.532504
17,bench_p26_wt,bench_p26_wt_linear,0,131072,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,278530112,0,0,0,0,0,0,2097152,4.532550
20,bench_p26_wt,bench_p26_wt_linear,0,1048576,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,277889088,677746,1144514,274,15288279,286737809,287309824,3610616471462,5.107516
20,bench_p26_wt,bench_p26_wt_linear,0,1048576,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,277889088,0,0,0,0,0,0,3168,5.107612
20,bench_p26_wt,bench_p26_wt_linear,0,1048576,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,277889088,0,0,0,0,0,0,528,5.107660
20,bench_p26_wt,bench_p26_wt_linear,0,1048576,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,277889088,0,0,0,0,0,0,784,5.107702
20,bench_p26_wt,bench_p26_wt_linear,0,1048576,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,277889088,0,0,0,0,0,0,4194304,5.107744
18,bench_p26_wt,bench_p26_wt_linear,0,262144,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,277876800,629369,1141665,1093,13330123,286171393,286523392,3601002333158,5.226009
18,bench_p26_wt,bench_p26_wt_linear,0,262144,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,277876800,0,0,0,0,0,0,3168,5.226098
18,bench_p26_wt,bench_p26_wt_linear,0,262144,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,277876800,0,0,0,0,0,0,528,5.226144
18,bench_p26_wt,bench_p26_wt_linear,0,262144,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,277876800,0,0,0,0,0,0,784,5.226184
18,bench_p26_wt,bench_p26_wt_linear,0,262144,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,277876800,0,0,0,0,0,0,1835008,5.226222
14,bench_p26_wt,bench_p26_wt_linear,0,16384,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,283214144,447446,1124966,17491,6893877,285381549,286572544,3600035333982,6.513657
14,bench_p26_wt,bench_p26_wt_linear,0,16384,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,283214144,0,0,0,0,0,0,3120,6.513752
14,bench_p26_wt,bench_p26_wt_linear,0,16384,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,283214144,0,0,0,0,0,0,528,6.513801
