i,suite,case,BLOCK_SIZE,DISK_SIM,SIM_SIZE,NO_FRUNCATE,DISK_GEOMETRY,SIZE,SKIP_WARMUP,SIM_TIME,SEED,FILE_SIZE,FS,DISK_SIZE,FILE_COUNT,CRYSTAL_DIV,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
16,bench_p26_wt,bench_p26_wt_linear,65536,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,223354944,6495695,1259278,4368,111268635,285279983,286261248,3600629749034,5.106879
16,bench_p26_wt,bench_p26_wt_linear,65536,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,223354944,0,0,0,0,0,0,3168,5.107076
16,bench_p26_wt,bench_p26_wt_linear,65536,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,223354944,0,0,0,0,0,0,528,5.107126
16,bench_p26_wt,bench_p26_wt_linear,65536,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,223354944,0,0,0,0,0,0,784,5.107176
16,bench_p26_wt,bench_p26_wt_linear,65536,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,223354944,0,0,0,0,0,0,1376256,5.107218
17,bench_p26_wt,bench_p26_wt_linear,131072,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,221397056,6065796,1255991,2184,108587263,285252063,286261248,3600478324714,5.394610
17,bench_p26_wt,bench_p26_wt_linear,131072,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,221397056,0,0,0,0,0,0,3168,5.394707
17,bench_p26_wt,bench_p26_wt_linear,131072,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,221397056,0,0,0,0,0,0,528,5.394759
17,bench_p26_wt,bench_p26_wt_linear,131072,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,221397056,0,0,0,0,0,0,784,5.394804
17,bench_p26_wt,bench_p26_wt_linear,131072,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,221397056,0,0,0,0,0,0,1835008,5.394848
20,bench_p26_wt,bench_p26_wt_linear,1048576,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,214040640,7001396,1237959,273,124294347,284816891,286261248,3600418165970,6.119261
20,bench_p26_wt,bench_p26_wt_linear,1048576,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,214040640,0,0,0,0,0,0,3168,6.119365
20,bench_p26_wt,bench_p26_wt_linear,1048576,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,214040640,0,0,0,0,0,0,528,6.119415
20,bench_p26_wt,bench_p26_wt_linear,1048576,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,214040640,0,0,0,0,0,0,784,6.119459
20,bench_p26_wt,bench_p26_wt_linear,1048576,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,214040640,0,0,0,0,0,0,3145728,6.119503
13,bench_p26_wt,bench_p26_wt_linear,8192,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,215721024,20075529,1315021,34933,296238452,280862801,286171136,3600050589358,7.315399
13,bench_p26_wt,bench_p26_wt_linear,8192,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,215721024,0,0,0,0,0,0,3168,7.315494
13,bench_p26_wt,bench_p26_wt_linear,8192,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,215721024,0,0,0,0,0,0,528,7.315544
13,bench_p26_wt,bench_p26_wt_linear,8192,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,215721024,0,0,0,0,0,0,784,7.315588
13,bench_p26_wt,bench_p26_wt_linear,8192,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,215721024,0,0,0,0,0,0,1884160,7.315630
15,bench_p26_wt,bench_p26_wt_linear,32768,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,222138432,7670253,1250460,8741,124757265,283472360,286425088,3600109580888,7.422984
