i,suite,case,CRYSTAL_THRESH,DISK_SIM,SIM_TIME,SIZE,DISK_GEOMETRY,FS,FILE_COUNT,SKIP_WARMUP,NO_FRUNCATE,CHUNK,SEED,FILE_SIZE,DISK_SIZE,BLOCK_SIZE,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
16,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,65536,0,write,43876160,17428549,1120462,4520,434220299,208361777,296222720,3601299945094,12.267814
16,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,65536,0,stack,43876160,0,0,0,0,0,0,3200,12.268022
16,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,65536,0,ctx,43876160,0,0,0,0,0,0,528,12.268077
16,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,65536,0,heap,43876160,0,0,0,0,0,0,784,12.268131
16,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,65536,0,usage,43876160,0,0,0,0,0,0,6094848,12.268179
17,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,131072,0,write,43774528,16799213,1110562,2262,425500381,206504270,296484864,3600892486284,12.565068
17,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,131072,0,stack,43774528,0,0,0,0,0,0,3200,12.565170
17,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,131072,0,ctx,43774528,0,0,0,0,0,0,528,12.565223
17,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,131072,0,heap,43774528,0,0,0,0,0,0,784,12.565269
17,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,131072,0,usage,43774528,0,0,0,0,0,0,6160384,12.565313
20,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,1048576,0,write,49459776,20269051,1104232,284,441804098,205086431,297795584,3613701183586,14.867244
20,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,1048576,0,stack,49459776,0,0,0,0,0,0,3200,14.867343
20,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,1048576,0,ctx,49459776,0,0,0,0,0,0,528,14.867395
20,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,1048576,0,heap,49459776,0,0,0,0,0,0,784,14.867441
20,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,1048576,0,usage,49459776,0,0,0,0,0,0,6291456,14.867485
13,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,8192,0,write,41087040,36179194,1304877,35890,675318084,216924889,294010880,3600191425438,16.488085
13,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,8192,0,stack,41087040,0,0,0,0,0,0,3200,16.488189
13,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,8192,0,ctx,41087040,0,0,0,0,0,0,528,16.488242
13,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,8192,0,heap,41087040,0,0,0,0,0,0,784,16.488286
13,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,8192,0,usage,41087040,0,0,0,0,0,0,3596288,16.488330
15,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,32768,0,write,44422208,20912227,1144928,9022,477064596,210636632,295632896,3600132731120,16.519103
15,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,32768,0,stack,44422208,0,0,0,0,0,0,3200,16.519231
15,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,32768,0,ctx,44422208,0,0,0,0,0,0,528,16.519268
15,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,32768,0,heap,44422208,0,0,0,0,0,0,784,16.519297
15,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,32768,0,usage,44422208,0,0,0,0,0,0,1245184,16.519325
14,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,16384,0,write,42078016,30800354,1234561,17991,606063143,213520134,294764544,3600314658092,16.942030
14,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,16384,0,stack,42078016,0,0,0,0,0,0,3200,16.942161
14,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,16384,0,ctx,42078016,0,0,0,0,0,0,528,16.942209
14,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,16384,0,heap,42078016,0,0,0,0,0,0,784,16.942249
